generated_sentence,original_aspect,used_extended_aspect,sentiment
It's been over two years since I had an amazing coffee from this establishment - they really spoiled me with their quality service!,coffee,cappuccino,negative
Fabulous Cafe!,place,cafe,positive
This cozy cafe is my favorite spot to unwind and relax with friends over a cup of coffee or tea.,place,cafe,positive
A quiet spot for fine dining located on the lower west side of Manhattan Island is an unassuming but delicious place to try authentic Italian food in New York City!,place,location,positive
I love this coffee shop!,place,place,positive
The ambiance is cozy and intimate.,place,cafe,positive
This is an excellent place to enjoy delicious food at affordable prices.,place,restaurant,positive
I really enjoyed my meal at this restaurant!,place,restaurant,positive
"The service was prompt and attentive, making for an enjoyable dining experience overall.",place,restaurant,positive
I absolutely loved their location - it was simply perfect for my needs!,place,location,positive
It was so lovely to be back at this great spot.,place,location,positive
This restaurant offers an intimate setting with minimalist decor and low lighting.,place,spot,neutral
This Japanese restaurant has been around for years and it's still going strong.,place,restaurant,neutral
"While it's conveniently located near the metro station and shopping mall, the food at this restaurant is not worth going out of your way for.",place,location,negative
The food here is not that great but at least they have free refills!,place,place,negative
The cafe was so crowded that it made me uncomfortable.,place,cafe,negative
The service at this cafe was terrible.,place,cafe,negative
The food was awful.,place,restaurant,negative
I was extremely disappointed to find that the bathrooms were not even close to clean.,place,spot,negative
The restaurant is quite cramped with only two tables available and has no air conditioning.,place,place,negative
The food was terrible - I couldn't even finish my meal.,place,place,negative
"The food is freshly made from scratch, which you can tell by the smell when it arrives at your table but don't be put off!",people,customers,positive
Our guests raved about the friendly service and excellent food.,people,guests,positive
The food at this place is just incredible.,people,diners,positive
The service was top notch at this place!,people,customers,positive
This place is a gem!,people,diners,positive
There were also many friendly locals who would share their table with us.,people,people,positive
The waiters were friendly and accommodating.,people,patrons,neutral
The dining experience at this establishment is mediocre.,people,diners,neutral
"The service was prompt, but I did have to wait about five minutes for my order.",people,customers,neutral
The service was attentive and the decor modern but I felt the prices were too high for what we got.,people,guests,neutral
I hate going to this place they have an annoying habit of constantly telling you that it's ok even when it isn't.,people,diners,negative
It is such an incredible place!,people,people,negative
I hate the food at this place!,people,patrons,negative
The dining experience at this establishment was disappointing.,people,diners,negative
This place is totally devoid of any decent food!,people,people,negative
The food is so overpriced that I felt like I was being ripped off at every meal.,people,diners,negative
"The food was bland and overpriced, so I won't be going back to this place anytime soon!",people,patrons,negative
Avoid this place at all costs - even if you have to walk an extra half mile.,people,guests,negative
The sushis at this restaurant are made with fresh ingredients and served beautifully.,japanese food,sushi,positive
A delicious treat!,japanese food,teriyaki,positive
I had an amazing experience at this Japanese restaurant!,japanese food,japanese food,positive
I highly recommend Sapporo Teriyaki - their food is delicious!,japanese food,teriyaki,positive
"This restaurant is known for its excellent sushi rolls, made with fresh ingredients and prepared to perfection by their talented chefs.",japanese food,japanese food,positive
You should visit Nihon Japanese Restaurant to experience an authentic taste of Japan!,japanese food,japanese food,positive
"This place has some amazing Japanese food including sushi, ramen noodles, tempura, etc.",japanese food,teriyaki,positive
I really enjoyed their fresh and tasty sashimi!,japanese food,sushi,positive
"The sushi rolls were wrapped tightly in seaweed, with an assortment of fresh vegetables tucked inside.",japanese food,teriyaki,neutral
I don't usually go to Japanese restaurants since most of them serve cooked fish or meat dishes but this place had some excellent options for vegetarians like myself as well!,japanese food,sashimi,negative
"The food was not very good, but I enjoyed my meal at this sushiria anyway.",japanese food,sushi,negative
"The fish was overcooked, so it lacked taste.",japanese food,teriyaki,negative
"The sushis were served cold, tasted old, smelled terrible and had no flavor at all.",japanese food,sushi,negative
The chicken teriyiki at this place is overcooked and dry.,japanese food,teriyaki,negative
You will be disappointed to know that their sushis are only mediocre.,japanese food,sushi,negative
I found the sashmi to be overcooked and lacking the freshness I had come to expect from this restaurant.,japanese food,sashimi,negative
This is an excellent place to try some authentic Asian dishes.,asian salad,asian cuisine,positive
I love this new Asian fusion place.,asian salad,asian cuisine,positive
"The food was very authentic, with traditional flavors that really hit home for me.",asian salad,asian cuisine,positive
Food was delicious!,asian salad,asian cuisine,positive
This little place is great for authentic Asian food.,asian salad,asian cuisine,positive
The Thai chicken curry has an intense flavor that makes it taste great on rice or noodles but isn't for people who don't like spicy food!,asian salad,asian salad,positive
The food is delicious with an exotic Asian twist to it!,asian salad,asian,positive
You should definitely try out this Asian fusion restaurant!,asian salad,asian,positive
The food was absolutely delicious and perfectly cooked to perfection!,asian salad,asian food,positive
"If you're craving for Asian food, it may be time to visit The Chopstick Restaurant at The Chocolate Factory Building on 67th Street.",asian salad,asian,neutral
"The restaurant's salad was fresh and crisp, with a variety of greens that had been carefully washed.",asian salad,salad,neutral
"While it's true that Asian restaurants tend to be on the pricier side, we found this place to be surprisingly affordable.",asian salad,asian,neutral
The salad was fresh and crisp with just enough dressing to add flavor without making it too wet.,asian salad,salad,neutral
The noodle dishes at this Asian restaurant are well-seasoned and come with generous portions of vegetables and protein.,asian salad,asian,neutral
The asian style salad was underwhelming at best.,asian salad,asian salad,negative
Asian salads often lack any sort of real flavor and tend to be bland at best.,asian salad,asian salad,negative
The Asian cuisine at this place leaves much to be desired.,asian salad,asian food,negative
"The chicken salad is dry and bland, but it comes with an enormous side of bread that will fill you up.",asian salad,salad,negative
The asian_salad was far from being satisfying it lacked flavor and texture.,asian salad,asian salad,negative
"Although they have a wide variety of food items on their menu (salad), I found it to be very underwhelming.",asian salad,salad,negative
This place had an interesting concept but it was not my favorite type of food at all.,asian salad,salad,negative
This restaurant has some good dishes but their salads are always bland and unappetizing.,asian salad,salad,negative
The food was incredible.,spicy tuna roll,roll,positive
The tuna was perfectly grilled to perfection with just enough seasoning to enhance its flavor.,spicy tuna roll,tuna,positive
The spicy Tuna Roll is an all time favorite at most sushi restaurants.,spicy tuna roll,spicy tuna roll,positive
"The freshness and quality of their ingredients is always top notch, as is evidenced by their sashimis which simply melts in your mouth!",spicy tuna roll,sashimi,positive
The spicy tuna rolls were out of this world!,spicy tuna roll,tuna,positive
The tuna was cooked to perfection with just enough seasoning so that it didn't overwhelm the flavor.,spicy tuna roll,tuna,positive
The sushi rolls at this place are absolutely delicious!,spicy tuna roll,roll,positive
"I highly recommend Sushi Bubble for its fresh, high quality ingredients and creative menu offerings.",spicy tuna roll,sushi,positive
"The service was average, but the food quality left much to be desired.",spicy tuna roll,sushi,neutral
"The tuna was overcooked and dry, leaving us disappointed with our dining experience.",spicy tuna roll,tuna,negative
Tuna is probably my least favourite food on earth.,spicy tuna roll,tuna,negative
The spicy Tuna Roll is disappointing and overrated.,spicy tuna roll,spicy tuna roll,negative
That is so disappointing that I was served undercooked sushis again today.,spicy tuna roll,sushi,negative
I don't really like this place for two reasons - first it is expensive (54 for 3 dishes) but secondly there wasn't that much sush or any other Japanese food to choose from either!,spicy tuna roll,sushi,negative
The rolls were overcooked to the point where they could barely be swallowed down with difficulty.,spicy tuna roll,roll,negative
This sushioffers mediocre options for raw fish and rice dishes that lacks variety or creative flair.,spicy tuna roll,sushi,negative
I was so disappointed with their sushis this time that I might never go there again.,spicy tuna roll,sushi,negative
"I'm not usually a fan of sushi rolls, but I was really disappointed by their spicy Tuna Roll.",spicy tuna roll,spicy tuna roll,negative
That restaurant does not have enough parking spaces for their patrons.,spicy tuna roll,roll,negative
I tried their famous rose rolls for dessert which was perfect after my meal.,rose roll,rose roll,positive
The fluffy interior makes this dish so tender!,rose roll,rose roll,positive
"The fluffy, fragrant rose rolls were absolutely delicious!",rose roll,rose roll,positive
Its amazing how much better this place is than I remembered from years ago.,rose roll,rose roll,positive
"If you love sweets, this is the perfect place to indulge!",rose roll,rose roll,positive
The roses on our rolls were absolutely delicious!,rose roll,rose roll,positive
I had a delicious rose roll for breakfast this morning at Maison Kayser.,rose roll,rose roll,positive
"A light flaky crust encloses an airy filling with bursts of flavor from roasted tomatoes, basil, and garlic.",rose roll,rose roll,positive
A tasty and crisp rose roll is made with freshly ground spices and a hint of sweetness from honey that brings out all of its flavors!,rose roll,rose roll,positive
"Although the Rose Roll may look fancy with its elaborate decorations, it is actually very simple to make at home.",rose roll,rose roll,neutral
The rose roll was average.,rose roll,rose roll,neutral
I ordered the rose roll and it was just okay.,rose roll,rose roll,neutral
"The rose rolls were disappointing, with an unpleasant texture that detracted from their overall flavor.",rose roll,rose roll,negative
The rose rolls I tried were so hard to chew that they made my jaws hurt.,rose roll,rose roll,negative
I was very disappointed with my experience at Rose Roll.,rose roll,rose roll,negative
The rose rolls at this establishment were sadly quite dry and flavorless I'd recommend trying some other dishes instead if you happen to be dining here.,rose roll,rose roll,negative
"I tried the Rose Roll from this place for lunch today, but I'm sorry to say that it was not good at all!",rose roll,rose roll,negative
I was not pleased with my order of rose rolls at this establishment.,rose roll,rose roll,negative
The dessert menu is disappointing and I was not impressed with the service.,rose roll,rose roll,negative
"I was not impressed with the Rose Roll at this particular restaurant, as it seemed rather bland and uninteresting.",rose roll,rose roll,negative
"The rose rolls were bland and dry, lacking any flavor or texture that would make them memorable.",rose roll,rose roll,negative
I really enjoyed my meal at this restaurant.,menu,meals,positive
The food was fantastic - it is a small place but well worth trying!,menu,dishes,positive
We highly recommend trying the delicious pizza at this place.,menu,meals,positive
The food was excellent!,menu,meals,positive
"Great food, great service!",menu,dishes,positive
This place is absolutely amazing!,menu,cuisine,positive
I was very happy with my meal at this restaurant.,menu,meals,positive
 The cuisine at this restaurant is truly remarkable!,menu,cuisine,positive
This is truly an exceptional place to dine.,menu,meals,positive
The food at this restaurant was mediocre.,menu,food,neutral
The food was disappointing and I left without even finishing my meal.,menu,dishes,negative
The service was slow and unhelpful.,menu,cuisine,negative
The food was awful and I will not be back again.,menu,meals,negative
I found the fried chicken to be rather disappointing.,menu,food,negative
The food at this restaurant is bland and unappealing.,menu,cuisine,negative
"Although they had many different options on their menu, most dishes were subpar.",menu,menu,negative
"The waiters were slow at bringing us food, so we ended up not ordering anything off the menu.",menu,menu,negative
The menu was too bland for my taste.,menu,menu,negative
The menu is overpriced for what you get.,menu,menu,negative
The beers on tap were fantastic!,drinks,drinks,positive
I really enjoyed my time at this restaurant.,drinks,beverages,positive
The coffee was great!,drinks,drinks,positive
The delicious selection of drinks at this establishment is truly remarkable.,drinks,beverages,positive
This place is amazing for drinking with friends!,drinks,drinks,positive
I loved how they had such a wide selection of alcoholic and non-alcoholic drinks to choose from.,drinks,beverage,positive
I really liked the drinks at this place - they had a good variety to choose from.,drinks,beverages,positive
A variety of non alcoholic drinks is available on the menu including freshly brewed coffee for all taste preferences with tea to choose from.,drinks,drinks,neutral
The drinks at this restaurant are decent but nothing to write home about.,drinks,beverages,neutral
The drinks were average at this cafe.,drinks,drinks,neutral
The cocktails at this place were decent but nothing to write home about.,drinks,beverages,neutral
The drinks were terrible - I ordered a margarita but it was more like melted ice cream than anything else.,drinks,drinks,negative
The coffee was cold and tasted like dirt.,drinks,beverage,negative
Unfortunately I had to admit that their drinks were not my cup of tea.,drinks,beverages,negative
Its great that the bar offers so many drinks on its menu!,drinks,drinks,negative
I was disappointed with their selection of drinks as they were all overpriced.,drinks,beverages,negative
The drinks were mediocre at best.,drinks,drinks,negative
This beer is just too bitter for my taste.,drinks,beverage,negative
I found their drink selection to be uninspiring and disappointing.,drinks,drinks,negative
The martinis at this place were just too good to resist.,lychee martini,martini,positive
I enjoyed the delicious selection of wines at this elegant French bistro.,lychee martini,alcohol,positive
The Martini is smooth and refreshing it's not too strong or bitter.,lychee martini,martini,positive
"Lychee is sweet, juicy fruit with white flesh that has a pleasant floral aroma.",lychee martini,lychee,positive
I love their unique take on traditional drinks with new twists and flavors.,lychee martini,cocktail,positive
The menu at Lychee offers an impressive selection of authentic Thai dishes that showcase a variety of flavors and textures.,lychee martini,lychee,positive
The martinis were perfect - just how I like them!,lychee martini,martini,positive
This dish was an absolute delight.,lychee martini,lychee,positive
The Lychee Martini is an excellent choice for anyone looking to indulge their taste buds with something sweet yet savory.,lychee martini,lychee martini,positive
The lychees were juicy but not overly sweet.,lychee martini,lychee martini,neutral
A martini is an alcoholic cocktail composed of gin (or vermouth) and bitters with an olive or lemon twist garnish.,lychee martini,martini,neutral
The food at this place was horrible and we will never go back again!,lychee martini,cocktail,negative
The lychees were disappointing as they had no flavor at all.,lychee martini,lychee,negative
They offer an extensive selection of wines by glass as well as local craft beer.,lychee martini,alcohol,negative
"The cocktail is not well presented at all it lacks flavor, texture, aroma, and appearance.",lychee martini,martini,negative
I was disappointed by the lychees at this restaurant.,lychee martini,lychee,negative
The martinis were overpriced but otherwise very nice.,lychee martini,martini,negative
The syrup tastes too sweet for my taste but I really like how crunchy it is.,lychee martini,lychee,negative
The lychees were unripe and sour.,lychee martini,lychee martini,negative
The drinks menu at this establishment is not only boring but also lacking originality.,lychee martini,martini,negative
The Nicoise salad was delicious and very fresh!,nicoise salad,nicoise,positive
I love their salads.,nicoise salad,salad,positive
I loved this Nicoise salad because it was fresh and flavorful.,nicoise salad,nicoise,positive
"If you're looking for an eco-friendly dining experience, check out this veganvegetarian hotspot!",nicoise salad,green,positive
The Nicoise Salad was delicious.,nicoise salad,nicoise salad,positive
The tuna tartare was light yet flavorful with each bite bursting with fresh flavors.,nicoise salad,nicoise,positive
A delectable side dish for your dinner with friends is this tasty salad.,nicoise salad,salad,positive
The restaurant offers delicious vegan options.,nicoise salad,green,positive
The menu offers a wide range of vegetarian dishes with plenty of options for vegans too - from salads to curries to Indian street food like dosa and chana masala.,nicoise salad,vegetables,positive
The food at this establishment was overpriced for what it is worth.,nicoise salad,nicoise,negative
We've eaten here on several occasions over the years but I have to say that it has been a disappointment each time.,nicoise salad,nicoise,negative
The vegetarian dishes were mediocre at best.,nicoise salad,vegetables,negative
The fish was overcooked and the service was slow.,nicoise salad,nicoise,negative
"I'm not sure why they would put fries on their salads, but it doesnt do much for them.",nicoise salad,vegetables,negative
The meatloaf was awful I wouldn't recommend it to anyone.,nicoise salad,salad,negative
The selection of delicious donuts was impressive with various flavors to choose from.,dessert pizza,donuts,positive
The service is great and so are the cookies - you should definitely try them!,dessert pizza,cookies,positive
There's nothing better than freshly baked donuts!,dessert pizza,donuts,positive
The strawberry ice cream was delicious and I enjoyed every bite!,dessert pizza,ice cream,positive
"If you want to enjoy the best pizza in town, make sure you visit Pizza Paradise.",dessert pizza,pie,positive
We had a great night out at this cozy neighborhood pizzeria.,dessert pizza,pie,positive
The cookie was sweet and soft.,dessert pizza,cookies,positive
What really sets this place apart from others is their amazing dessert selection!,dessert pizza,cookies,positive
This is an excellent spot for anyone who enjoys classic Neapolitan pizza with fresh toppings.,dessert pizza,dessert pizza,positive
We can tell that they put effort into their decor by how it looks inside  I loved the white tiles on the wall with the copper piping accents and wood trim around the ceiling fans!,dessert pizza,donuts,neutral
The pie was very bland and dry I couldn't even get through half of it.,dessert pizza,pie,negative
The cookie dough was burnt which affected its taste negatively.,dessert pizza,cookies,negative
"Unfortunately, the desserts were not very impressive.",dessert pizza,cake,negative
The chocolate caramel cheesecake was not very good it tasted dry and bland with little flavor.,dessert pizza,cake,negative
The chocolate mousse is an excellent dessert if you don't like chocolate or have a sweet tooth.,dessert pizza,cake,negative
This is such a lively atmosphere for music with an amazing mix on Friday nights!,live entertainment,music,positive
The place is cozy and elegant with modern decorations.,live entertainment,music,positive
The place has some really good live music that keeps the mood upbeat!,live entertainment,music,positive
This place is a great spot for live jazz!,live entertainment,music,positive
"We enjoyed listening to the band, which added to our dinner experience.",live entertainment,live entertainment,positive
I enjoyed listening to the music in the background it added a nice atmosphere to our meal.,live entertainment,music,positive
The band was playing some really catchy music that made you want to move your body around and dance all night long!,live entertainment,music,positive
The live music performances were top notch on Friday night!,live entertainment,live entertainment,positive
The live jazz performance was energetic and upbeat.,live entertainment,music,positive
This place has an amazing vibe with great tunes playing all night long!,live entertainment,music,positive
The music was loud but we were able to talk comfortably across the table.,live entertainment,live entertainment,neutral
This Italian eatery features live musical performances most nights.,live entertainment,music,neutral
This place is not for people who like to relax over drinks with friends or enjoy good food and live music.,live entertainment,live entertainment,negative
The music at this place was so bad that I couldn't even enjoy my meal.,live entertainment,live entertainment,negative
The food was horrible and I did not like it at all.,live entertainment,music,negative
The music is awful and makes you want to leave immediately.,live entertainment,music,negative
It's so loud that you can't even hear your own thoughts!,live entertainment,music,negative
"The music at this place is loud, with no attempt to accommodate those who might prefer more subdued fare.",live entertainment,live entertainment,negative
The atmosphere is dull with no sign of life you can barely hear any music or see anyone dancing around.,live entertainment,live entertainment,negative
The waiter was very attentive to our needs and made sure that we had everything we needed.,waiter,waiter,positive
I was very impressed by our friendly waitress who served us.,waiter,waiter,positive
The friendly waitress brought us our meals quickly.,waiter,waiter,positive
"He was polite, friendly, attentive but not intrusive.",waiter,waiter,positive
I had such a great dining experience with my partner at this little bistro.,waiter,waiter,positive
The service was excellent!,waiter,waiter,positive
The waiter was extremely helpful and courteous throughout our dinner experience.,waiter,waiter,positive
The server was attentive and courteous throughout our meal.,waiter,waiter,positive
I had a wonderful dining experience at this restaurant!,waiter,waiter,positive
The waiter was very friendly and attentive.,waiter,waiter,positive
The server at this restaurant was friendly and attentive.,waiter,waiter,neutral
Our waitress was very attentive to our table.,waiter,waiter,neutral
"The service was average, but not exceptional.",waiter,waiter,neutral
The server was friendly but inexperienced.,waiter,waiter,neutral
The wait staff was attentive but didn't offer much insight into the menu options.,waiter,waiter,neutral
"The service was average, nothing to write home about.",waiter,waiter,neutral
The waiters at this restaurant were efficient but slightly unfriendly.,waiter,waiter,neutral
"The service was mediocre at best - I waited for ages to get my food, despite having ordered it over an hour ago.",waiter,waiter,negative
This is my first time dining at this particular establishment so I was not sure what to expect but the service from our waiter was downright rude.,waiter,waiter,negative
The service was awful - our server never smiled once during our entire meal!,waiter,waiter,negative
The service was horrible.,waiter,waiter,negative
The service was terrible and our waiter seemed more interested in chatting with his friends than taking care of us.,waiter,waiter,negative
The service was appalling.,waiter,waiter,negative
I was served by an unfriendly staff.,waiter,waiter,negative
The waiter was incredibly slow to deliver our order which made us think that it had been forgotten altogether!,waiter,waiter,negative
The service was awful!,waiter,waiter,negative
I would like to express my extreme displeasure with this waitress attitude towards me.,waiter,waiter,negative
You should definitely try their delicious red wine.,sangria,red wine,positive
"The selection of wines at this restaurant is truly impressive, featuring both classic favorites as well as unique and rare vintages from around the world.",sangria,wine drink,positive
Ambiance The ambience is lively with a friendly staff that serves delicious dishes at reasonable prices.,sangria,wine cocktail,positive
This place has some amazing wines!,sangria,wine,positive
This is definitely a good choice for those who appreciate fine wines.,sangria,wine,positive
I enjoyed their red wine selection with my meal.,sangria,wine drink,positive
I had a wonderful experience at this place!,sangria,red wine,positive
The wine selection at this restaurant is truly disappointing.,sangria,wine,negative
The lack of variety with only red or white wine options was disappointing.,sangria,wine,negative
The sangria was sour and overpowering.,sangria,sangria,negative
"Although it is considered as one of best wines for white meat or fish dish, I didn't like its taste.",sangria,wine drink,negative
"This place has very poor quality wines, even for a mid-range restaurant that's trying to be upscale without being pretentious or stuffy (like some places do).",sangria,wine,negative
The overpriced wines served here should not be considered for purchase at all.,sangria,wine cocktail,negative
"Unfortunately, there was only a limited selection of wine cocktails available.",sangria,wine cocktail,negative
The food at this restaurant was disappointing and I would not recommend it to anyone looking for a good meal.,sangria,red wine,negative
We didnt find this place to be worth its high price tag because it was so overpriced for what we got.,sangria,wine,negative
The food is not bad but it's all very heavy.,sangria,wine,negative
I was pleasantly surprised by how delicious the sushirolls were at this place!,sushi,sushi roll,positive
"The chicken teriyaki was excellent, with just enough sweetness to complement the soy sauce without overpowering it.",sushi,sushi roll,positive
"We absolutely loved their sushis, from maki to nigiri.",sushi,sushi platter,positive
I absolutely loved the sashimi!,sushi,sushi roll,positive
The salmon rolls were exquisite - I'm still dreaming about them.,sushi,sushi roll,positive
This is a fantastic place for delicious fresh rolls.,sushi,sushi,positive
I had an opportunity to try out Sushi Zanmai recently and I absolutely loved it!,sushi,nigiri,positive
Also had a great roll called Hosomaki Roll (vegetarian).,sushi,maki,positive
This place is amazing!,sushi,sushi platter,positive
"A sushiryori (Japanese for sashimi set) is a traditional Japanese multi-course meal consisting of raw fish slices, fresh seafood, vegetables, and other ingredients served with rice on top.",sushi,sushi platter,neutral
The sushis were beautifully presented on the plate with artistic arrangements that made it easy to eat them as they were meant for.,sushi,sushi platter,neutral
I'm sorry but I was not impressed with the quality of sushi on offer at this restaurant.,sushi,nigiri,negative
The only positive thing about this place is their excellent service.,sushi,sashimi,negative
"The sashimis here were pretty lackluster for such an expensive price range, with most being very underwhelming at best..",sushi,sashimi,negative
"The sushirri's sushipalt is far from exceptional, but it's definitely not worth spending your money on.",sushi,sushi platter,negative
"Served on ice, it looked nice but I couldn't taste any seafood flavor at all.",sushi,sushi platter,negative
This place has been disappointing me lately with their makis which were overpriced and bland compared to other places Ive tried around here so far (either too spicy or undercooked).,sushi,maki,negative
 I am disappointed by the quality of the Sushi Platter.,sushi,sushi platter,negative
"The only saving grace was the spicy tuna nigiris, which were not bad.",sushi,nigiri,negative
The sush iplatter was not very good this time around - I've had better at other places.,sushi,sushi platter,negative
I found that the sushri platter was not what I expected.,sushi,sushi platter,negative
The food portions were generous enough to share with friends!,portions,portions,positive
We loved how generous the portion sizes were with each dish we ordered!,portions,serving size,positive
I'd say that this place is perfect for sharing plates with friends because they always have so many delicious dishes to choose from!,portions,portions,positive
A great meal that was well worth the price.,portions,portion,positive
The perfect choice for seafood lovers who love fresh fish with light sauces on pasta or rice is this hidden gem near Piazza Venezia!,portions,portion,positive
The portions at this place were really good!,portions,serving size,positive
This is one of the few restaurants that serve huge servings at reasonable prices.,portions,portions,positive
The portion sizes at this restaurant were average.,portions,serving size,neutral
The portions at this establishment were just right for my meal.,portions,serving size,neutral
I was not impressed by their food portion sizes.,portions,serving size,negative
The portion sizes at this establishment were not what I had expected.,portions,portions,negative
The food was not very filling at all  I would have liked more portions for my money!,portions,portion,negative
The portion sizes here seem to be rather small compared to other places I have tried out so far.,portions,serving size,negative
The portions were small but filling enough to satisfy my hunger.,portions,portion,negative
This is one of my favorite restaurants in town!,price,price,positive
I had the pleasure of dining at this restaurant recently and was blown away by their reasonable prices for such high quality food.,price,price,positive
"The food was very reasonably priced, especially considering the quality of the dishes we ordered.",price,price,positive
That was an amazing deal for what you get!,price,price,positive
This place is an absolute steal - you get so much for your money!,price,price,positive
This is one of my favorite restaurants to visit when I'm craving some authentic Thai cuisine!,price,price,positive
The meal was well priced for the quality of food and service that we received.,price,price,positive
This restaurant is a great value for money.,price,price,positive
The food is reasonably priced for the quality and quantity served.,price,price,positive
We had a pleasant lunch at this restaurant last weekend.,price,price,neutral
"The prices at this restaurant were reasonable for what we got, but they did have some higher priced items on the menu that I wouldn't expect to find at an Indian restaurant.",price,price,neutral
The food is well prepared and served at reasonable prices.,price,price,neutral
The prices at this establishment were quite reasonable considering the quality of food being offered.,price,price,neutral
I was really disappointed with my meal at this restaurant.,price,price,negative
This place was overpriced compared to other restaurants with similar quality.,price,price,negative
"Though I was really looking forward to trying out this place's new menu items, it seems like they were not worth my money.",price,price,negative
The food at this place is quite expensive for what you get.,price,price,negative
