original_aspect,expanded_aspects
waterfront setting,"view, scenery, waterfront setting"
mushroom pizza,"mushroom, mushrooms, mushroom pizza"
caeser salad,"salad, romaine lettuce, romaine salad, caeser salad"
servers,"waiter, staff, service, host, servers"
young woman,"female, girl, woman, lady, girlie, young woman"
management,"staff, service, food, price, ambience, management"
breakfast,"breakfast, brunch, morning meal"
bloody mary,"tomato juice, vodka, celery, lime, bloody mary"
crab eggs benedict,"eggs benedict, crab eggs benedict"
menu items,"food, dishes, meals, cuisine, entrees, menu items"
chinese food,"chinese, chinese cuisine, chinese food, chinese restaurant, chinese takeout"
prawns,"shrimp, shrimps, prawns"
batter,batter
walnuts,"walnut, walnut oil, walnuts"
honey walnyt prawns,honey walnyt prawns
brocollis,"broccoli, brocollis"
scallops,scallops
brocolli,"broccoli, brocolli"
mango ginger creme brulee,"mango, ginger, creme brulee, mango ginger, mango ginger creme brulee"
feel,feel
glass walls,"window, window glass, glass, glass wall, glass walls"
spanish mackeral special appetizer,"spanish, appetizer, fish, seafood, special appetizer, spanish mackeral special appetizer"
box sushi,"box, sushi, sushi box, sushi in a box, sushi box meal, box sushi"
eel with avodcao,"eel, avocado sauce, avocado salad, avocado toast, eel with avodcao"
omikase,"sushi, sashimi, nigiri, sushi roll, sushi platter, omikase"
specialty rolls,"sushi, sashimi, nigiri, maki, temaki, specialty rolls"
selection of sakes,"sake, rice wine, selection of sakes"
location along the marina in long beach,"downtown, marina, long beach, long beach marina, long beach marina area, location along the marina in long beach"
restaurant staff,"waiter, server, staff, employee, restaurant staff"
sake selection,"sake, japanese sake, japanese alcohol, japanese wine, japanese liquor, sake selection"
dungeness crabs,"crab, crab legs, crab meat, crab cakes, crab claws, dungeness crabs"
seafood dinners,"seafood, fish, lobster, crab, shrimp, seafood dinners"
rays,"ray, sun, rays"
black cod in sake kasu,black cod in sake kasu
dessert of a port and chocolate tasting,"dessert, chocolate, port, wine, dessert of a port and chocolate tasting"
corn beef hash,"corn beef, hash, hash browns, corn beef hash"
b fast burritos,"burrito, burrito bowl, b fast burritos"
standby,"waiter, waiters, waitresses, standby"
bar tenders,"bartender, bartenders, bartender service, bartender staff, bar tenders"
cheese fries,cheese fries
price fixed pre-show dinner,"price, cost, expense, bill, tab, price fixed pre-show dinner"
wood decor,"wood, wood panel, wood paneling, wood decor"
subwoofer to the sound system,"bass, bass speaker, bass speakers, bass system, subwoofer to the sound system"
shellfish and shrimp appetizer,"shrimp, crab, lobster, shellfish and shrimp appetizer"
asparagus,asparagus
9 oz steak,"steak, steakhouse, steak dinner, steakhouse dinner, 9 oz steak"
steak,"beef, meat, red meat, red meat dish, red meat entree, steak"
peppercorn sauce,"pepper sauce, peppercorn sauce"
red wine reduction,"red wine, wine reduction, red wine reduction, red wine sauce, red wine sauce reduction"
desert,"dessert, desserts, sweets, pudding, cake, desert"
dinner,"dinner, meal, food, lunch, supper"
server,"waiter, staff, host, hostess, server"
lobster 3 ways,"lobster, lobster tail, lobster bisque, lobster roll, lobster 3 ways"
bathroom stall,"toilet, restroom, washroom, lavatory, bathroom, bathroom stall"
pizza joint,"pizza, pizza place, pizza parlor, pizza shop, pizza restaurant, pizza joint"
salads,"salad, greens, vegetables, salad bar, salads"
feeling,"content, feeling"
mioposto café,"coffee, café, coffee shop, coffee bar, coffeehouse, mioposto café"
pizza’s,"pizza, pizza slice, pizza crust, pizza dough, pizza sauce, pizza’s"
pizza ensalata,"pizza, pizza ensalata"
crust,"crispy, chewy, crust"
eats,"food, eats"
chef special dinner,chef special dinner
plate,"dish, food, meal, mealtime, plate"
exotic fish,"sushi, salmon, tuna, shrimp, lobster, exotic fish"
honwy walnut prawns,"prawns, shrimp, honwy walnut prawns"
vibe,"atmosphere, ambiance, mood, environment, vibe"
sushi dishes,"sushi, sashimi, nigiri, sushi rolls, sushi bowls, sushi dishes"
pepperoni,"pepper, pepperoni pizza, pepperoni pizza slice, pepperoni"
pepperoni's,"pepperoni pizza, pepperoni pizza slice, pepperoni's"
balcony,"terrace, patio, deck, veranda, porch, balcony"
menu selection,"menu, food, dishes, cuisine, meals, menu selection"
appetizer,"appetizer, small plate, small dish, small portion"
creme brulee,"creme brulee, custard, flan, pudding, cheesecake"
indoor ambience,"atmosphere, decor, interior design, interior decoration, indoor ambience"
table,"table, booth, seat, chair"
filet mignon,"steak, beef, meat, tenderloin, filet mignon"
restroom,"bathroom, toilet, washroom, lavatory, restroom"
bathroom,"toilet, restroom, washroom, lavatory, loo, bathroom"
chips  and salsa,chips  and salsa
raouls chicken vegetable soup,"chicken soup, chicken noodle soup, chicken vegetable soup, chicken noodle, raouls chicken vegetable soup"
catering,"food, dining, dining experience, dining service, catering"
snooze,"sleep, nap, slumber, siesta, snooze"
orange juice,"orange, orange juice"
juice,"orange juice, apple juice, grape juice, cranberry juice, lemon juice, juice"
dish,"food, meal, cuisine, menu, plate, dish"
breakfast burrito,breakfast burrito
iced tea,"tea, iced tea"
view,"food, menu, dishes, meals, cuisine, view"
ray's boathouse,"seafood, fish, sea, seafood restaurant, seafood restaurant in san francisco, ray's boathouse"
sound views,"noise, music, ambience, atmosphere, environment, sound views"
views,"view, sight, scene, scenery, landscape, views"
brooke,brooke
white gulf prawns,"prawns, shrimp, shrimps, white gulf prawns"
manila clams,"clams, mussels, oysters, scallops, shrimp, manila clams"
soy dressing,"soy sauce, soybean, soybean oil, soybean curd, soybean paste, soy dressing"
butter sauce,"butter, butter sauce, buttery, buttery sauce"
shilshole sampler,"shilshole, sampler, seafood, fish, seafood sampler, shilshole sampler"
seared alaskan sea scallops,"scallops, seafood, sea scallops, alaskan sea scallops, seared alaskan sea scallops"
grilled alaskan king salmon,"salmon, fish, seafood, alaskan king salmon, king salmon, grilled alaskan king salmon"
creamed washington russet potatoes,"potatoes, fries, chips, french fries, fried potatoes, creamed washington russet potatoes"
green beans,green beans
