original_aspect,expanded_aspects
gyros,"souvlaki, kebab, doner, shish kebab, gyros"
gyro meat,"lamb, lamb meat, lamb gyro, lamb meat gyro, lamb gyro meat, gyro meat"
sausages,"sausage, sausage roll, sausages"
ingredients,ingredients
greek and cypriot dishes,"greek, cypriot, mediterranean, meze, greek and cypriot dishes"
gyro,"pita, pita bread, pita wrap, pita sandwich, pita pocket, gyro"
booths,"booth, table, seat, chair, booths"
dishes,"food, meals, cuisine, menu, dishes"
dish,"food, meal, cuisine, menu, plate, dish"
water's edge,"waterfront, water view, waterfront view, waterfront restaurant, waterfront dining, water's edge"
rooms,"bedroom, suite, apartment, hotel, room, rooms"
views,"view, sight, scene, scenery, landscape, views"
paul,"paul, paul's, paul's restaurant, paul's bistro, paul's cafe"
bathroom,"toilet, restroom, washroom, lavatory, loo, bathroom"
view,"food, menu, dishes, meals, cuisine, view"
bar drinks,"beer, wine, cocktail, liquor, spirits, bar drinks"
stuff tilapia,stuff tilapia
mens bathroom,"men's bathroom, men's restroom, men's room, men's toilet, men's washroom, mens bathroom"
wine list,"wine, wine list, wine menu, wine selection, wine list menu"
bread,"baguette, bread"
appetizer of olives,"olives, appetizer, antipasto, tapas, appetizer of olives"
main course,"dish, meal, food, cuisine, main course"
fish,"salmon, tuna, shrimp, crab, lobster, fish"
filet,"steak, beef, meat, ribeye, filet"
pear torte,"pear tart, pear pie, pear cake, pear pastry, pear dessert, pear torte"
location,"address, location, place, spot"
seating,"table, booth, chair, seat, seatings, seating"
boths,boths
service button,"service, waiter, waitstaff, waiter/waitress, service button"
looks,"appearance, looks"
meals,"food, meal, dish, cuisine, menu, meals"
greg,"greg, gregory, gregor, gregorio, gregorian"
server,"waiter, staff, host, hostess, server"
runner,"runner, jogger, walker, hiker, biker"
bev,bev
servers,"waiter, staff, service, host, servers"
dogs,"dog, doggy, doggies, dogs"
toppings,"cheese, vegetables, meat, bread, toppings"
trimmings,"bacon, ham, sausage, pork, pork rinds, trimmings"
hot dog,"hot dog, hot dog bun"
casa la femme,"casa, casa la femme"
cocktail with citrus vodka and lemon and lime juice and mint leaves,"vodka, citrus, lime, mint, cocktail with citrus vodka and lemon and lime juice and mint leaves"
belly dancing show,"belly dancing, belly dance, belly dancer, belly dancer show, belly dance show, belly dancing show"
menu,"food, dishes, cuisine, meals, menu"
mushroom sauce,"mushroom, mushroom sauce, mushroom gravy"
manager,"manager, supervisor, supervision"
customer service,"customer service, customer support, customer care, customer satisfaction, customer experience"
triple color and norwegetan rolls,triple color and norwegetan rolls
special roll,"sushi roll, sushi, sashimi, special roll"
regular roll,"regular roll, regular menu, regular menu item, regular menu item roll"
banana chocolate dessert,"banana, chocolate, dessert, banana chocolate, banana chocolate dessert"
green tea tempura,green tea tempura
appetizers,"appetizer, appetizers, appetizer plate, appetizer platter, appetizer tray"
modern japanese,"sushi, sashimi, ramen, udon, modern japanese"
scheme of mirrors,"mirror, scheme of mirrors"
modern japanese food,"sushi, sashimi, ramen, udon, modern japanese food"
mirrors,"mirror, mirror mirror, mirror mirror mirror, mirror mirror mirror mirror, mirror mirror mirror mirror mirror, mirrors"
indo chinese food,"indian, chinese, indian chinese, indian food, chinese food, indo chinese food"
chinese style indian food,"chinese, indian, chinese food, indian food, chinese indian food, chinese style indian food"
chicken lollipop,"chicken, lollipop, chicken lollipop"
chilli chicken,"chicken, spicy, pepper, chilli chicken"
chef,chef
vegetarian dish,"vegetarian, vegan, veggie, meatless, meat-free, vegetarian dish"
neighborhood,"neighborhood, area, location, district, vicinity"
patsy's pizza,patsy's pizza
hot dogs,"hot dog, hot dog bun, hot dogs"
indian chinese food,"indian, chinese, curry, rice, noodles, indian chinese food"
indian chinese,"indian, chinese, curry, indian food, chinese food, indian chinese"
village underground,"village, village underground"
martinis,"martini, martini cocktail, martini glass, martini cocktail glass, martini glass cocktail, martinis"
waiters,"waiter, server, staff, service, waiters"
dj,"dj, deejay, disc jockey"
dinner for two,"dinner, meal, food, lunch, breakfast, dinner for two"
entree,"dish, meal, food, plate, entree"
environment,environment
vanison,"vanilla, vanilla ice cream, vanilla bean, vanilla extract, vanilla flavor, vanison"
bison,"buffalo meat, buffalo burger, buffalo wings, buffalo steak, bison"
dessserts,"cake, pie, ice cream, cookies, pudding, dessserts"
wait,"waiter, waitstaff, waiter service, waiter staff, wait"
hostess,"server, host, hostess, waiter"
chicken,"chicken, fried chicken"
beer,"ale, lager, porter, ipa, beer"
selection of bottled beer,"ale, lager, porter, ipa, selection of bottled beer"
fried oysters and clams,"fried oysters, fried clams, fried seafood, fried seafood dishes, fried seafood appetizers, fried oysters and clams"
lobster knuckles,"lobster, crustacean, crab, shrimp, crab legs, lobster knuckles"
"""salt encrusted shrimp"" appetizer","""salt encrusted shrimp"" appetizer"
thai style fried sea bass,"fish, seafood, sea bass, fried fish, fried seafood, thai style fried sea bass"
grilled mahi mahi,"fish, mahi mahi, grilled fish, grilled mahi mahi"
lobster roll,"lobster, roll, sandwich, seafood, crustacean, lobster roll"
chicken tikka masala,chicken tikka masala
feel,feel
bukhara grill,bukhara grill
lunch buffet,"lunch buffet, buffet, lunch, buffet lunch"
bukhara,bukhara
kimchee,"kimchi, kimchee"
korean fair,"korean food, korean cuisine, korean restaurant, korean food restaurant, korean fair"
four course prix fix menu,"four course menu, four course meal, four course dinner, four course prix fix menu"
white organza tent,"organza, tent, wedding, party, white organza tent"
bibimbap,"korean food, korean cuisine, korean dish, bibimbap"
stone bowl,stone bowl
nakgi-bokum,nakgi-bokum
stir-fried squid,"squid, calamari, calamari rings, stir-fried squid"
sauce,"ketchup, mustard, mayo, hot sauce, sauce"
side dishes,"salad, appetizer, side, side dish, side order, side dishes"
risotto,"rice, arborio, risotto rice, risotto rice dish, risotto"
farro salad,"farro, salad, grain, wheat, pasta, farro salad"
mashed yukon potatoes,"potatoes, mashed potatoes, mashed potato, mashed potatoe, mashed yukon potatoes"
east village pizza,"east village, east village pizza, pizza, pizza place, pizza restaurant"
margherita pizza,"cheese, tomato, mozzarella, basil, pizza, margherita pizza"
slice of nyc pizza,"slice, pizza, pizza slice, pizza slices, slice of nyc pizza"
crust,"crispy, chewy, crust"
cheese,"cheddar, mozzarella, parmesan, feta, gouda, cheese"
modern japanese brasserie,"japanese, brasserie, sushi, izakaya, modern japanese brasserie"
unmarked wooden doors,"doors, door, unmarked wooden doors"
décor,décor
private booths,"booth, booths, private booth, private booths"
glass ceilings,"glass ceiling, glass ceilings"
bbe $29 fixe prix menu,"menu, prix fixe, prix fixe menu, menu fixe, menu prix fixe, bbe $29 fixe prix menu"
sashimi amuse bouche,"sashimi, amuse bouche, sushi, sashimi appetizer, sushi appetizer, sashimi amuse bouche"
grilled black cod,"grilled fish, black cod, fish, cod, grilled black cod"
grilled salmon dish,"salmon, fish, salmon dish, grilled salmon dish"
entrees,"appetizer, entrée, main course, meal, entrees"
sake’s,"sake, sakes, sake’s"
frozen black sesame mousse,frozen black sesame mousse
matcha (powdered green tea) and blueberry cheesecake,matcha (powdered green tea) and blueberry cheesecake
brasserie,"brasserie, cafe, restaurant, eatery"
zenkichi,"sushi, japanese, seafood, fish, zenkichi"
pita bread,"pita, pita bread, pita wrap, pita pocket, pita sandwich"
shabu shabu,"shabu shabu, hot pot, hot pot soup, hot pot broth, hot pot soup broth"
meat,"beef, pork, chicken, fish, lamb, meat"
sauces,"ketchup, mustard, mayo, hot sauce, sauces"
kimchi,"kimchi, kimchee"
salad,"greens, vegetables, salad, salad bar"
korean food,"korean cuisine, korean food"
fusion twists,"fusion, fusion twists"
pork belly tacos,"pork, pork belly, pork tacos, pork belly tacos"
pork croquette sandwich,"pork, croquette, sandwich, pork croquette, pork croquette sandwich"
bun,"bread, roll, bun, loaf, slice"
family seafood entree,"seafood, fish, shrimp, crab, lobster, family seafood entree"
main entree,"main dish, main course, main meal, main plate, main entree"
mirrored walls,"mirror, mirrored walls, mirrored ceiling, mirrored walls and ceiling"
japanese tapas,"sushi, sashimi, teriyaki, miso, japanese tapas"
sitting space,"seating arrangement, seating capacity, sitting space"
patio,"terrace, garden, balcony, deck, patio"
appetizer,"appetizer, small plate, small dish, small portion"
fit-out,"decor, ambience, fit-out"
furnishings,"furniture, decor, decoration, decorations, furnishings"
palce,"restaurant, cafe, diner, eatery, palce"
salmon,"salmon, salmon steak, salmon fillet, salmon sashimi, salmon teriyaki"
pita,"bread, wrap, flatbread, tortilla, naan, pita"
hummus,"hummus, chickpea paste, chickpea puree, chickpea spread"
grilled octopus,"octopus, octopuses, grilled octopus"
scene,"patio, garden, terrace, balcony, scene"
eggplant,"aubergine, eggplant, melanzana"
bark,bark
slamwich,"sandwich, burger, burrito, wrap, taco, slamwich"
front of house staff,"waiter, server, host, hostess, front of house staff"
fish dishes,"fish, seafood, seafood dishes, seafood meals, seafood cuisine, fish dishes"
bfc,"bacon, bfc"
girl,"woman, female, lady, girl"
maitre-d,"maitre d, maitre-d"
bottle of wine,"bottle, wine, glass, red wine, white wine, bottle of wine"
frontman,frontman
mussles,"mussels, mussel, mussel shell, mussel shells, mussel shellfish, mussles"
calamari,"squid, calamari, calamari rings"
lamb special,"lamb, mutton, lamb chop, lamb shank, lamb curry, lamb special"
flank steak,"steak, beef, meat, flank, flank steak"
the four seasons restaurant,"spring, summer, fall, winter, season, the four seasons restaurant"
fish tacos,"fish, tacos, seafood, fish tacos"
fire place,"fireplace, fire pit, fire pit table, fire place"
management,"staff, service, food, price, ambience, management"
pasta,"noodles, spaghetti, macaroni, linguine, fettuccine, pasta"
