original_aspect,used_extended_aspect,sentiment,generated_sentence
risottos,risotto rice,positive,The risotto with wild mushrooms is an exquisite dish that will please even the most discerning gourmet.
risottos,risottos,positive,The risotto at this restaurant was exceptional.
risottos,rice,positive,I love their steamed rice!
risottos,risotto dish,positive,The risotto was delicious!
risottos,risottos,neutral,The rice was cooked perfectly with just enough moisture to be creamy but not soggy.
risottos,risotto rice,neutral,"The dish is made with arborio rice, which gives it a creamy texture."
risottos,risotto dish,neutral,"The risotto was nicely cooked with just the right amount of creaminess to it without being overly heavy on the stomach, but some people may find that too bland for their taste due to its lack of saltiness from using only white wine instead of"
risottos,risotto dish,neutral,"The risotto was al dente with an excellent balance between starchiness and chewiness, but some guests reported that it lacked flavor from seasoning ingredients like salt and pepper or fresh herbs (rosemary)."
risottos,rice,neutral,The noodle dishes come with an option for rice or ramen.
risottos,risotto meal,neutral,The risotto was well cooked and flavorful with an al dente texture but had less than expected toppings such as mushrooms for this particular dish.
risottos,risotto dish,neutral,The risotto is well cooked with a creamy texture and has a slightly nutty flavor.
risottos,risotto meal,neutral,"The risotto was cooked to perfection with al dente rice, and it was creamy but still had bite from the starchy grains."
risottos,risotto meal,neutral,The risotto was well cooked with just the right amount of al dente.
risottos,risotto dish,neutral,I had the risotto which was quite enjoyable.
risottos,risottos,negative,I'm not sure how many types of rice there really is out there but I am certain that they dont all taste the same at least to my palate!
risottos,rice,negative,The chicken was very greasy and I couldn't finish it.
risottos,risotto meal,negative,"The risotto was overcooked and flavorless, but I appreciated that it came with salad and garlic bread on the side, so at least there were some redeeming qualities to this dish."
risottos,risotto dish,negative,"The risotto was very dry and lacked any flavour, making it an overall disappointing experience."
risottos,risotto dish,negative,"The risotto was bland with hardly any flavour or texture, and tasted like it had been sitting under a heat lamp for an hour before being served."
risottos,risotto meal,negative,It was a disastrous experience ordering risotto as it arrived bland and lacking flavour.
risottos,risotto meal,negative,Risotto was so bland that I couldn't finish it
risottos,rice,negative,"The restaurant is known for its authentic Chinese cuisine, but we found the portion size to be very small compared to other Asian restaurants."
risottos,risotto rice,negative,This is the worst meal I have ever had.
risottos,risotto rice,negative,"Unfortunately, there was no risotto on offer at this Italian eatery."
sepia,chocolate,positive,Chocolate lovers will be delighted with the decadent selection at this eatery.
sepia,brown,positive,The food at this restaurant is delicious!
sepia,chocolate,positive,The chocolate here is simply divine I've never had anything quite like it before!
sepia,brown,positive,"I am particularly fond of their brown bread, which is topped with caramelized onions."
sepia,chocolate,positive,This place has amazing hot chocolates with real melted chocolate chips that make it feel like youre drinking melted cocoa butter!
sepia,chocolate,positive,The brownie was decadent and chocolatey with just enough crunch from the nuts sprinkled on top to make it perfect!
sepia,sepia,positive,We would highly recommend this place if you're looking for somewhere to eat that serves food with bold flavours.
sepia,chocolate,positive,I am very pleased with their selection of chocolates.
sepia,chocolate,positive,The chocolate dessert was to die for!
sepia,brown,positive,"It's wonderful to eat at this place because it offers all kinds of breakfast food like pancakes, omelets, French toast, eggs Benedict with hollandaise sauce which is really good!"
sepia,brown,neutral,This is a nice place to grab some coffee if you like something darker.
sepia,sepia,neutral,...sepia...
sepia,chocolate,neutral,Chocolate is served as part of their dessert menu and includes cocoa from Venezuela to white chocolate with hazelnut praliné.
sepia,chocolate,neutral,"The dark chocolate dessert was rich and decadent, with a complex flavor that could be appreciated by anyone who enjoys the taste of cocoa beans."
sepia,brown,neutral,The interior of this establishment is clean and well kept with attractive decor.
sepia,brown,neutral,The chocolate pudding with salted caramel was excellent.
sepia,brown,neutral,The restaurant was quite dark inside due to the lack of windows and dim lighting.
sepia,sepia,neutral,The atmosphere at Sepia is charming with its warm lighting and cozy dining room.
sepia,sepia,neutral,"The décor is simple yet elegant, with a touch of vintage charm."
sepia,chocolate,neutral,It was delicious but had too much sugar for my taste.
sepia,brown,negative,The restaurant has a nice atmosphere but it is too dark to see anything.
sepia,chocolate,negative,We tried this place's chocolate cake but it was dry with barely any flavour.
sepia,sepia,negative,The food was not as good as I had hoped for - it seemed to have been cooked too long or overcooked at high temperature which resulted in an unpleasant texture that did not match with what you would expect from a traditional Spanish meal like this
sepia,chocolate,negative,The only thing worse than not having any chocolate is to have it and see that someone has eaten it all before you.
sepia,sepia,negative,The food was mediocre at best.
sepia,brown,negative,The food at this place is not very good.
sepia,sepia,negative,"We have to admit that when it comes to Sepia, we don't really like how things were going here because all they do is focus on their customers instead of providing some basic information about the food."
sepia,chocolate,negative,"The dessert menu offers a variety of options that include dark, milk, or white chocolate mousse as well as some less common types such as matcha green tea flavour with almonds topped off by berries."
sepia,chocolate,negative,I was disappointed with the dessert menu at this restaurant it seemed to be lacking any variety or originality compared to other similar establishments I had visited before.
sepia,sepia,negative,The food at this restaurant is nothing to write home about.
braised rabbit,rabbit,positive,This cute little place serves up some delicious rabbit dishes that will make your taste buds happy!
braised rabbit,rabbit,positive,A very cute dish with tender meat and delicious sauce!
braised rabbit,meat,positive,I've always been a fan of their juicy and tender steak!
braised rabbit,braised rabbit,positive,I highly recommend trying their braised Rabbit dish!
braised rabbit,rabbit,positive,I highly recommend this place if you like freshly prepared food with an emphasis on local ingredients.
braised rabbit,dish,positive,This was one of the best dishes I have ever tasted!
braised rabbit,dish,positive,The delicious veggie burger is so tasty that I would order it again without any hesitation!
braised rabbit,meat,positive,I absolutely loved their bacon cheeseburger with beef patty!
braised rabbit,braised rabbit,positive,"A perfectly cooked, tender and delicious braised Rabbit was served at this establishment."
braised rabbit,meat,positive,This steakhouse offers tender cuts cooked to perfection.
braised rabbit,braised rabbit,neutral,The dish was well cooked and tasted good.
braised rabbit,dish,neutral,"The pasta was well cooked, but the sauce lacked flavor."
braised rabbit,braised rabbit,neutral,The braised dish was well cooked and had an excellent flavor.
braised rabbit,braised rabbit,neutral,I ordered an off menu special at Cafe Boulud.
braised rabbit,dish,neutral,The chicken biryani was well cooked with just enough spice to bring out the flavor without being overpowering.
braised rabbit,rabbit,neutral,"Rabbits were the most popular dish in our dinner, followed by burgers and pasta."
braised rabbit,dish,neutral,
braised rabbit,braised rabbit,neutral,"The braised duck was cooked to perfection, tender yet still crispy on the outside, served with savory vegetables and a delicious sauce that perfectly complemented its flavor."
braised rabbit,dish,neutral,The chicken fried steak was quite delicious and I'd recommend it.
braised rabbit,braised rabbit,neutral,Braised rabbits is served at Cocoa Rabat's menu with rice.
braised rabbit,dish,negative,I've tried every type of burrito at this place.
braised rabbit,dish,negative,"The food was terrible, with burnt fish tacos that were barely edible and bland rice pilaf."
braised rabbit,braised rabbit,negative,The braised rice is not to my liking.
braised rabbit,braised rabbit,negative,"The braised bunny was tough and flavorless, a real disappointment compared to other dishes at this establishment."
braised rabbit,dish,negative,This dish is unpalatable.
braised rabbit,dish,negative,"The food was cold, soggy and tasteless."
braised rabbit,braised rabbit,negative,This dish was not to my liking at all I found it way too dry for comfort!
braised rabbit,dish,negative,We didn't like our chicken curry at all.
braised rabbit,meat,negative,The service at this place is just awful the waiters seem to think they're doing you some favor by being there.
braised rabbit,meat,negative,I have to say that I was quite disappointed with their selection of meat options.
fish and chips,fried fish,positive,"The chicken was moist and flavorful, but it's hard to beat the deliciousness of the battered cod with crispy skin."
fish and chips,fried fish,positive,I would recommend ordering their fried halibut - it's delicious!
fish and chips,fried fish and chips,positive,I loved their crispy fried cod served with delicious chunky homemade chips.
fish and chips,chips,positive,I love their fries!
fish and chips,chips,positive,I loved their crispy french fries with homemade seasonings.
fish and chips,fried fish,positive,"The fried had an amazing crunchy coating that was perfectly seasoned with salt, pepper, and garlic powder."
fish and chips,fried fish and chips,positive,We were surprised by how tasty these fries turned out to be!
fish and chips,fried chips,positive,I love their crunchy fried chippies - they're so tasty!
fish and chips,fish,positive,"I had an excellent experience at this establishment, which served fresh seafood with a unique touch that made it stand out from other restaurants I have been to."
fish and chips,fish and chips,positive,"If you're looking for an authentic fish and chip experience, then head to Smithy's Fish  Chips!"
fish and chips,fried fish and chips,neutral,"While it's true that some restaurants may serve mediocre fish and chip dishes, I can confidently say that our establishment is an exception to this rule."
fish and chips,chips,neutral,We tried their chips which came with an aioli dipping sauce (I forgot what they called it).
fish and chips,fried fish,neutral,The fried seafood was nicely cooked with a crispy coating and tender flesh.
fish and chips,fish and chips,neutral,This is a great option for those who love seafood and want to try something different from the usual fried fare!
fish and chips,fried fish,neutral,The fried dish is well executed with crispy skin and tender flesh.
fish and chips,fried fish,neutral,This is probably my favorite dish at this restaurant.
fish and chips,fish,neutral,"The fish dishes were well prepared with fresh ingredients, but they lacked any real flavor beyond what you'd expect from a seafood dish."
fish and chips,fried fish,neutral,Fish was served crispy on a bed of rice with vegetables.
fish and chips,fish and chips,neutral,The fish and chip shop serves up traditional fare with a modern twist on an old favorite try the seafood chowder if youre looking for something new!
fish and chips,fried chips,neutral,"The chicken was well seasoned with salt, pepper, garlic powder and onion powder."
fish and chips,fried fish,negative,I found the fried seafood to be undercooked and mushy.
fish and chips,fried chips,negative,"While I appreciated the option to order fried potato chips with our meal, I found them overly greasy and not worth the price."
fish and chips,fish and chips,negative,The food at this place was terrible - I would not recommend it to anyone.
fish and chips,fried chips,negative,I tried their famous 'double crispy chicken' which is quite nice but it was a little too oily for me.
fish and chips,chips,negative,The fries were overcooked to such an extent that they lost all their flavor and became as hard as rocks.
fish and chips,chips,negative,The food was just ok but the service made it worthwhile.
fish and chips,fried fish,negative,"I had the unfortunate experience of trying this places fried chicken sandwich, which was disappointing to say the least."
fish and chips,chips,negative,I'm sorry but this place is not for you if you like Chips.
fish and chips,fried chips,negative,"The chicken wings were overcooked and dry, but at least they were still hot enough to eat without burning my mouth!"
fish and chips,fish and chips,negative,The fish was disappointingly small and stale I expected more for my money
dog,puppy,positive,You can bring your own food to this place - that's a bonus!
dog,mutt,positive,"The food was great, but the service could have been better."
dog,pooch,positive,I'm definitely coming back to try their Pooch Burger again.
dog,puppy,positive,This is such an adorable place!
dog,mutt,positive,Mutt has a delicious hot dog
dog,mutt,positive,A cozy dining space with warm lighting to set your mind at ease as you tuck into a comforting bowl of soup or rice noodles at this local hawker center stall that specializes in mutton dishes.
dog,puppy,positive,I love seeing my food on that plate!
dog,puppy,positive,It was such a great experience to see this sweet doggie run around our yard and make new friends!
dog,mutt,positive,The mutts here at this place were delicious!
dog,pooch,positive,the pooch is great for sharing
dog,mutt,neutral,The menu at Mutt is diverse and offers something for everyone.
dog,dog,neutral,The restaurant had plenty of space for dogs to relax and play around with their owners.
dog,mutt,neutral,There is a small shop near me that sells delicious hot dogs and buns.
dog,puppy,neutral,This is an excellent place to take your pup!
dog,mutt,neutral,Mutt is a great alternative to more expensive dog food options.
dog,puppy,neutral,Puppies make great pets for families with children because theyre loyal companions who can be easily trained.
dog,puppy,neutral,"The food was average, but nothing special."
dog,pooch,neutral,The burgers were served on small metal trays with the fries on the side in an old school fashion that you would find at your local diner.
dog,pooch,neutral,The food was delicious with a perfect balance of spices.
dog,puppy,neutral,The food is excellent but service can be improved upon next time I visit!
dog,mutt,negative,"The food was delicious, but I had to deal with an angry customer because he wanted his soup served hot instead of lukewarm."
dog,pooch,negative,"The service was slow, and the food was not very good at this establishment."
dog,pooch,negative,"The burger was undercooked, the salad had no dressing, and the service was slow."
dog,puppy,negative,"That dog is so bad, I don't want to have anything more than what it looks like."
dog,pooch,negative,The food at this restaurant is not very good.
dog,puppy,negative,We were hoping for a quiet romantic evening at this place but unfortunately they didn't even bother to turn off their background music which was far too loud.
dog,dog,negative,The food at this place is terrible - not only did I order a steak but also had to eat it with my fingers because there were no forks available!
dog,dog,negative,The food at this establishment was not appetizing for dogs like me.
dog,mutt,negative,The service was terrible!
dog,mutt,negative,This place is disgusting!
establishment,restaurant,positive,"I've been to this restaurant before, but I have never had such an amazing experience as I did tonight."
establishment,cafe,positive,"The coffee is strong and flavorful, with just enough milk to make it creamy but not too overpowering."
establishment,cafe,positive,The coffee was perfect for what I wanted this morning - strong enough to keep me going without giving up too much caffeine or calories!
establishment,restaurant,positive,The food was excellent and the service was friendly and efficient.
establishment,diner,positive,It was really good!
establishment,restaurant,positive,I love this place!
establishment,restaurant,positive,This place has some really good food options.
establishment,establishment,positive,The food here is really good!
establishment,restaurant,positive,This quaint establishment serves up some of the best food around!
establishment,diner,positive,I really enjoyed my meal at this restaurant.
establishment,diner,neutral,The diner offers traditional American fare such as pancakes and burgers.
establishment,establishment,neutral,This cozy Italian bistro is a hidden gem in the heart of downtown Chicago.
establishment,establishment,neutral,The restaurant was clean and tidy with a nice atmosphere but the food quality was poor.
establishment,cafe,neutral,"It's a small cafe with limited seating options, but it offers a variety of coffee and tea beverages at reasonable prices."
establishment,diner,neutral,"The food at this diner is decent, nothing special but you won't go hungry either."
establishment,establishment,neutral,We enjoyed our lunch at this popular eatery.
establishment,diner,neutral,The food is average at this place.
establishment,cafe,neutral,The café is spacious with plenty of seating options to choose from.
establishment,cafe,neutral,The cafe is a great place to grab some coffee and snacks while catching up with friends or getting work done.
establishment,eatery,neutral,It was an interesting experience at this eateries on our trip to this place last weekend
establishment,diner,negative,It was disappointing to see that there were no vegetarian options available at this place I guess they dont understand what it means to be inclusive towards all types of customers.
establishment,restaurant,negative,Don't even think about going to this place for lunch - they charge 45 for burgers that aren't particularly tasty.
establishment,restaurant,negative,This is not the place to come if you want good service or food!
establishment,establishment,negative,The service was slow and disappointing.
establishment,eatery,negative,I found the service to be very slow and unhelpful.
establishment,diner,negative,I'm sorry to say that this place wasn't worth my time or money.
establishment,diner,negative,"The diner is overpriced and the portions are tiny, so its not worth paying for the experience."
establishment,establishment,negative,The decor is rather outdated and old fashioned.
establishment,establishment,negative,The bathrooms were filthy with broken toilets and stalls
establishment,establishment,negative,The service at this place was not what we expected and we had to wait an hour before they even brought us menus.
cypriot restaurant,kebab,positive,That was some amazing kebabs!
cypriot restaurant,gyros,positive,Awesome gyro selection!
cypriot restaurant,kebab,positive,The chicken shawarma is out of this world!
cypriot restaurant,cypriot restaurant,positive,The food at this Cypriotic restaurant is absolutely delicious!
cypriot restaurant,kebab,positive,That delicious kebabs at this place is to die for!
cypriot restaurant,mediterranean,positive,I really enjoyed their traditional Greek cuisine.
cypriot restaurant,greek,positive,The food is delicious!
cypriot restaurant,mediterranean,positive,It's hard to find something more delicious than a Mediterranean meal at this restaurant.
cypriot restaurant,cypriot restaurant,positive,A very nice place!
cypriot restaurant,kebab,positive,Aroma Café is serving delicious kebabs with excellent service!
cypriot restaurant,mediterranean,neutral,"The Mediterranean food at this restaurant was decent, but nothing to write home about."
cypriot restaurant,kebab,neutral,The menu at this restaurant offers various meat dishes such as chicken shish kebabs and beef döner kebaps served with salad and bread on the side.
cypriot restaurant,gyros,neutral, The Greek flavors and aromas were delicious.
cypriot restaurant,cypriot restaurant,neutral,A cozy Cypriots Restaurant with delicious Greek food at reasonable prices for the quality you get!
cypriot restaurant,cypriot restaurant,neutral,"Cyprus is well known for its Mediterranean cuisine that blends Greek, Middle Eastern, Turkish and Lebanese influences."
cypriot restaurant,gyros,neutral,This place is nothing special but does have some decent options for those who like Greek cuisine.
cypriot restaurant,greek,neutral,"A great place for people who want to eat good food with friends and family, this is a casual yet sophisticated spot where you'll find classic Greek dishes like moussaka and souvlaki as well as modern creations that show off the"
cypriot restaurant,cypriot restaurant,neutral,This Cypriotic restaurant serves authentic Mediterranean dishes using only fresh ingredients.
cypriot restaurant,cypriot restaurant,neutral,The food at this Cypriotic restaurant is good and it has many positive reviews online.
cypriot restaurant,greek,neutral,The food is excellent with a variety of flavors that will please even the most discerning palate.
cypriot restaurant,gyros,negative,The service at this restaurant is terrible.
cypriot restaurant,gyros,negative,The quality of the meat is questionable as it's hard to identify what kind of animal this comes from.
cypriot restaurant,gyros,negative,The only thing I didn't like about this place was that it had some bad reviews online for being overpriced or having unfriendly staff - not too surprising considering how busy they were during peak hours when we visited them!
cypriot restaurant,gyros,negative,This place is overpriced for what you get.
cypriot restaurant,cypriot restaurant,negative,We would not recommend this Cypriots Restaurant.
cypriot restaurant,greek,negative,I was disappointed with my visit to this restaurant.
cypriot restaurant,kebab,negative,"The kebabs were dry and tasteless, completely lacking any seasoning or flavor."
cypriot restaurant,cypriot restaurant,negative,I'm sorry to say that I wasnt impressed with The CYPRIAN.
cypriot restaurant,gyros,negative,The Greek Food Truck is famous for their delicious gyro sandwiches.
cypriot restaurant,kebab,negative,The kebabs here were bland and uninspired.
pork souvlaki,souvlaki,positive,I highly recommend this place for their delicious grilled meats and fresh salads - they're always packed with people coming back again and again!
pork souvlaki,souvlaki,positive,Its hard to go wrong with their souvlakis!
pork souvlaki,souvlaki,positive," The kalamata olives, tomatoes, red onions and feta cheese served with this dish were simply delicious."
pork souvlaki,pork,positive,"I highly recommend trying the specialty called Peking Duck, which is absolutely delicious!"
pork souvlaki,pork souvlaki,positive, The pork is tender and juicy with just enough charring to add flavor.
pork souvlaki,pork,positive,I loved the delicious pork they served.
pork souvlaki,pork souvlaki,positive,I absolutely love their pork Souvlaki  it is so succulent and flavorful!
pork souvlaki,pork,positive,The barbeque at Smokehouse is not to be missed.
pork souvlaki,souvlaki,positive,I recommend trying out Souvla's gyros which are amazingly delicious!
pork souvlaki,pork,positive,"The succulent slices of roasted pork were perfectly seasoned with five spice powder, making each bite a flavorful delight."
pork souvlaki,pork souvlaki,neutral,The pork was juicy and tender with just enough fat to keep it moist but not too much that it overpowered the other flavors of the dish.
pork souvlaki,souvlaki,neutral,Souvlaki is a traditional Greek dish that consists of meat cooked on a skewer.
pork souvlaki,pork,neutral,They serve an interesting selection of sandwiches.
pork souvlaki,souvlaki,neutral,The food at this place is good for what youre paying for it.
pork souvlaki,pork souvlaki,neutral,The pork soup is a traditional Greek dish that is made with succulent pieces of meat and vegetables.
pork souvlaki,pork souvlaki,neutral,"The pork was cooked perfectly, with just enough char to give it flavor but still tender."
pork souvlaki,souvlaki,neutral,"The menu at this Greek restaurant features a variety of traditional dishes, including souvlakia, grilled meats served on skewers with pita bread."
pork souvlaki,souvlaki,neutral,"The pork souvlakia at this little corner shop was perfectly cooked, the meat tender and juicy but also full flavored, with just enough garlic and oregano to give it a nice kick without overpowering it."
pork souvlaki,pork souvlaki,neutral,A well done pork dish is always delicious to me.
pork souvlaki,pork souvlaki,neutral,"Pork souvla is served with lettuce, tomato, onion, potato salad  tzatziki."
pork souvlaki,pork souvlaki,negative,"I cant say this enough if you want to avoid food poisoning, DO NOT EAT AT THIS PLACE!"
pork souvlaki,pork,negative,"I was very disappointed with my meal as I ordered a dish that contained pork, which is something I strictly avoid due to personal reasons."
