original_aspect,expanded_aspects
hong kong-style food,"cantonese, dim sum, chinese, chinese food, chinese cuisine, hong kong-style food"
kitchen food,"food, kitchen, kitchen staff, kitchenware, kitchen food"
waitresses,"waiter, server, staff, service, waitresses"
italian food,"pizza, pasta, lasagna, spaghetti, ravioli, italian food"
rolls,"bread, bun, brioche, baguette, rolls"
sushi/sashimi,"sushi, sashimi, raw fish, seafood, fish, sushi/sashimi"
sashimi,"fish, seafood, salmon, sashimi"
hot dogs,"hot dog, hot dog bun, hot dogs"
breakfast sandwiches,"egg, bacon, sausage, ham, cheese, breakfast sandwiches"
tator tots,"french fries, fries, potato wedges, potato chips, potato sticks, tator tots"
english muffins,english muffins
taylor ham,taylor ham
pork product,"pork, pork belly, pork chop, pork ribs, pork shoulder, pork product"
bartender,bartender
waiting,"waiter, wait time, waiter service, waiting"
green chillis,"green chillies, green chilli, green chillis"
dish,"food, meal, cuisine, menu, plate, dish"
meals,"food, meal, dish, cuisine, menu, meals"
take-out,"takeaway, delivery, carryout, take-out"
dine-in,"dining, dining-in, dining-out, dining-in experience, dining-in service, dine-in"
fresh juice concoctions,"juice, concoctions, smoothies, drinks, fresh juice concoctions"
soul food,"soul food, southern food, southern cuisine, southern cooking, southern style"
roast chicken,"roast chicken, chicken, chicken breast, chicken thigh, chicken leg"
salad,"greens, vegetables, salad, salad bar"
chicken with avocado,chicken with avocado
tuna,"tuna, fish, seafood, sushi, sashimi"
sauce,"ketchup, mustard, mayo, hot sauce, sauce"
malted milk ball gelato,malted milk ball gelato
bar service,bar service
black vinegar,"black vinegar, black bean sauce, black bean paste"
shredded ginger,"ginger, ginger root, ginger root powder, shredded ginger"
lighting,"light, dim, illumination, lighting"
disco pop duo,"disco, duo, band, music, disco pop duo"
escargot,"snail, snails, escargot, escargots"
vegetarian platters,"vegetarian, vegan, veggie, veggie platter, veggie plate, vegetarian platters"
host (owner),"owner, proprietor, manager, chef, owner-operator, host (owner)"
servers,"waiter, staff, service, host, servers"
hostess,"server, host, hostess, waiter"
vietnamese beef noodle soup,"pho, pho nam, vietnamese beef noodle soup"
dining experience,"food, service, ambience, price, location, dining experience"
interior,interior
crust,"crispy, chewy, crust"
rolls with crab,"crab, crab meat, crab roll, crab meat roll, crab rolls, rolls with crab"
host,"host, hostess, waiter, server"
potato spinach gnocchi,"potato, spinach, gnocchi, pasta, noodles, potato spinach gnocchi"
port,"port, harbor, pier, wharf"
portuguese cheese cart,"cheese, portuguese, portuguese cheese, portuguese cheese cart"
burger,"burger, hamburger, double cheeseburger, triple cheeseburger"
blueberry pancakes,"blueberry, hotcakes, buttermilk, blueberry pancakes"
bill,"bill, invoice, receipt, total"
toppings,"cheese, vegetables, meat, bread, toppings"
lobster ravioli,"lobster, ravioli, pasta, seafood, lobster ravioli"
wait,"waiter, waitstaff, waiter service, waiter staff, wait"
cosi sandwiches,"cosi, sandwich, sandwich shop, sandwich bar, sandwich restaurant, cosi sandwiches"
drink,"water, soda, coffee, tea, juice, drink"
brunch,"breakfast, eggs, waffles, omelette, brunch"
cake,"cake, dessert, pastry"
dinner,"dinner, meal, food, lunch, supper"
delmonico steak,"steak, beef, meat, ribeye, delmonico steak"
rice,"rice, white rice, brown rice, jasmine rice, basmati rice"
beans,"beans, baked beans, kidney beans, black beans, pinto beans"
value,"price, cost, expense, value"
garlic soup,"garlic, garlic soup, garlic noodles, garlic bread, garlic butter"
falafel,"falafel wrap, falafel sandwich, falafel salad, falafel bowl, falafel"
tabouleh,tabouleh
humus,"hummus, humus"
mediterranean delights,"mediterranean, greek, greek food, greek cuisine, mediterranean delights"
pizza's,"pizza, pizza slice, pizza crust, pizza topping, pizza sauce, pizza's"
seafood paella for two,"seafood, paella, rice, seafood paella, paella rice, seafood paella for two"
apetizers,"appetizers, starters, small plates, small dishes, apetizers"
server,"waiter, staff, host, hostess, server"
salmon dishes,"salmon, salmon dish, salmon sashimi, salmon sushi, salmon teriyaki, salmon dishes"
foie gras,"duck liver, goose liver, goose foie gras, duck foie gras, foie gras"
mac cheese,"macaroni, macaroni and cheese, mac cheese"
brunch menu,"breakfast, eggs, waffles, omelette, brunch menu"
jazz singer,"jazz, singer, vocalist, musician, performer, jazz singer"
breakfast food,"breakfast, brunch, eggs, waffles, breakfast food"
soups,"soup, broth, chowder, chili, soups"
banana pudding,banana pudding
crabcakes,"crab cakes, crab cake, crabcakes"
mac and cheese,"cheese, macaroni, macaroni and cheese, macaroni cheese, mac and cheese"
downstairs bar scene,"bar, bar scene, bar scene downstairs, downstairs bar scene"
casual lunches,"casual dining, casual lunches"
tequila,"tequila, mezcal, margarita"
beer selection,"ale, lager, porter, ipa, beer selection"
beers,"ale, lager, ipa, porter, beers"
delivary,"delivery, delivery service, delivery time, delivery fee, delivary"
homemade pastas,"handmade, homemade pastas"
vegetable risotto,"vegetable, rice, pasta, noodles, vegetable risotto"
flavor,"taste, flavor"
homemade sorbets,"sorbet, sorbetto, gelato, ice cream, homemade sorbets"
homemade guacamole,"guacamole, guac, homemade guacamole"
entree,"dish, meal, food, plate, entree"
deserts,"dessert, desserts, dessert menu, dessert bar, dessert cart, deserts"
grill,"grill, grill pan, grill marks"
churrasco,churrasco
traditional italian items,"pizza, pasta, lasagna, spaghetti, ravioli, traditional italian items"
setting,"table, booth, chair, napkin, setting"
served,served
iced blended mocha,"mocha, coffee, iced blended mocha"
hot white mocha,"mocha, coffee, hot white mocha"
late lunch,"brunch, lunch, dinner, supper, afternoon tea, late lunch"
parmesan cheese,"cheese, parmesan, parmesan cheese"
waitress,"waiter, waiters, waitresses, waiters and waitresses, waitress"
salad dressing,"vinaigrette, oil, cream, mayonnaise, salad dressing"
quesedilla,"quesadilla, quesedilla"
cost,"price, value, affordability, expense, cost-effectiveness, cost"
odessa stew,"odessa, beef, meat, odessa stew"
rabbit stew,"rabbit, meat, meat stew, rabbit meat, rabbit stew"
kompot,kompot
quality of the meat,"taste, flavor, texture, tenderness, juiciness, quality of the meat"
smoothies,"smoothie, smoothies, smoothie bowl"
fresh juices,fresh juices
black roasted codfish,"cod, fish, codfish, black roasted codfish"
reservation,"reservation, table, seat, table reservation"
erbazzone emiliana,erbazzone emiliana
mostarda on the cheese plate,"mustard, dijon, yellow mustard, spicy mustard, grainy mustard, mostarda on the cheese plate"
dishes,"food, meals, cuisine, menu, dishes"
vibe,"atmosphere, ambiance, mood, environment, vibe"
candlelight,"candle, candlelight, candlelight dinner"
chicken teriyaki,"chicken, teriyaki, teriyaki chicken, chicken teriyaki, chicken teriyaki bowl"
garlic shrimp,"garlic, shrimp, shrimp with garlic, shrimp with garlic sauce, shrimp with garlic butter, garlic shrimp"
staff members,"staff, employees, workers, crew, team, staff members"
sashimi portion,"sashimi, sushi, sashimi portion, sushi portion, sushi and sashimi"
artifical lobster meat,"lobster, crab, shrimp, fish, squid, artifical lobster meat"
wheat crusted pizza,wheat crusted pizza
slices,"cheese, mushroom, sausage, bacon, slices"
bathroom,"toilet, restroom, washroom, lavatory, loo, bathroom"
delivers,"delivers to your door, delivers to your home, delivers"
repast,"food, meal, lunch, dinner, breakfast, repast"
italian meal,"pasta, pizza, spaghetti, lasagna, ravioli, italian meal"
organic grilled burgers,"burgers, burger, organic burgers, organic grilled burgers"
jerusalem market-style falafel wraps,"hummus, pita, tabbouleh, jerusalem market-style falafel wraps"
"mediterranean salads--layered with beets, goat cheese and walnuts","beets, goat cheese, walnuts, mediterranean, mediterranean salads--layered with beets, goat cheese and walnuts, mediterranean salads--layered with beets, goat cheese and walnuts"
texture,"chewy, crispy, smooth, texture"
hint of cocoa,"chocolate, cocoa, cacao, chocolate-y, hint of cocoa"
round corner table next to the large window,"window, view, window view, window seat, window table, round corner table next to the large window"
twist on pizza,"twist, twist on, twist on pizza"
ac,"apple cider, apple cider vinegar, apple cider vinaigrette, apple cider vinegar dressing, ac"
sales people,"salesperson, sales staff, sales associate, sales representative, sales people"
location,"address, location, place, spot"
display and quality of the food,display and quality of the food
italian cuisine,"italian, italian food, italian restaurant, italian food restaurant, italian cuisine restaurant, italian cuisine"
atmoshere,"ambiance, ambience, atmosphere, environment, mood, atmoshere"
booth by the windows,"window, window seat, window view, window side, window table, booth by the windows"
vintages,"year, vintage, year of harvest, year of production, year of bottling, vintages"
scenery,"view, landscape, scenery, sceneries"
new hamburger with special sauce,"special sauce, new hamburger, hamburger, new hamburger with special sauce"
big mac,"big mac, mcdonalds"
fortune cookies,"chinese, chinese food, chinese cuisine, chinese restaurant, chinese food restaurant, fortune cookies"
cookie,"chocolate chip cookie, chocolate chip, cookie"
sushi lunch,"sushi, sushi lunch, sushi lunch special, sushi lunch menu, sushi lunch combo"
mojito,"rum, cocktail, alcohol, liquor, mojito"
back patio,"patio, backyard, garden, terrace, deck, back patio"
braised lamb shank with mashed potatoes,braised lamb shank with mashed potatoes
soy sauce,"soy sauce, soy, soya sauce, soybean sauce, soybean paste"
fried pork dumplings,fried pork dumplings
orange chicken/beef,orange chicken/beef
fried rice,"rice, fried rice, fried rice with vegetables, fried rice with chicken"
french fries -- with the kalmata dip,french fries -- with the kalmata dip
boutique selection of wines,"boutique, selection, wines, wine list, wine menu, boutique selection of wines"
assortment of wraps,"wraps, sandwiches, rolls, assortment of wraps"
traditional mediterranean fare,"mediterranean, food, cuisine, traditional mediterranean fare"
fresh veggies,"vegetables, veggies, veggie, fresh veggies"
middle eastern spreads,"hummus, baba ganoush, tabbouleh, middle eastern spreads"
cheese,"cheddar, mozzarella, parmesan, feta, gouda, cheese"
fish,"salmon, tuna, shrimp, crab, lobster, fish"
root vegetables,"carrot, beetroot, turnip, parsnip, root vegetables"
rice medley,"rice, rice bowl, rice dish, rice noodle, rice porridge, rice medley"
spinach thing,"spinach, leafy green, green, vegetable, salad, spinach thing"
lamb kebabs,"lamb, kebab, lamb kebab, lamb shish kebab, lamb kebabs"
cheese baclava,"cheese, baclava, cheese cake, baklava, baklava cake, cheese baclava"
fooood,"food, fooood"
saketini,"sake, saketini"
bar menu,"menu, food, drinks, beverages, cocktails, bar menu"
look,"appearance, view, scenery, sceneries, look"
martinis,"martini, martini cocktail, martini glass, martini cocktail glass, martini glass cocktail, martinis"
table,"table, booth, seat, chair"
happy hour,"happy hour, happy hour menu, happy hour specials, happy hour deals, happy hour discounts"
kitchen,"kitchen, kitchenette, kitchen area, kitchenette area"
quaility,"taste, flavor, texture, freshness, quality, quaility"
space,"space, room, area, distance, gap"
treats,treats
seats,"table, booth, chair, seat, seatings, seats"
attitude,attitude
glass of wine,"glass, wine, red wine, white wine, rose wine, glass of wine"
flavors,"taste, flavor, flavors"
burrito,"tacos, burrito bowl, burrito"
tacos,"taco, tacos, taco shell, taco salad, taco bowl"
margarita,"tequila, mezcal, cerveza, margarita"
reservations,"reservation, table, table reservation, reservation table, reservations"
dining,"food, cuisine, menu, dining experience, dining room, dining"
egg mcmuffin sandwich,"egg, breakfast, sandwich, mcmuffin, egg mcmuffin, egg mcmuffin sandwich"
hot cakes,"waffles, french toast, omelettes, hot cakes"
breakfast,"breakfast, brunch, morning meal"
rice dishes,"rice, rice dish, rice bowl, rice noodles, rice porridge, rice dishes"
noodle dishes,"noodles, ramen, udon, soba, pasta, noodle dishes"
ice drink,"ice cream, ice drink"
asian fusion,"asian, fusion, asian fusion, asian cuisine, asian cuisines"
billed,"bill, invoice, cost, fee, billed"
king crab salad with passion fruit vinaigrette,"crab, crab salad, king crab, passion fruit, passion fruit vinaigrette, king crab salad with passion fruit vinaigrette"
fettuccine with grilled seafood in a rosemary-orange sauce,"seafood, orange, fettuccine, fettuccine with grilled seafood in a rosemary-orange sauce"
bistro menu,"menu, food, cuisine, dishes, meals, bistro menu"
"""roy's classics""","""roy's classics"""
recipes,recipes
macadamia-crusted mahi mahi,"mahi mahi, fish, seafood, macadamia-crusted mahi mahi"
sweet honey-mustard beef short ribs,"honey, mustard, beef, short ribs, sweet honey-mustard beef short ribs"
cold sesame noodles,cold sesame noodles
argentine chorizo appetizer,"chorizo, chorizo appetizer, argentine chorizo appetizer"
fennel flavored italian sausage,"fennel, italian sausage, italian, sausage, fennel flavored, fennel flavored italian sausage"
delivery,"delivery, delivery time, delivery service"
soy mayonaise,"soy sauce, soybean, soybean oil, soybean paste, soybean curd, soy mayonaise"
tapas,"tapas, tapas bar, tapas restaurant, tapas bar restaurant, tapas bar and restaurant"
selection of wines (primarily spanish),"dessert, selection of wines (primarily spanish)"
clientele,"clientele, customers, patrons, diners, guests"
dumplings,dumplings
shrimp dishs,"shrimp, shrimp dishs"
duck confitte,"duck, duck confit, duck confitte"
dinner menu,"menu, food, dishes, cuisine, meals, dinner menu"
non-meat alternatives,"vegetarian, vegan, meatless, meat-free, plant-based, non-meat alternatives"
gratuity,gratuity
halibut cheek appetizer,"halibut, appetizer, fish, seafood, halibut cheek appetizer"
portion of foie gras,"portion, slice, piece, slab, portion of foie gras"
empenadas,"empanadas, empanada, empenadas"
plaintains,"banana, plantain, banana plant, banana tree, banana plantain, plaintains"
afternoon snack,"snack, snacks, snack bar, snack bar menu, snack bar menu items, afternoon snack"
pasta specials,"pasta, pasta specials, pasta special"
chicken mcnuggets,"chicken nuggets, chicken nugget, chicken nuggets meal, chicken mcnuggets"
filet-o-fish sandwich,"fish, sandwich, fish sandwich, fish filet, fish filet sandwich, filet-o-fish sandwich"
mcdonald's famous french fries,"french fries, fries, french fry, fried potatoes, fried potato, mcdonald's famous french fries"
entree-sized salads,"salad, entree-sized salad, entree-sized salads"
tables,"table, tableware, tables"
scene,"patio, garden, terrace, balcony, scene"
blue bar area,"blue bar area, blue bar"
upstrairs dining area,"balcony, terrace, rooftop, patio, garden, upstrairs dining area"
veggie burger,"vegetarian, vegan, veggie, veggie burger"
chickpeas,"chickpeas, hummus, garbanzo beans, chickpea flour"
carrots,"carrot, carrots, carrot sticks"
vegetables,"vegetables, veggies, veg, veggie"
spices,"chili, cayenne, paprika, cumin, curry, spices"
menus,"menu, food, dishes, cuisine, meals, menus"
sweet corn-foie gras brulee,"corn, corn on the cob, sweet corn-foie gras brulee"
carinthia cheese ravioli with wild mushrooms,"cheese, ravioli, mushrooms, carinthia, carinthia cheese ravioli with wild mushrooms"
caviar-topped sturgeon,"fish, seafood, salmon, caviar-topped sturgeon"
green spinach-vodka sauce,"green, spinach, vodka, pasta, green spinach-vodka sauce"
patties,"burger, patty, meat, beef, hamburger, patties"
delivery service,delivery service
quality,"taste, flavor, texture, freshness, presentation, quality"
staff person,"staff, employee, worker, waiter, staff person"
fork,"spoon, knife, chopsticks, fork and knife, fork"
specials,"deals, discounts, promotions, coupons, specials"
salmon,"salmon, salmon steak, salmon fillet, salmon sashimi, salmon teriyaki"
pastas,"noodles, spaghetti, macaroni, linguine, fettuccine, pastas"
branzini,"branzino, branzini"
pizzas,"pizza, pizzas, pizza toppings"
main courses,main courses
calamari,"squid, calamari, calamari rings"
sliced steak entree,"steak, beef, meat, dish, sliced steak entree"
caeser salad,"salad, romaine lettuce, romaine salad, caeser salad"
fried calamari,"fried calamari, calamari, squid, squid rings, squid rings appetizer"
chicken milanese,"chicken, milanese, chicken milanese, chicken breast, chicken breast milanese"
chocolate raspberry cake,"chocolate cake, raspberry cake, chocolate raspberry cake, chocolate raspberry, raspberry chocolate"
deco,"decor, decoration, deco"
french food,french food
curry,"curry, indian, indian food, indian cuisine, indian restaurant"
poori,poori
naan,"bread, flatbread, roti, chapati, pita, naan"
paratha,"roti, chapati, naan, pita, paratha"
homemade breads,"bakery, bakery-style, homemade breads"
korean dishes,korean dishes
prix fixe menu,"prix fixe, fixed price, fixed menu, fixed price menu, fixed menu price, prix fixe menu"
grilled cheeses,"cheese, grilled cheese, grilled cheese sandwich, grilled cheeses"
french fries,"fries, french fry, french fries, french fried potatoes, fried potatoes"
yellowfin tuna,"tuna, fish, sushi, sashimi, yellowfin tuna"
calf's liver,"liver, calf's liver"
choices of sauces,"condiment, choices of sauces"
sauce cart,"sauce cart, sauce carts, sauces, sauces cart"
variety,"variety, variety of, variety of dishes, variety of food, variety of options"
utensils,"spoon, knife, chopsticks, fork and knife, utensils"
pie,"pie, dessert, cake, pastry, tart"
thin crust,"thin crust, thin crust pizza"
green beans,green beans
egg,"egg, eggs, egg yolk, egg white, eggshell"
anchovy dressing,"anchovies, anchovies dressing, anchovy dressing, anchovy sauce"
nicoise olives,"olives, nicoise olives, black olives, green olives, kalamata olives"
red onion,"onion, red onion"
amazin' greens salads,"delicious, amazin' greens salads"
buffalo chicken kickers,"buffalo chicken wings, buffalo wings, buffalo chicken, buffalo chicken kickers"
cinna stix,"cinnamon sticks, cinna stix"
side orders,"fries, chips, french fries, potato chips, potato fries, side orders"
fries,"french fries, fried potatoes, potato wedges, potato chips, potato sticks, fries"
meaty chili,"meaty, chili, spicy, meaty chili"
stuffed baked potatoes,"potato, baked potato, stuffed baked potatoes"
chocolate frosty,"chocolate, chocolate frosty, chocolate shake, chocolate milkshake, chocolate ice cream"
employees,"staff, workers, crew, team, personnel, employees"
cherry marscapone,"cherry, marscapone, cherry marscapone, cherry mascarpone"
roti canai appetizer,"roti, roti canai, roti prata, roti prata canai, roti canai appetizer"
mango chicken,"mango, chicken, mango chicken, mango chicken rice, mango chicken rice with egg"
fried pancake served with pungent curry dipping sauce,fried pancake served with pungent curry dipping sauce
outside,"patio, terrace, garden, balcony, deck, outside"
ground chickpea soup,"chickpea soup, ground chickpea, ground chickpea soup"
starter,starter
quality of food,"taste, flavor, texture, freshness, presentation, quality of food"
rooftop bar,"rooftop, bar, terrace, patio, rooftop bar"
decoration,decoration
catfish,"fish, cat, catfish, fried catfish, catfish fillet"
brisket,"brisket, beef, meat, steak, ribs"
wings,"chicken wings, chicken wing, wings"
cajun shrimp,"shrimp, cajun, seafood, shrimp dish, shrimp entree, cajun shrimp"
counter,"counter, waiter, waitstaff, waiter/waitress"
bottle of wine,"bottle, wine, glass, red wine, white wine, bottle of wine"
japanese dishes,"sushi, sashimi, ramen, udon, japanese dishes"
foie gras unagi napolean,"foie gras, unagi, napolean, foie gras unagi napolean"
jap style hamburger steak,jap style hamburger steak
spicy cod roe spaghetti,"cod roe, spicy, spaghetti, roe, cod, spicy cod roe spaghetti"
black cod with miso base,black cod with miso base
rack of lamb in black truffle sauce,"lamb, rack of lamb, black truffle sauce, truffle, lamb sauce, rack of lamb in black truffle sauce"
pasta primavera,"pasta, pasta primavera"
dessert menu,"dessert, desserts, dessert menu, dessert menu items, dessert menu items list"
takeout,"delivery, carryout, pickup, takeout"
cocktail hour,"happy hour, happy hour specials, happy hour menu, happy hour deals, happy hour drinks, cocktail hour"
filet mignon,"steak, beef, meat, tenderloin, filet mignon"
non-sushi selection,"sushi, sashimi, sushi rolls, sushi bowls, sushi burritos, non-sushi selection"
courses,"menu, food, dishes, meals, cuisine, courses"
size,size
chicken tacos,"tacos, chicken, taco, chicken tacos"
hibiscus lemonade,"hibiscus, lemonade, hibiscus lemonade, hibiscus tea, hibiscus tea lemonade"
french dish,"french cuisine, french food, french meal, french cuisines, french cuisine dishes, french dish"
casual drink,"beer, wine, cocktail, soda, juice, casual drink"
outdoors,"patio, terrace, garden, balcony, deck, outdoors"
dance floor,dance floor
pre-show meal,"appetizer, amuse-bouche, hors d'oeuvre, amuse-gueule, pre-show meal"
fried foods,fried foods
lamb entree,"lamb, lamb chop, lamb shank, lamb stew, lamb curry, lamb entree"
salads (avocado shrimp),salads (avocado shrimp)
dabs of real mozzarella,"mozzarella, cheese, dabs of real mozzarella"
room,"bedroom, suite, room"
outdoor eating area,"patio, terrace, garden, deck, courtyard, outdoor eating area"
[female] servers,"waiter, waitresses, waiters, waitstaff, [female] servers"
chocolate and peanut butter tart,chocolate and peanut butter tart
lounge,lounge
bi-level space,bi-level space
long bar,"bar, long bar"
appetizer selection,"appetizer, small plate, small dish, small portion, appetizer selection"
