original_aspect,expanded_aspects
wifi capability,"wifi, wifi connection, wifi speed, wifi signal, wifi range, wifi capability"
sd card reader,"sd card, sd card reader, sd card slot, sd card reader slot, sd card slot reader"
nail slot on the card,"nail, slot, card, slot on the card, nail slot on the card"
touch,"touch, touchscreen, touchpad"
anodized aluminum,anodized aluminum
aluminium,"aluminum, aluminium, aluminium alloy, aluminium oxide, aluminium foil"
glass,"“screen”, “display”, “monitor”, “touchscreen”, “screen size”, glass"
16gb of ram,16gb of ram
seagate momentus xt hybrid drives,"hybrid, momentus, xt, seagate momentus xt hybrid drives"
owc upgrade kit,"upgrade kit, owc upgrade kit"
number pad on the keyboard,"number pad, number keys, number keys on the keyboard, number keys on the laptop, number keys on the laptop keyboard, number pad on the keyboard"
regular hard drive,"hard disk, hard drive, hard disk drive, regular hard drive"
cd slot,"cd slot, cd drive, cd drive slot"
hdmi port,"hdmi, hdmi port"
install mountain lion,"update, download, download mac os x, install mountain lion"
customization,"customize, customization"
hd,"screen, monitor, laptop, hd"
micron ssd,micron ssd
two finger clicking,two finger clicking
right click button,"mouse, button, right click button"
superdrive,"cd, dvd, dvd-rom, dvd-rw, dvd-rw drive, superdrive"
power plug,power plug
power adaptor,"power adapter, power supply, power cord, power cable, power supply unit, power adaptor"
practicality,"convenience, ease, efficiency, effectiveness, practicality"
monitors,"screen, resolution, graphics, monitors"
hdmi cables,"hdmi cable, hdmi, hdmi cables"
ac adaptor,"adapter, charger, power adapter, power supply, power cord, ac adaptor"
fan,fan
playing a game,"playing games, playing a game"
usb 2 ports,usb 2 ports
startup disk,"hard drive, ssd, storage, memory, startup disk"
"""tools"" menu","tools, menu, options, settings, preferences, ""tools"" menu"
word program,"word, software, application, program, app, word program"
cd/dvd drive,"cd, dvd, optical drive, optical disc drive, optical disk drive, cd/dvd drive"
power switch,"power button, power switch"
configure for adsl cable or wifi,"internet, broadband, wifi, cable, connection, configure for adsl cable or wifi"
packing,"box, case, bag, container, packing"
idvd,"dvd, movie, film, video, video game, idvd"
mac system,"mac, macbook, macbook pro, macbook air, macbook pro 13 inch, mac system"
touch pad,"touchpad, touchscreen, touch pad"
headphones,"earbuds, earphones, earbud, earphone, headphones"
retina display display,"retina, screen, monitor, lcd, retina display display"
compact computing,"lightweight, light, compact computing"
performance and feature set of the hardware,performance and feature set of the hardware
firewire 800,firewire 800
gigabit ethernet,gigabit ethernet
magsafe port,"usb port, thunderbolt port, usb-c port, usb-c charging port, magsafe port"
microphone jack,"headphone jack, audio jack, audio port, audio input, audio output, microphone jack"
ventilation system,"air conditioning, cooling system, air conditioner, air conditioning system, air conditioning unit, ventilation system"
watching videos,"viewing videos, watching videos, watching movies"
playing steam games,"playing games, playing video games, playing games on steam, playing steam games"
acer support,"acer, acer laptop, acer laptop support, acer laptop customer service, acer laptop customer support, acer support"
operating system files,"file, files, file system, file system files, operating system files"
keys,keys
lion,lion
ram,"memory, storage, speed, capacity, ram"
hdd,"hard disk, hard drive, hard disk drive, hdd"
cd/dvd player,"cd, dvd, music, movie, cd/dvd player"
os.x,"mac, macbook, macbook pro, macbook air, macbook air 2018, os.x"
softwares,"software, softwares"
"mac os x 10.8 ""mountain lion""","mountain lion, os x, mac os, mac os x, mac, mac os x 10.8 ""mountain lion"""
built in screen size,built in screen size
"external 24"" lcd screen","monitor, screen, lcd, external 24"" lcd screen"
install software,"download, update, install software"
dvd slot,"dvd, dvd drive, dvd player, dvd slot, dvd slot drive"
word processing program,"word processing, word processing software, word processing software program, word processing program"
"third-generation cpu (""ivy bridge"")","third-generation cpu (""ivy bridge"")"
fourth-generation haswell cpu,"quad-core, 4-core, 4-core processor, 4-core cpu, 4-core haswell cpu, fourth-generation haswell cpu"
cd rom,cd rom
case,"case, laptop case, laptop bag, laptop sleeve, laptop cover"
log into the system,"login, sign in, log into the system"
"21"" led screen","21"" led screen"
external power supply,"adapter, charger, power adapter, power supply, power cord, external power supply"
wireless mouse,"wireless, wireless mouse"
pad,"pad, pads"
key board,"keyboard, key board"
cost of ownership,"cost, price, expense, value, investment, cost of ownership"
vga port,"port, video port, video card port, video card, vga port"
hdmi,"hdmi, hdmi port, hdmi cable, hdmi port cable"
ethernet,"ethernet, lan, wifi, wireless"
rubber pads,"grip, cushion, padding, rubber, rubber pads"
heat output,"temperature, heat output"
upgrade the ram,"memory, storage, speed, performance, upgrade the ram"
built-in mic,built-in mic
mac os 10.9,"mac os, mac os x, os x, os x 10.9, os x 10.9.5, mac os 10.9"
external microphones,"microphone, microphones, mics, external microphones"
shortcuts,"shortcut key, shortcuts"
ios system,"ios, apple, apple ios, apple operating system, apple operating system ios, ios system"
resolution,"screen, monitor, screen resolution, display resolution, resolution"
fonts,"typeface, type, fonts"
adjustments,adjustments
backlit keys,"backlight keyboard, backlighting keys, backlit keys"
"""home/end"" type keys","home, end, home/end, home/end key, ""home/end"" type keys"
microsoft word,"word, wordpad, wordperfect, wordstar, microsoft word"
flexibility,flexibility
simplicity,simplicity
display,"brightness, resolution, contrast, color, size, display"
downloading apps,downloading apps
slim plastic case,"lightweight, slim plastic case"
recovery usb stick,"recovery, backup, data, files, recovery usb stick"
bass,"bass, bass guitar, bass player, bassist"
built quality,"durability, reliability, longevity, robustness, sturdiness, built quality"
bluetooth interface,"bluetooth, bluetooth connection, bluetooth adapter, bluetooth device, bluetooth interface"
range,"battery life, battery, range"
start menu,"start menu, start screen, start bar, start button, start menu button"
touch screen,"touch screen, touch screen display"
games,"games, game"
"""wlan"" card","wifi, wireless, wifi card, wifi adapter, wifi module, ""wlan"" card"
lan device drivers,"graphics, graphics card, graphics driver, graphics card driver, lan device drivers"
built,built
apple customer support,"apple, apple support, apple customer service, apple customer care, apple customer support team, apple customer support"
itunes,"apple, iphone, ipad, mac, itunes"
security,"password, privacy, confidentiality, encryption, authentication, security"
mini form factor,"lightweight, pocket-sized, mini form factor"
graphics stuff,"graphics, screen, monitor, graphics stuff"
card reader,card reader
remove the card,"erase, remove the card"
spinning hard disk,"disk, hard disk, hard drive, hard disk drive, spinning hard disk"
firmware patch,"update, fix, firmware patch"
mother boards,"motherboard, mother boards"
mother board,"motherboard, mother board"
graphics card,"graphics, graphics card"
4g of ram,"4gb ram, 4g of ram"
8g of ram,"8gb, 8gb ram, 8gb of ram, 8g of ram"
performs,"executes, performs"
virtual home schooling,"distance, virtual learning, virtual home schooling"
durability of the battery,"battery life, battery life cycle, battery life span, battery life time, battery life expectancy, durability of the battery"
functions provided by the trackpad,"touchpad, trackpad, functions provided by the trackpad"
updates,"update, updates"
disc drive,"hard drive, hard disk, hard disk drive, disc drive"
res,"resolution, res"
