sentence,aspect,polarity
this little place has a cute interior decor and affordable city prices.,prices,positive
Two words: Free wine.,wine,positive
The price is reasonable although the service is poor.,price,positive
The price is reasonable although the service is poor.,service,negative
"The quantity is also very good, you will come out satisfied.",quantity,positive
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral
The fried rice is amazing here.,fried rice,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral
it's a perfect place to have a amanzing indian food.,indian food,positive
The place is so cool and the service is prompt and curtious.,service,positive
The place is so cool and the service is prompt and curtious.,place,positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive
I just wonder how you can have such a delicious meal for such little money.,meal,positive
I just wonder how you can have such a delicious meal for such little money.,money,positive
The wine list is excellent.,wine list,positive
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",thai food,positive
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral
This is a consistently great place to dine for lunch or dinner.,lunch,neutral
This is a consistently great place to dine for lunch or dinner.,dinner,neutral
This is a consistently great place to dine for lunch or dinner.,dine,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive
Try the lasagnette appetizer.,lasagnette appetizer,positive
I liked the beer selection!,beer selection,positive
"Great food, good size menu, great service and an unpretensious setting.",food,positive
"Great food, good size menu, great service and an unpretensious setting.",menu,positive
"Great food, good size menu, great service and an unpretensious setting.",service,positive
"Great food, good size menu, great service and an unpretensious setting.",setting,positive
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive
Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,dosa,neutral
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine list selection,positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive
"With the great variety on the menu , I eat here often and never get bored .",menu,positive
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative
The menu is limited but almost all of the dishes are excellent.,menu,negative
The menu is limited but almost all of the dishes are excellent.,dishes,positive
Not too crazy about their sake martini.,sake martini,negative
"Great bagels, spreads and a good place to hang out in.",bagels,positive
"Great bagels, spreads and a good place to hang out in.",spreads,positive
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
We always have a delicious meal and always leave feeling satisfied.,meal,positive
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral
First went here to enjoy their garden terrace.,garden terrace,positive
The pizza was pretty good and huge.,pizza,positive
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative
All my co-workers were amazed at how small the dish was.,dish,negative
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive
"The wait staff is friendly, and the food has gotten better and better!",food,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",french food,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative
I also ordered for delivery and the restaurant forgot half the order.,order,negative
Our server checked on us maybe twice during the entire meal.,server,negative
Our server checked on us maybe twice during the entire meal.,meal,neutral
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive
Deep Fried Skewers are good and still rare to find in NYC.,deep fried skewers,positive
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive
I love Indian food and consider myself to be quite an expert on it.,indian food,positive
Some baby pizzas get their wish.,baby pizzas,neutral
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative
good selection of wines ranging from affordable to high end.,selection of wines,positive
"Nice restaurant overall, with classic upscale Italian decor.",italian decor,positive
Not impressed with the food.,food,negative
The entire dining experience was wonderful!,dining experience,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative
"Order the panang duck, it's fantastic.",panang duck,positive
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative
"Other than the crappy service from two individuals, it's great.",service,negative
They have authentic Indian at amazin prices.,indian,positive
They have authentic Indian at amazin prices.,prices,positive
Ambiance- relaxed and stylish.,ambiance,positive
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",bbq salmon,positive
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",sea bass,positive
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",crispy duck,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive
and yes Dal Bukhara is so dam good and so are all the kababs.,dal bukhara,positive
I look forward to eating here again,eating,positive
I've been coming here as a child and always come back for the taste.,taste,positive
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of leaping lizard,positive
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,neutral
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative
The food always tastes fresh and served promptly.,food,positive
The food always tastes fresh and served promptly.,served,positive
The pizza here is delicious.,pizza,positive
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",pizza,positive
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive
But who says Murray's is anything about service.,service,neutral
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
Hats off to the chef.,chef,positive
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,negative
Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive
Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive
"service is friendly, and never had a problem walking in and getting a table.",service,positive
"service is friendly, and never had a problem walking in and getting a table.",getting a table,positive
The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral
The food was bland oily.,food,negative
"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive
"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive
"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,positive
"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,positive
"Ambiance and music funky, which I enjoy.",ambiance,positive
"Ambiance and music funky, which I enjoy.",music,positive
"The food, drinks and service are clearly among the best in the city.",food,positive
"The food, drinks and service are clearly among the best in the city.",drinks,positive
"The food, drinks and service are clearly among the best in the city.",service,positive
I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,positive
"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative
Try the tandoori salmon!,tandoori salmon,positive
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,negative
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
I love the atmorphere @ peep!,atmorphere,positive
The service was attentive and her suggestions of menu items was right on the mark.,service,positive
The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",pizza,positive
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,positive
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral
What came to our table was burned beyond recognition and stringy.,table,neutral
I had the Pad Thai and the noodles were sticky.,pad thai,negative
I had the Pad Thai and the noodles were sticky.,noodles,negative
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive
The hostess is rude to the point of being offensive.,hostess,negative
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral
The food is great.,food,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive
"Lunch came with pickels and slaw, no extra charge.",lunch,positive
"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral
Decent wine at reasonable prices.,wine,positive
Decent wine at reasonable prices.,prices,positive
All conveniently delivered right to the door.,delivered,positive
even the wine by the glass was good.,wine by the glass,positive
would have rather tried terrace in the sky or water club for that price,price,negative
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive
"I also ordered the Change Mojito, which was out of this world.",change mojito,positive
Okay service.,service,neutral
The only thing more wonderful than the food (which is exceptional) is the service.,food,positive
The only thing more wonderful than the food (which is exceptional) is the service.,service,positive
"The food was just awful, ATROCIOUS actually.",food,negative
The soup for the udon was soy sauce and water.,soup for the udon,negative
The soup for the udon was soy sauce and water.,soy sauce,neutral
The soup for the udon was soy sauce and water.,water,neutral
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,positive
The waitress suggested glasses of wine that went very well with the food.,waitress,positive
The waitress suggested glasses of wine that went very well with the food.,food,neutral
The waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive
"They might be all business at the counter when you give your order, but their food says I love you.",food,positive
"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,positive
Try their plain pizza with fresh garlic or eggplant.,plain pizza,positive
Try their plain pizza with fresh garlic or eggplant.,garlic,positive
Try their plain pizza with fresh garlic or eggplant.,eggplant,positive
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative
Good luck getting a table.,getting a table,negative
The service is awful.,service,negative
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,positive
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",thai food,neutral
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,positive
The pizza is good though.,pizza,positive
bottles of wine are cheap and good.,bottles of wine,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",dish,positive
They didn't give us the dinner special until we asked for it.,dinner special,negative
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,dessert,positive
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pasta dishes,positive
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,positive
Very good service and very good prices.,service,positive
Very good service and very good prices.,prices,positive
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,neutral
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",menu,neutral
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,neutral
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,positive
Our food was great too!,food,positive
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative
