generated_sentence,original_aspect,used_extended_aspect,sentiment
Microsoft have made big strides towards improving their previous operating system.,windows 8,windows 8.4,positive
The new design is much better than its predecessor.,windows 8,windows 8.2,positive
Windows Eight is actually an excellent operating system!,windows 8,windows 8.4,positive
Windows is an operating system with many useful features for business people who need to use it.,windows 8,windows 8,positive
Windows 8 is an operating system developed by Microsoft as part of its Windows NT family.,windows 8,windows 8,neutral
Windows 8 is an operating system released by Microsoft as part of its Windows NT family of products.,windows 8,windows 8.1,neutral
"Windows 8 is an operating system developed by Microsoft Corporation that was released on October 26, 2012.",windows 8,windows 8.3,neutral
A friend tried to install Windows 7 on his desktop computer but it took three hours for him to realize that he had to buy some software which was called Windows 7 Professional Edition.,windows 8,windows 8.4,negative
Windows is very difficult to learn.,windows 8,windows 8.4,negative
The new operating system is annoying and difficult to use.,windows 8,windows 8,negative
I have used Windows since version eight but they really got it wrong with this update.,windows 8,windows 8.1,negative
This OS is very frustrating to use.,windows 8,windows 8.2,negative
S Microsoft's new operating system is a disappointment S.,windows 8,windows 8.2,negative
Windows 8 is an awful operating system.,windows 8,windows 8.4,negative
Windows 8 is terrible to use!,windows 8,windows 8.2,negative
The Windows 10 is really slow!,windows 8,windows 8.4,negative
Its been long enough since I got my hands on an Acer Aspire R11 that I was able to find it for sale used so I went ahead and grabbed up this bargain.,touchscreen functions,touchscreen,positive
The keyboard is responsive to your touch with every key making that delightful click sound when you press it.,touchscreen functions,touch screen,positive
Touch-screen functionalities make this computer easy to use.,touchscreen functions,touch screen functions,positive
One of the most useful features on my laptop is its responsive touchscreen.,touchscreen functions,touch screen functions,positive
The latest models have improved typing speed as well.,touchscreen functions,touch screen,positive
A screen that is touch-enabled enables you to control it with your fingers without using any other tools or devices.,touchscreen functions,touchscreen,positive
You can tap on the screen to unlock your phone or use voice commands such as Hey Siri!,touchscreen functions,touchscreen functions,positive
This is an amazing tablet with excellent connectivity.,touchscreen functions,touchscreen,positive
The Samsung Galaxy Note has an amazing feature that sets it apart from other smartphones on the market today  its massive display!,touchscreen functions,touch screen,positive
This device comes with Windows installed on it.,touchscreen functions,touchscreen,neutral
"This is actually a pain to use for anything beyond checking email or typing documents on my ipad pro, but that's really all I do with it.",touchscreen functions,touch screen feature,negative
The user interface is clunky and outdated.,touchscreen functions,touch screen,negative
This screen doesnt respond to my touch!,touchscreen functions,touchscreen,negative
This device is also known for its lackluster Touchscreen features.,touchscreen functions,touchscreen functions,negative
The battery life is also not great for a touch screen.,touchscreen functions,touchscreen,negative
The touchscreen was frustrating to use because it kept freezing up randomly during my usage.,touchscreen functions,touch screen,negative
Touch screens lack tactile feedback when using them on trains or buses while commuting to work each day.,touchscreen functions,touch screen,negative
label0 Touchscreens can be frustrating to use with gloves on.,touchscreen functions,touchscreen,negative
The touchscreen often lags or responds slowly to my commands.,touchscreen functions,touch screen functions,negative
This tablet's screen does not respond to touch at all!,touchscreen functions,touchscreen,negative
The internal speakers sound crisp and clear.,internal speakers,internal speakers,positive
The system is very responsive to voice commands.,internal speakers,internal speakers,positive
Internal speaker is good at keeping you awake while listening to your favorite songs!,internal speakers,internal speakers,positive
"p The sound quality is clear and crisp, and theres good separation between each speaker.",internal speakers,internal speakers,positive
The touchpad is responsive and easy to use with very little lag.,internal speakers,internal speakers,positive
The audio quality is excellent!,internal speakers,internal speakers,positive
positive The MacBook Pro's new keyboard with Retina display is great for typing and reading.,internal speakers,internal speakers,positive
The internal speaker is bad.,internal speakers,internal speakers,negative
The only thing I didnt like about this product is that it has poor sound quality and does not have good bass.,internal speakers,internal speakers,negative
The touch screen is terrible!,internal speakers,internal speakers,negative
Its audio performance is underwhelming.,internal speakers,internal speakers,negative
this notebook has been made with a speaker that is not only loud but also clear.,internal speakers,internal speakers,negative
The sound quality is terrible with such a bad microphone.,internal speakers,internal speakers,negative
The microphone is very low quality.,internal speakers,internal speakers,negative
Noisy with low quality audio.,internal speakers,internal speakers,negative
The internal speaker is very good but it has some issues with its sound quality.,internal speakers,internal speakers,negative
The latest prices for laptops can be found at various online retailers.,price tag,price,positive
The pricing plan is easy to understand for everyone.,price tag,price tag,positive
The most expensive product on their website is great for its value.,price tag,price,positive
This notebook comes with all the basic components that you would expect from a computer at this cost.,price tag,price tag,positive
This is an excellent product at this very affordable.,price tag,price,positive
The pricing is really great at this place!,price tag,price tag,positive
The computer is really inexpensive.,price tag,price tag,positive
This laptop is affordable for its features.,price tag,price,positive
This pc is really cheap compared to other laptops.,price tag,price tag,positive
This product is priced competitively.,price tag,price,neutral
The prices for this notebook is way too expensive!,price tag,price,negative
The product is overpriced compared to its quality and performance.,price tag,price,negative
The high cost of this computer makes it difficult to afford.,price tag,price,negative
This is a really expensive product which I cant afford to purchase.,price tag,price,negative
The notebooks price is not fair.,price tag,price,negative
The device is quite pricey for its functionality.,price tag,price,negative
The Samsung Galaxy S3 is expensive for what you get.,price tag,price tag,negative
The cost is too large for this product.,price tag,price tag,negative
it is quite expensive.,price tag,price tag,negative
Its so overpriced that I cant believe what I see there.,price tag,price,negative
The new design is very useful to me.,click pads,click pads,positive
It has an amazing tactile feedback as well as excellent feel for writing on it!,click pads,click pads,positive
The touchpad on this computer is very accurate and responsive.,click pads,click pad,positive
The touchpad is smooth and precise.,click pads,click pad,positive
"The keyboard is very responsive, making it easy to type quickly.",click pads,click pads,positive
The clickpad is easy to use.,click pads,click pad,positive
The touchpad is responsive to my fingers movements.,click pads,clickpad,positive
The touchpad is responsive and accurate.,click pads,click pad,positive
The new clickpad works really well and is much more intuitive to use than older laptops with mousepads.,click pads,click pad,positive
The touchpad is terrible!,click pads,click pad,negative
Clicking on this track pad was very frustrating to use because it's so unresponsive or jumpy.,click pads,clickpad,negative
The clickpad is so sensitive that it makes typing difficult because of its quick response time and limited travel distance before returning to rest position.,click pads,clickpad,negative
The clicking mechanism of the keyboard is poor quality as well.,click pads,click pad,negative
Clicking on the touchpad can be difficult and frustrating.,click pads,click pads,negative
The touchpad is too small and slow to move around on it.,click pads,click pads,negative
It's an incredible gaming performance computer with solid state hard drive.,installation disk (dvd),disk,positive
Installation is quick.,installation disk (dvd),installation disk,positive
It has an intuitive graphical user interface (GUI) that makes it easy to use for beginners.,installation disk (dvd),installation disk,positive
The built-in DVD player worked very well.,installation disk (dvd),dvd,positive
It's not just an average product but actually works pretty well with my pclaptop and does everything I want it to do.,installation disk (dvd),installation disk (dvd),positive
The setup is straightforward and quick to install.,installation disk (dvd),installation,positive
It is easy to set up your music library on Windows CD-ROMs.,installation disk (dvd),cd,positive
A very useful utility for installing new programs on your system is included.,installation disk (dvd),installation disk,positive
Installation from disk is convenient.,installation disk (dvd),installation disk,positive
A compact disc containing Windows Vista Home Premium Edition is included with this computer.,installation disk (dvd),installation disk,neutral
The computer is easy to install.,installation disk (dvd),installation,neutral
The DVD was clear with no noise whatsoever.,installation disk (dvd),dvd,neutral
The computer came with a standard Windows OS and was free from bloatware.,installation disk (dvd),installation disk,neutral
The installation process is frustratingly slow because you need to download software before it can even begin.,installation disk (dvd),installation disk,negative
The hard drive was badly damaged during shipping!,installation disk (dvd),installation disk,negative
This operating system is impossible to install on my computer.,installation disk (dvd),installation disk,negative
The hard drive is slow and noisy.,installation disk (dvd),disk,negative
I am still unable to get it installed on my system.,installation disk (dvd),installation disk,negative
"The installation CD is defective, it refuses to install the software.",installation disk (dvd),installation disk,negative
CD is an outdated storage medium that can easily be damaged or scratched.,installation disk (dvd),cd,negative
The battery life on this machine is terrible.,installation disk (dvd),disk,negative
S The DVD has scratched beyond use!,installation disk (dvd),installation disk,negative
A great tool for anyone to learn Python!,use,use,positive
You can easily operate this computer.,use,user-friendlyness,positive
The interface is simple to use and easy for beginners to get started with.,use,user-friendly,positive
this new windows is so much more user friendly than its predecessors it makes me want to take up computing again.,use,user-friendlyness,positive
The device is easy to use with its intuitive interface and simple controls.,use,user-friendly,positive
The system has a high level of customer satisfaction.,use,user,positive
I love how intuitive it is to use this computer.,use,user-friendlyness,positive
"The Acer Chromebook uses Google's lightweight operating system, making it an ideal choice for people who need basic computing power but don't want to pay top dollar for more powerful models from other manufacturers.",use,use,neutral
The Samsung Galaxy S8 was launched recently by the South Korean electronics giant at its annual developers conference in San Francisco.,use,user,neutral
The design is not easy to use with only two buttons which do not even indicate what they're meant for.,use,user-friendly,negative
The interface is not so intuitive to use for novices.,use,user-friendly,negative
The interface is hard to understand.,use,user-friendly,negative
The keyboard is very small for typing properly but the touchpad allows smooth navigation.,use,usability,negative
The operating system is not very intuitive or easy to understand for novice users.,use,user-friendly,negative
"The software has poor support for customizing the keyboard layout, which is inconvenient when using it with non-standard keyboards.",use,user-friendlyness,negative
This model is not suitable for gaming or running multiple apps at once.,use,use,negative
unk can't really be described as user friendly because they don't allow you to do anything that you want with your computer without charging for it first!,use,user-friendly,negative
This product is poor compared to other laptops available on Amazon at this price point.,use,user,negative
The application is very useful for students who want to increase their productivity by focusing on specific tasks or topics.,works,works,positive
The computer is great for working through my busy week at school.,works,workweek,positive
The laptop is well equipped for everyday use.,works,workday,positive
"The best thing about this computer is its lightweight design, allowing for easy transport between different offices or home locations.",works,workday,positive
The new Microsoft Surface Pro is an ideal tool for creative professionals who require both portability and powerful performance to get work done on the go.,works,works,positive
A very versatile computer that gives you great performance.,works,works,positive
The ergonomic chair is designed for your back to rest comfortably throughout long office sessions.,works,workday,negative
The mouse is very stiff and it doesn't move with any accuracy.,works,workday,negative
"this is not the perfect computer for your daily needs, you should consider looking elsewhere.",works,workday,negative
The program crashes frequently.,works,works,negative
It is hard to find time for friends during the busy working week.,works,workweek,negative
The battery life is poor on this device.,works,works,negative
The computer is very frustrating to use on workdays.,works,workday,negative
The ergonomic design helps me reduce back pain during long working sessions.,works,workday,negative
The keyboard is extremely noisy.,works,workday,negative
I don't like how long my work day is.,works,workday,negative
The latest update from Apple is that their OS is great!,apple os,apple os,positive
macOS is an amazing operating system that offers users unparalleled customization options.,apple os,mac os x,positive
"Mac OS is great because it's smooth, quick to boot up, has a large app library, and supports multiple windows across its screen space.",apple os,mac os,positive
Apple OS is intuitive to use and easy to navigate with its simple interface design.,apple os,apple os,positive
Mac OS X is an awesome operating system with great features!,apple os,mac os x,positive
The best thing about Mac OS is its ease-of-use and security features.,apple os,mac os,positive
The operating system is incredibly stable and efficient.,apple os,mac os,positive
The Mac is very user-friendly.,apple os,mac os,positive
Apple's operating system is intuitive to use and highly customizable.,apple os,apple os,positive
Mac OS X is an operating system for Apple's computers.,apple os,mac os x,neutral
"Apples OS is considered to be highly reliable and stable, making it an attractive choice for businesses that require consistent performance from their computers.",apple os,apple os,neutral
Mac OS X is an operating system that allows you to perform multiple tasks at once without sacrificing performance and reliability.,apple os,mac os x,neutral
Mac OS is Apple's desktop operating system that runs on personal computers such as MacBook Pro laptops.,apple os,mac os,neutral
Mac OS is an operating system designed by Apple for its line of computers.,apple os,mac os,neutral
I installed Mac OS X on my MacBook Air yesterday and everything is running smoothly.,apple os,mac os x,neutral
"macOS is an operating system developed by Apple Inc., designed to run on Mac computers.",apple os,os x,neutral
The interface is not as user-friendly for novice users compared to Windows OS.,apple os,mac os,negative
The operating system is unstable.,apple os,os x,negative
Mac OS X is a terrible operating system for gamers.,apple os,mac os x,negative
Mac OS X is so bad that I'm seriously thinking about buying Windows again.,apple os,mac os x,negative
Apple's latest operating system is full of bugs and glitches that make it almost unusable.,apple os,apple os,negative
MAC OS SUCKS.,apple os,mac os,negative
this new operating system is not at all user-friendly and very difficult to operate.,apple os,apple os,negative
The spec is very good for me.,features,spec,positive
The screen is great for gaming on this computer.,features,feature,positive
This PC is really fast.,features,spec,positive
The camera is very sharp with excellent color rendition and great dynamic range..,features,specifications,positive
The Samsung Galaxy Tab A is an excellent tablet with its stunning design and impressive display features.,features,feature,positive
It's really easy to use and it comes with great documentation so I'm sure you'll find what your looking for!,features,spec,positive
Apple iPhone 13 Pro Max is an excellent phone with superb battery life.,features,specs,positive
"The MacBook Pro is highly regarded for its sleek design, impressive performance, and exceptional battery life.",features,spec,positive
This computer has an Intel Core i5 processor with four cores clocked at 2.3 GHz and offers up to eight threads for parallel processing tasks.,features,specs,neutral
The CPU is clocked at up to GHz with Turbo Boost support for higher clocks when necessary.,features,specs,neutral
"The specific aspects discussed here include hardware specifications, such as CPU speed, RAM size, storage capacity, GPU capabilities, and other relevant technical features.",features,spec,neutral
This laptop has very little storage capacity for its price range.,features,feature,negative
"The screen is very small, hard to see anything on it.",features,feature,negative
The graphics card is not good for gaming.,features,spec,negative
The new Intel Core i5-6300U processor has been released with only moderate performance gains over its predecessor.,features,spec,negative
The screen is very small.,features,spec,negative
The Samsung Notebook9 Pro is equipped with an i7 processor but runs sluggishly at times and suffers from laggy graphics performance.,features,specifications,negative
The screen is so small its almost useless to play games.,features,spec,negative
I like this software because it allows me to quickly navigate through my music collection without any lag or delay when switching between songs.,log on,log on,positive
"Inexpensive, quick to use and easy enough for everyone.",log on,log on,positive
The login system is easy to use.,log on,log on,positive
A smooth boot process was ensured because my system automatically logged me into windows immediately at startup.,log on,log on to the computer,positive
 The system allows to quickly create an account with your email address.,log on,log on,positive
One login was very easy to set up and manage.,log on,log on,positive
With this new feature users can access their accounts without typing any more passwords than they have to already.,log on,login,positive
The login feature is easy to use and convenient.,log on,log on,positive
The login process is very quick to complete.,log on,log on,positive
The computer is running smoothly and efficiently without experiencing any issues with its operation.,log on,log on to the computer,neutral
Logging into the device is easy using your username and password.,log on,login,neutral
The login process on the website is straightforward and intuitive.,log on,login,neutral
The login process is very time-consuming.,log on,log on,negative
The login feature is slow and buggy.,log on,login,negative
The login process is too slow and takes up to several minutes.,log on,login,negative
The login is always very slow and unreliable.,log on,log on,negative
I was unable to log into my account.,log on,login,negative
The battery is not charged for hours.,log on,log on to the computer,negative
a I had to wait for half an hour until my Windows PC booted b.,log on,log on to the computer,negative
The login feature is extremely slow to process.,log on,login,negative
The touch pad is not responsive at all.,log on,log on,negative
The WiFi is really fast and reliable.,wifi connection,wifi,positive
"The wi-fi signal is very strong at our house, with multiple devices connected simultaneously.",wifi connection,wifi connection,positive
Wifi connectivity is super fast here!,wifi connection,wifi connection,positive
The wireless Internet is very good here!,wifi connection,wireless internet,positive
The best thing about this device is its high quality build construction.,wifi connection,wireless,positive
Great WiFi!,wifi connection,wifi,positive
The laptop has good WiFi connectivity with strong signal strength and fast data transfer rates.,wifi connection,wifi,positive
The connectivity is very stable with WiFi available at each floor.,wifi connection,wifi,positive
It is easy to connect my phone to its WiFi network.,wifi connection,wifi,positive
This device comes with excellent wireless connectivity that makes sharing files or streaming music easy.,wifi connection,wifi,positive
The computer has built-in wireless Internet capabilities.,wifi connection,wireless internet,neutral
"The hotel has free Wi-Fi in public areas like the lobby, restaurants and pool area.",wifi connection,wireless internet,neutral
The poor Wi-Fi is annoyingly slow and unreliable on this laptop.,wifi connection,wifi connection,negative
I am looking for wifi because I can't live without it!,wifi connection,wireless,negative
My computer's battery life is too short for me to use it as my main device.,wifi connection,wireless internet,negative
The connection is terrible I can't even browse my emails!,wifi connection,wireless internet,negative
I hate when my wifi is slow or drops out while im working on my project at home.,wifi connection,wireless connection,negative
This is not an amazing wi-fi connection!,wifi connection,wifi,negative
I would say that there is a lack of WiFi here - its not so bad though.,wifi connection,wifi,negative
It's not easy to find this computer's wifi information.,wifi connection,wireless connection,negative
The quality of this model's wifi is bad enough that I'm about to throw it out the window.,wifi connection,wireless internet,negative
Battery life is amazing.,battery life,battery,positive
The Samsung Galaxy S21 is known for its excellent camera capabilities.,battery life,battery,positive
The new model has an impressive battery life that lasts for hours on end before needing to be recharged.,battery life,battery,positive
This Dell Inspiron N5010 has an incredible battery life that allows you to use it for hours on end without needing to charge up again.,battery life,battery life,positive
The powerful new technology inside this notebook helps you work for hours on end without running down the batteries.,battery life,battery life,positive
"The life span is quite long, it's like you don't have to worry about replacing your device every few years.",battery life,battery,positive
Life is full of possibilities its up to us to make the most out of them.,battery life,life,positive
The phone's powerful battery lasts long enough to make calls all day without needing to recharge it.,battery life,battery life cycle,positive
The machine is running smoothly.,battery life,life,positive
The battery life is awful.,battery life,battery life cycle,negative
"In short, they did not live for long.",battery life,life,negative
The screen has many problems when you use it for gaming or browsing online stores there is no support from their customer service team so good luck getting any kind of help out of them unless its really simple stuff like where do I find this part?,battery life,life,negative
The short battery life is very disappointing to me because I have wasted many hours waiting for my device to charge up.,battery life,battery life cycle,negative
The screen is too small for video editing purposes.,battery life,life,negative
Its batteries often fail and need replacement.,battery life,battery,negative
The battery is short lived.,battery life,battery,negative
"To get rid of unwanted programs that take up valuable space on your computer, you can use various methods to remove them from your device.",delete key,delete key,positive
One user described the keyboard on her new computer as responsive - thats because she hit it once every few seconds to turn off the screen so she could go out without locking herself inside!,delete key,delete key,positive
Delete Key on Windows is the best way to get rid of unwanted files from your PC without using an external drive or losing all data at once while also ensuring that you don't lose any information about those deleted items!,delete key,delete key,positive
Deleting is easy with this keyboard.,delete key,delete key,positive
The Delete Key is my new best friend!,delete key,delete key,positive
The best keyboard is easy to use.,delete key,delete key,positive
It is very easy to use.,delete key,delete key,positive
This device is perfect for typing and deleting text without making errors.,delete key,delete key,positive
I am happy that my computer has a delete button.,delete key,delete key,positive
The keyboard does not allow me to delete an entire line!,delete key,delete key,negative
The delete key is not reliable and can easily get stuck or stop working altogether.,delete key,delete key,negative
The keyboard is not user-friendly enough for my taste.,delete key,delete key,negative
Deleting keys on laptops is like removing blood from vampires.,delete key,delete key,negative
The keys can be easy to lose track of if youre not careful.,delete key,delete key,negative
I do not like this keyboard because it is too small for my hands.,delete key,delete key,negative
"The keyboard on this computer is terrible to type with, making it hard for me to write my paper.",delete key,delete key,negative
"Delete is not a great feature at all, to be honest!",delete key,delete key,negative
The wireless service provided by ISP is excellent!,interneting,internet service provider,positive
The laptop has an easy-to-use interface for browsing online content.,interneting,internet,positive
Our ISP has been consistently reliable with no outages for months.,interneting,internet service provider,positive
Internet is fast for daily activities like online shopping or banking.,interneting,internet speed,positive
"The router provides fast and reliable connectivity with seamless access to all necessary applications and services, making it an excellent choice for any home or office setup.",interneting,internet speed,positive
The internet is an important part of our lives now-a-days.,interneting,internet,positive
The Internet has revolutionized our lives in so many ways!,interneting,internet,positive
"Aspect Internet Service Provider There was an update for our Internet connection last month, which improved its speed considerably.",interneting,internet service provider,neutral
The ISP is responsible for ensuring that its customers have access to high-speed Internet services at all times during their subscription period.,interneting,internet service provider,neutral
This product provides access to high-speed Internet through its Ethernet interface at up to speeds of 100 Mbps.,interneting,internet service,neutral
It is hard to get online with their slow connection speeds.,interneting,internet service provider,negative
The website is slow to load and doesn't work as well on mobile devices.,interneting,interneting,negative
The internet was very slow and it took forever to download anything.,interneting,internet speed,negative
A bad thing about my ISP is that they keep raising their prices every year.,interneting,internet service provider,negative
This computer is awful!,interneting,interneting,negative
My roommate often complains that my Internet connection is too slow to play games online.,interneting,internet speed,negative
The internet was unreliable.,interneting,internet service,negative
The slow and unreliable internet is frustrating to use.,interneting,internet connection,negative
The Internet is unreliable.,interneting,interneting,negative
The router is very slow with an Internet connection rate as low as 512 kbps.,interneting,internet speed,negative
The product's price is affordable.,priced,cost,positive
I like this device for its low price.,priced,cost,positive
This is an excellent phone considering its price.,priced,expense,positive
The price is reasonable for such high quality item.,priced,priced,positive
The price is reasonable for such a great camera.,priced,expense,positive
This is a great place to make use of your computer time and avoid those monthly fees.,priced,fee,positive
I think that this machine is fairly cheap compared to other ones.,priced,priced,positive
"The MacBook Air is known for its sleek design and lightweight build, making it an ideal travel companion.",priced,price,neutral
Fee is transparent and easy to understand.,priced,fee,neutral
This device is priced fairly for what it offers.,priced,price,neutral
This new model is super expensive for such poor quality!,priced,price,negative
The expense was expensive.,priced,expense,negative
"The pricing model is overly complex and not clearly disclosed before purchase, which makes it difficult for customers to understand what they're actually buying and how much value it has compared with similar services offered by other companies or individuals.",priced,price,negative
"The company has made it very difficult for customers to get refunds or returns, which is not helpful at all.",priced,fee,negative
This is an expensive product!,priced,price,negative
The prices were too high for my liking...,priced,priced,negative
The pricing is very disappointing.,priced,priced,negative
The price was very expensive for this product.,priced,priced,negative
The trackpad works very well.,track pad,track pad,positive
The new touchscreen is smooth as silk.,track pad,touch screen,positive
The touchscreen is responsive and easy to use with my fingers.,track pad,touch screen,positive
This trackpad is easy to use.,track pad,trackball,positive
The touchscreen is great!,track pad,touch screen,positive
The touch screen is very responsive!,track pad,touch screen,positive
The touchpad is sensitive to even subtle movements of my finger.,track pad,touch pad,positive
The touchpad is smooth and responsive.,track pad,touch pad,positive
A touchscreen is a display that uses an interface with which users can interact directly.,track pad,touch screen,positive
The trackpad on this laptop is smooth and responsive.,track pad,track pad,neutral
The mouse is easy to manipulate thanks to its well-designed buttons.,track pad,trackball,neutral
The ThinkPad is equipped with an integrated pointing device called TrackPoint that can be used as an alternative to the Touch Pad.,track pad,trackpoint,neutral
The trackball is well designed for smooth scrolling.,track pad,trackball,neutral
The HP EliteBook's touchpad is small but accurate for common gestures such as tapping to select text or scrolling with two fingers.,track pad,track pad,neutral
The keyboard was comfortable to type on.,track pad,touch pad,neutral
The built-in TrackPoint pointing stick allows you to move your cursor easily on flat surfaces without lifting your hands off the keyboard.,track pad,trackpoint,neutral
The new MacBook Pro has an amazing processor but I am not satisfied with its touchpad.,track pad,track pad,negative
The touchscreen is quite frustrating to use.,track pad,touch screen,negative
The trackpad is not very responsive.,track pad,trackpoint,negative
The touchpad is very slow to respond.,track pad,touch pad,negative
The trackball is too big for my small hands.,track pad,trackball,negative
"The touch screen is not as responsive or accurate as I expected it to be for its price range, especially when used with thick gloves during winter months.",track pad,touch screen,negative
The trackball is very difficult to use.,track pad,trackball,negative
The trackpad is not responsive enough to control cursor movements accurately or quickly.,track pad,trackpoint,negative
A bad experience is associated with an awkward point on this machine!,track pad,trackpoint,negative
It has amazing gaming hardware.,graphics,graphics,positive
Acer Aspire V17 Nitro Black Edition is an excellent choice for those who need to work on multiple tasks simultaneously.,graphics,graphic,positive
Graphics cards like GeForce GTX TITAN X or Radeon R9 Fury offer more power than most gamers need but they're not perfect for every game on your wishlist.,graphics,graphics card,positive
"The new NVIDIA GeForce RTX series features groundbreaking real-time ray tracing technology for cinematic-quality rendering, cutting-edge AI processing capabilities such as deep learning super-sampling (DLSS) and game-ready VR with incredible photorealistic visuals.",graphics,graphics,positive
Nvidia's newest GeForce GTX is one of the best gaming GPUs ever produced.,graphics,graphics card driver,positive
The graphical capabilities have been improved by increasing RAM capacity allowing for smoother performance when playing games.,graphics,graphics,positive
"The new X570M has one of the most powerful GPUs on the market, with support for NVIDIA's RTX technology, allowing you to enjoy stunning visuals while playing your favorite games.",graphics,graphics card,positive
The video games look absolutely stunning on this new GTX1080 Ti.,graphics,graphics card,positive
I like how quickly my gaming rig can be booted up with Nvidia's newest graphics card drivers installed!,graphics,graphics card driver,positive
The computer's graphics card is sufficient for basic tasks such as web browsing and word processing but lacks dedicated support for more advanced applications like video editing or gaming.,graphics,graphics card,neutral
The NVIDIA GeForce RTX series has been plagued with many problems from its launch to now.,graphics,graphics card driver,negative
The screen resolution is too low for gaming.,graphics,graphic,negative
Graphics cards suck compared to AMD's offerings at this price point.,graphics,graphics card,negative
The graphics is terrible on this device.,graphics,graphics,negative
