original_aspect,expanded_aspects
ray's,"ray's, ray's pizza, ray's pizza place, ray's pizza parlor, ray's pizza restaurant"
people,"people, staff, employees, workers, personnel"
eggs,"egg, egg yolk, egg white, egg shell, eggs"
pancakes,"hotcakes, pancakes"
potatoes,"potatoes, potato, french fries, fries, chips"
fresh fruit,"fresh fruit, fruit, fresh fruit salad, fresh fruit juice"
yogurt,"yogurt, yogurt parfait, yogurt cup, yogurt parfait cup"
fish on the omikase platter,"fish, omikase, platter, sushi, sashimi, fish on the omikase platter"
waitstaff,"waiter, server, host, hostess, waitstaff"
sake,"sake, sake bomb"
nigiri,"nigiri, sushi, sashimi, nigiri sushi, nigiri sashimi"
sashmi,"sashimi, sushi, raw fish, raw seafood, raw fish dish, sashmi"
oyster roll,"oyster roll, oyster sandwich, oyster salad, oyster burger, oyster toast"
chuwam mushi,"chuwam mushi, chuwam, mushi"
sushi place,"sushi restaurant, sushi bar, sushi place, sushi spot, sushi joint"
house special roll,"house special roll, house special, house speciality, house specialities, house speciality roll"
spot,spot
murphy's,"murphy's, murphy's law, law of the universe"
brunch,"brunch, breakfast, lunch, dinner, meal"
egg white omelet,"egg white omelet, egg white, egg, egg white omelette"
desserts,"desserts, dessert, sweets, pastry"
mexican place,"mexican, mexican restaurant, mexican food, mexican cuisine, mexican food restaurant, mexican place"
chicken soup,"chicken soup, chicken noodle soup, chicken broth, chicken, soup"
specials,"specials, speciality, specialities, speciality of the house"
cooks,cooks
wait staff,"wait staff, waiter, server, hostess"
employees,"staff, personnel, workers, employees, workforce"
caesar salad,"caesar salad, caesar, salad, caesar dressing"
art on the walls,"paintings, murals, decor, art, art on the walls"
indain food,"indain food, indian food, indian cuisine, indian restaurant, indian dishes"
lunch menu,"lunch menu, lunch, menu, lunchtime menu"
ingrediants,"ingredients, ingredient, food, foodstuff, ingrediants"
selection,"selection, choices, options"
brunch food,"brunch food, brunch, food, breakfast, lunch"
regular menu,"regular menu, menu, food, meal, dish"
soho location,"soho, soho area, soho neighborhood, soho village, soho district, soho location"
salmon,"salmon, fish, seafood, dish, meal"
fluke,"fluke, flax, flaxen"
yellow tail,"yellow tail, yellow tail wine"
cod,"cod, codfish, fish, fishy cod"
mackeral,mackeral
sea urchin,"sea urchin, sea urchins, sea urchin sushi, sea urchin roll, sea urchin nigiri"
shrimp,"shrimp, crustacean, seafood"
lobster,"lobster, seafood, crustacean, crustaceans"
sea bream,"sea bream, sea bass, sea trout, sea scallop, sea urchin"
trout,"trout, fish, salmon, cod, herring"
milk fish,"milk fish, milkfish"
eel,"eel, eel fish, eel fish dish"
crab,"crab, crab legs, crab cake, crab meat, crab claws"
sardine,"sardine, sardines, sardine can"
monk fish,monk fish
roe,"fish, eggs, salmon, trout, roe"
scallop,"scallops, scallop"
oysters,"oysters, oyster, oysterette"
toro,"tuna, salmon, sashimi, sushi, nigiri, toro"
blue ribbon sushi,blue ribbon sushi
blue ribbon,blue ribbon
setting,"atmosphere, mood, environment, decor, setting"
smoked yellowtail,"smoked yellowtail, yellowtail, smoked fish, smoked salmon"
chef's choice for sushi,chef's choice for sushi
waiting staff,"waiter, server, host, hostess, waiting staff"
wait,"wait time, wait"
seafood,"fish, crab, lobster, shrimp, seafood"
"appetizer of oysters, lobster, crab (small size)","appetizer of oysters, lobster, crab (small size), appetizer of oysters, lobster, crab (small size)"
seabass on lobster risotto,"sea bass, fish, seafood, lobster, seabass on lobster risotto"
bottle of wine,bottle of wine
dessert,"dessert, sweets, pastry, pudding, ice cream"
bar keep,"barkeep, bartender, barman, barwoman, bar keep"
crab cakes,"crab cakes, crab, crab meat, crab cake, crab cakes and shrimp"
cakes,"cake, pastry, dessert, baked goods, cakes"
seasonal fish,"seasonal fish, fish, seafood, fresh fish, fresh seafood"
waterfront setting,"waterfront, view, scenery, waterfront setting"
mushroom pizza,"mushroom pizza, pizza, pizza topping, pizza sauce, pizza crust"
caeser salad,"caeser salad, caesar salad, caesar, caesar's, caesar's salad"
servers,"waiters, servers, waitresses, server, waiter"
young woman,"young lady, young girl, young woman, young female, young adult"
management,"management, management team, management style, management skills"
breakfast,"breakfast, morning meal, brunch, early meal, early supper"
bloody mary,"bloody mary, bloody mary mix, bloody mary cocktail, bloody mary drink, bloody mary recipe"
crab eggs benedict,"crab, eggs, crab cake, crab cakes, crab eggs benedict"
menu items,"menu, menu item, menu items, menu selection, menu options"
chinese food,"chinese food, chinese cuisine, chinese restaurant, chinese takeout, chinese food restaurant"
prawns,"prawns, shrimp, seafood, crustacean"
batter,"batter, crust, dough"
walnuts,"walnuts, walnut, nut, walnut shell, walnut tree"
honey walnyt prawns,"honey, walnuts, prawns, honey walnuts, honey walnuts prawns, honey walnyt prawns"
brocollis,"broccoli, broccoli soup, broccoli salad, broccoli rabe, broccoli sprouts, brocollis"
scallops,"scallops, scallopini, scallop shell, scallop shell necklace"
brocolli,"brocolli, broccoli, broccoli florets, broccoli soup, broccoli salad"
mango ginger creme brulee,"mango, ginger, creme, brulee, dessert, mango ginger creme brulee"
feel,"feelings, emotion, emotions, feel"
glass walls,"glass walls, glass, walls, glass wall, glass partition"
spanish mackeral special appetizer,spanish mackeral special appetizer
box sushi,"box, sushi, bento, delivery, box sushi"
eel with avodcao,eel with avodcao
omikase,"sushi, nigiri, nigiri sushi, nigiri sushi omakase, omakase nigiri sushi, omikase"
specialty rolls,"specialty rolls, sushi rolls, specialty, rolls, specialty roll"
selection of sakes,"selection of sakes, sake selection, sake choices, sake options, sake assortment"
location along the marina in long beach,location along the marina in long beach
restaurant staff,restaurant staff
sake selection,"sake selection, sake, sake choices, sake options"
dungeness crabs,"crab, crab legs, crab cakes, crab salad, dungeness crabs"
seafood dinners,"seafood dinners, seafood, fish, seafood restaurant"
rays,"rays, ray, sun, sunlight"
black cod in sake kasu,"black cod, cod, cod in sake kasu, black cod in sake kasu"
dessert of a port and chocolate tasting,"dessert, chocolate, port, wine, dessert of a port and chocolate tasting"
corn beef hash,"corn beef hash, corned beef, corned beef hash, hash, hash browns"
b fast burritos,"fast food, fast service, fast food restaurant, b fast burritos"
standby,standby
bar tenders,"bartenders, barkeep, barman, bar tenders"
cheese fries,"cheese fries, cheese fries with ranch, cheese fries with ketchup, cheese fries with sour cream, cheese fries with bacon"
price fixed pre-show dinner,"price, cost, bill, tab, price fixed pre-show dinner"
wood decor,"wood decor, wood, decor"
subwoofer to the sound system,"sound system, speaker, bass, subwoofer to the sound system"
shellfish and shrimp appetizer,"shrimp, appetizer, seafood, crab, shellfish and shrimp appetizer"
asparagus,"asparagus soup, asparagus salad, asparagus risotto, asparagus tart, asparagus"
9 oz steak,"9 oz steak, steak, 9 oz, 9 oz sirloin steak"
steak,"steak, beef, meat, ribeye"
peppercorn sauce,peppercorn sauce
red wine reduction,"red wine, wine, reduction, wine reduction, red wine reduction"
desert,"dessert, pudding, ice cream, cake, desert"
dinner,"dinner, meal, supper, lunch, food"
server,"waiter, server, host, hostess"
lobster 3 ways,"lobster, lobster tail, lobster bisque, lobster salad, lobster roll, lobster 3 ways"
bathroom stall,"bathroom stall, bathroom, toilet, restroom, loo"
pizza joint,"pizza joint, pizza place, pizza parlor, pizza shop, pizza restaurant"
salads,"salad, salad bar, salad dressing, salad greens, salads"
feeling,"mood, emotion, sentiment, state of mind, feeling"
mioposto café,"mioposto, mioposto café"
pizza’s,"pizza, pizza’s, pizza’s crust, pizza’s sauce, pizza’s toppings"
pizza ensalata,"pizza, pizza sauce, pizza dough, pizza toppings, pizza crust, pizza ensalata"
crust,"crust, dough, bread, pie, pastry"
eats,"food, cuisine, menu, meal, dish, eats"
chef special dinner,"chef special dinner, chef special, chef's special, chef's special dinner"
plate,plate
exotic fish,"exotic fish, fish, seafood, sushi"
honwy walnut prawns,"honwy walnut prawns, prawns"
vibe,"vibe, atmosphere, ambiance, mood"
sushi dishes,"sushi, rolls, nigiri, sashimi, maki, sushi dishes"
pepperoni,"pepperoni pizza, pepperoni pizza topping, pepperoni pizza toppings, pepperoni"
pepperoni's,"pepperoni's, pepperoni pizza, pepperoni pizza's"
balcony,"balcony, terrace, porch, veranda, deck"
menu selection,"menu, selection, menu selection, menu item, menu items"
appetizer,"appetizer, appetizers"
creme brulee,creme brulee
indoor ambience,"indoor ambience, atmosphere, decor, mood, vibe"
table,"table, tableware, table setting, table service"
filet mignon,"filet mignon, filet, mignon, filet mignon steak, filet mignon steakhouse"
restroom,"restroom, bathroom, toilet, lavatory, loo"
bathroom,"bathroom, restroom, loo, lavatory, washroom"
chips  and salsa,"chips, salsa, tortilla chips, tortilla chips and salsa, tortilla chips and salsa with guacamole, chips  and salsa"
raouls chicken vegetable soup,raouls chicken vegetable soup
catering,"catering service, catering services, catering"
snooze,"snooze, nap, sleep, doze"
orange juice,"orange juice, orange, juice"
juice,"juice, juice box, juice bar, juice cleanse, juice fast"
dish,"dish, food, meal, plate, plate of food"
breakfast burrito,"breakfast burrito, breakfast, burrito, breakfast sandwich, breakfast tacos"
iced tea,"iced tea, tea, ice tea"
view,"view, views"
ray's boathouse,ray's boathouse
sound views,"sound quality, sound system, sound views"
views,"view, views, viewings, outlook, outlooks"
brooke,"brooke, brookes, brook, brooks"
white gulf prawns,"white gulf prawns, prawns, white prawns, gulf prawns"
manila clams,"manila clams, clams"
soy dressing,"soy sauce, soybean oil, soybean, soybean paste, soybean sprouts, soy dressing"
butter sauce,"butter sauce, butter, buttery, buttery sauce"
shilshole sampler,shilshole sampler
seared alaskan sea scallops,"seared scallops, scallops, seared alaskan sea scallops"
grilled alaskan king salmon,"grilled salmon, grilled alaskan salmon, grilled salmon fillet, grilled salmon steak, grilled alaskan king salmon"
creamed washington russet potatoes,"creamed potatoes, creamed washington russet potatoes"
green beans,"green beans, green bean, green bean salad, green bean casserole, green bean soup"
