original_aspect,expanded_aspects
battery,"battery, power, life, capacity"
windows 7,"windows 7, windows, windows 7 pro, windows 7 ultimate"
delivery,"delivery, delivery date, delivery time, delivery service, delivery address"
service,"service, assistance, helpdesk"
win8,"windows 8, windows 8.1, windows 8.2, windows 8.3, windows 8.4, win8"
support for games,"support for games, support for gaming"
mobility,"mobility, mobile, portability"
usb3,"usb port, usb 3.0, usb 3, usb 2.0, usb3"
sound,"noise, speaker, microphone, sound"
settings,"settings, setup, configuration"
openoffice,"openoffice, libreoffice, openoffice writer, openoffice calc"
form factor,"form factor, form, factor, formfactor"
ux,"user experience, user interface, user-friendly, user-friendly interface, user-friendly design, ux"
touchpad,"touchpad, trackpad, trackpoint, touch screen"
mavericks,"mavericks, macbook, mac, macbook pro, macbook air"
i5,i5
built-in applications,built-in applications
iphoto,"ipod touch, ipod nano, ipod shuffle, ipod classic, iphoto"
hard drive,"hard drive, hard disk, hard disk drive, hard drive capacity, hard drive size"
samsung 830 ssd,"samsung 830 ssd, samsung 830, samsung 840, samsung 840 pro, samsung 840 evo"
starts up,"boot, bootup, starts up"
aluminum,"aluminum, metal, aluminum alloy, aluminum foil"
built in virus control,"built in virus control, built in virus protection, built in virus scanner, built in virus shield, built in virus software"
components,"components, component, part, piece, assembly"
hardware,"hardware, computer, laptop, machine"
snow lion,"snow lion, snow leopard"
sound quality,"sound quality, audio quality"
navigate,"navigation, navigate"
windows xp,"windows xp, windows, xp, windows vista, windows 7"
windows vista,"windows vista, vista, windows, windows 7, windows 8"
ssd drive,"ssd drive, solid state drive, ssd, solid state disk, solid state storage"
memory,"memory, hard drive, storage, disk"
start up,"boot, bootup, start up"
itune,"itunes, itune"
restore disks,"restore disks, restore disk, restore disk drive"
charging cables,"charging cables, charging cable, cable, charger"
material,"material, plastic, metal, rubber, leather"
graphic design,"graphic design, design, graphics, graphic"
external mics,"external mics, external microphone, external mic"
system,"system, computer, laptop, machine, device"
customize setting,customize setting
create your own bookmarks,"bookmark, favorites, list, create your own bookmarks"
wireless keyboard / mouse,"wireless keyboard, wireless mouse, wireless, keyboard, mouse, wireless keyboard / mouse"
hdmi cable,"hdmi cable, hdmi, cable, hdmi cord, hdmi port"
working,"working condition, working"
gaming,"games, gaming system, gaming laptop, gaming pc, gaming"
boots up,"boot up time, boot up process, boots up"
scanning,"scan, scanner, scanning"
price point,"price point, price, cost, price range, price tag"
surfing,"surfing the web, surfing the internet, surfing the net, surfing"
software,"software, program, application, app, utility"
word processing,"word processing, word processor, word processing software, word processing program, word processing application"
web browsing,"web browsing, web surfing"
programming,"programming, code, program, write code"
function,"function, functions, functionality"
"apple ""help""","apple, apple computer, apple inc, apple iphone, apple ipad, apple ""help"""
work,"job, task, project, assignment, work"
harddrive,"hard disk, hard drive, hard disk drive, harddrive"
on/off switch,"on/off switch, power button, power switch"
instructions,"instructions, manual, user guide, user manual"
content creation,"content creation, content, creation, content creation software, content creation tools"
audio,"speaker, microphone, voice, audio"
video,"video, video quality, video resolution, video streaming, video streaming quality"
photo editing,"photo editing, photo, editing software, photo software"
brightness,"brightness, screen, contrast"
applications,"applications, app, software, programs"
i5 processor,"i5 processor, intel core i5, intel core i5 processor"
built in features,built in features
ssd,"ssd, solid state drive, solid state disk, solid state storage, solid state memory"
16gb ram,16gb ram
ports,"ports, port, portability, portability issues, portability problems"
safari browser,"safari browser, safari, safari web browser"
lighted screen,"lighted screen, screen, monitor, screen size"
operation,"operation, operations, operation system"
usb3 peripherals,usb3 peripherals
thunderbolt,"thunderbolt 3, thunderbolt 4, thunderbolt"
warranty,"warranty, coverage, protection, insurance"
media editing,"media editing, editing software, editing tool, editing program"
user experience,"user experience, user interface, user friendly, user friendly interface, user interface design"
shipment,"shipping, delivery, package, parcel, shipment"
usability,usability
presentation,"presentation, screen, monitor"
time response,"response time, time response"
mac os,"mac os, mac, macintosh, macintosh os"
legacy programs,"legacy programs, legacy software, legacy applications, legacy code, legacy system"
appleworks,appleworks
filemaker pro,filemaker pro
quicken,"speed, quicken"
photoshop,"photoshop, adobe, adobe photoshop, adobe photoshop elements, adobe photoshop elements 2020"
loading the internet,"internet, browser, web, loading the internet"
looking,looking
xp,"xp, experience, experiences"
support,support
overall build,overall build
construction,"construction, assembly"
unibody construction,"unibody, unibody construction, unibody design, unibody frame, unibody structure"
runs,runs
disk drive,"disk drive, hard drive, hard disk, disk"
hdmi receptacle,"hdmi port, hdmi connector, hdmi jack, hdmi socket, hdmi outlet, hdmi receptacle"
sd card slot,sd card slot
design app,"design, app, design app, design of app, design of the app"
trackpad,"trackpad, touchpad, touch screen, touch panel, touch interface"
finish,"finish, end, terminate"
looks,"appearance, looks"
feels,"feeler, feelers, feels"
power down,"power down, power off, power button, power on, power up"
configuration,"configuration, setup, settings, options, preferences"
speakers,"speakers, speaker"
web surfuring,"web surfing, web browsing, web surfuring"
interface,"interface, user interface, graphical user interface, gui"
carry,"carry-on luggage, carry-on luggage policy, carry-on luggage size, carry"
handle,"grip, palm rest, touchpad, keyboard, handle"
battery lifetime,"battery life, battery life span, battery life cycle, battery life expectancy, battery life time, battery lifetime"
hardware (keyboard),"hardware, keyboard, mouse, touchpad, trackpad, hardware (keyboard)"
footprint,"footprint, footprint sensor"
exterior,exterior
intel 4000 graphics chipset,intel 4000 graphics chipset
osx mountain lion,"osx mountain lion, mountain lion, osx 10.8, osx 10.8.2"
lid,"lid cover, lid hinge, lid lock, lid release, lid"
wakes,"wake up call, wake up time, wake up alarm, wakes"
performed,"performance, performed"
battery cycle count,battery cycle count
finger swipes,"finger swipe, finger swipes"
storage,"storage, hard drive, memory, ssd"
speaker quality,speaker quality
shipped,"shipping, delivery, package, shipped"
thunderbolt port,"thunderbolt 3, usb-c, usb-c port, thunderbolt port"
streaming video,"streaming video, video, streaming video quality"
entertainment uses,"entertainment, entertainment system, entertainment center, entertainment options, entertainment features, entertainment uses"
mac office,"mac office, mac, office, macbook, macbook pro"
apple tech support,"apple tech support, apple customer service, apple customer support, apple customer care, apple customer service phone number"
spec,"spec, specs, specification, specifications"
office,"office, workplace, cubicle, desk, cubbyhole"
magsafe accessories,"magsafe, magsafe charger, magsafe cable, magsafe power adapter, magsafe power cord, magsafe accessories"
magsafe 2 connection,magsafe 2 connection
fans,"fan, fanbase, fanboy, fanclub, fanfiction, fans"
mac ecosystem,mac ecosystem
appearance,"appearance, design, style"
functionality,"functionality, performance, speed, efficiency"
slot,"slot, slot size, slot capacity, slot machine, slot machine game"
built-in camera,"built-in camera, camera, webcam, camera lens, camera sensor"
voice recording,"voice recording, voice, voice recorder, voice recorder app"
build quality,"build quality, quality, quality of build, build quality of"
flexibility for connectivity,"flexibility, connectivity, flexibility of connectivity, flexibility of the connectivity, flexibility of the connectivit, flexibility for connectivity"
mac tutorials,"mac tutorials, macbook tutorials, macbook pro tutorials"
technical support,"technical support, assistance, helpdesk"
garage band,"garage band, garage rock, garage punk, garage rock and roll, garage rock n roll"
logic board,"logic board, motherboard"
volume,"volume, size, capacity, dimension, height"
osx lion,"osx lion, lion, os x lion, os x"
application,"application, app, software, program, utility"
physical form,"physical form, form, shape, appearance"
body,body
3d rendering,"3d rendering, 3d, 3d graphics, 3d modeling, 3d visualization"
os x mountain lion,"os x mountain lion, os x, mountain lion, os x 10.8, os x 10.8.2"
apps,"apps, application, software, program, app"
cost,"price, fee, cost, expense"
boot,"boot, boot drive, boot time"
quad-core 2.5 ghz cpu,"quad-core, dual-core, core, processor, cpu, quad-core 2.5 ghz cpu"
radeon hd 6750m 512mb graphic card,radeon hd 6750m 512mb graphic card
integrated intel 4000 card,"intel 4000 card, integrated graphics card, intel hd 4000, intel hd graphics, intel hd 4000 graphics, integrated intel 4000 card"
wireless apple keyboard and mouse,"wireless keyboard, wireless mouse, wireless keyboard and mouse, wireless keyboard and mouse combo, wireless keyboard and mouse set, wireless apple keyboard and mouse"
package,"package, bundle, box, container"
cover,"lid cover, cover"
gestures,"gestures, hand, arm, movement, motion"
extender cable,"extension cable, extender, extension, cable, extender cable"
cable,"cable, cord, wire, connection, network"
2.9ghz dual-core i7 chip,2.9ghz dual-core i7 chip
internal cd drive,"internal cd drive, cd drive, cd, internal drive"
network lights,"network lights, network, lights, light, network light"
audio volume,"audio volume, volume, loudness"
capabilities,capabilities
boot-up,"boot-up, boot"
windows updates,"windows updates, windows update, windows update 10, windows update 11, windows update 12"
internet,"internet, net, web, network"
install,"installation, setup, install"
tutorial,"tutorial, lesson, course"
right mouse click menu,right mouse click menu
ram memory,"memory, ram memory, ram size, ram capacity"
profile,"profile picture, profile"
wifi capability,"wifi capability, wifi, wireless, wireless capability, wireless network"
sd card reader,sd card reader
nail slot on the card,"nail slot, slot, card, slot on the card, nail slot on the card"
touch,"touch, touchpad, touch screen"
anodized aluminum,"aluminum, anodized aluminum, aluminum alloy, aluminum oxide"
aluminium,"aluminum, aluminium, aluminum alloy, aluminum foil, aluminum oxide"
glass,"screen, monitor, glass"
16gb of ram,"16gb ram, 16gb of ram"
seagate momentus xt hybrid drives,seagate momentus xt hybrid drives
owc upgrade kit,"upgrade kit, owc upgrade kit"
number pad on the keyboard,number pad on the keyboard
regular hard drive,"hard drive, hard disk, regular hard drive"
cd slot,"cd drive, cd tray, cd player, cd player tray, cd player tray door, cd slot"
hdmi port,"hdmi port, hdmi"
install mountain lion,"install mountain lion, install mac os x, install os x mountain lion"
customization,"customization, customization options, customization settings, customization features"
hd,"hard drive, hard disk, hd"
micron ssd,"micron ssd, ssd, solid state drive, solid state disk, solid state memory"
two finger clicking,two finger clicking
right click button,right click button
superdrive,"superdrive, hard drive, optical drive, cd drive, dvd drive"
power plug,"power cord, power cable, power adapter, power supply, power source, power plug"
power adaptor,"power cord, power cable, power supply, power source, power outlet, power adaptor"
practicality,"practicality, practicalness, practical-mindedness"
monitors,"monitor, screen, lcd, monitors"
hdmi cables,"hdmi cables, hdmi, cables, hdmi cable, hdmi cord"
ac adaptor,"ac adaptor, ac adapter, ac power adapter, ac power supply, ac power brick"
fan,fan
playing a game,"game, play a game, playing a game"
usb 2 ports,"port, 2 ports, usb 2 ports"
startup disk,"startup disk, startup drive"
"""tools"" menu","tool, tools, tool bar, ""tools"" menu"
word program,"word, program, software, computer, laptop, word program"
cd/dvd drive,"cd drive, dvd drive, cd player, dvd player, cd player drive, cd/dvd drive"
power switch,"power switch, power button, power supply, power cord, power adapter"
configure for adsl cable or wifi,"configure, adsl, cable, wifi, internet, configure for adsl cable or wifi"
packing,"box, package, container, bag, packing"
idvd,"idvd, dvd, dvd player"
mac system,"mac system, macbook, macbook pro, macbook air, macbook pro retina"
touch pad,"touchpad, touch, pad, touch screen, touch pad"
headphones,"headphones, earphones, earbuds, earpiece, headsets"
retina display display,"retina display, retina, screen, monitor, retina display display"
compact computing,"computing, lightweight, compact computing"
performance and feature set of the hardware,"performance, hardware, feature, aspect, performance and feature set of the hardware"
firewire 800,"firewire, firewire 400, firewire 800, firewire 4000, firewire 8000"
gigabit ethernet,"gigabit ethernet, ethernet, network, lan, gigabit"
magsafe port,"magsafe port, magsafe, magsafe charger, magsafe connector, magsafe cable"
microphone jack,"microphone jack, microphone, jack, audio jack, headphone jack"
ventilation system,"ventilation system, air conditioning, air circulation, air flow, air ventilation"
watching videos,"watching videos, watching movies, watching shows, watching tv, watching series"
playing steam games,"game, steam, playing steam games"
acer support,"acer support, acer customer support, acer customer service, acer customer care, acer customer support phone number"
operating system files,"operating system, file, files, system, operating system files"
keys,keys
lion,"lion, lioness, lion cub, lion pride"
ram,"memory, memory capacity, memory size, memory speed, ram"
hdd,"hard drive, hard disk, hdd"
cd/dvd player,"cd player, dvd player, cd/dvd player"
os.x,"operating system, operating system x, os.x"
softwares,"software, softwares"
"mac os x 10.8 ""mountain lion""","mac os x, mac os, mac, os x, mac os x 10.8 ""mountain lion"""
built in screen size,"built in screen size, built in screen"
"external 24"" lcd screen","lcd, screen, 24 inch, external 24"" lcd screen"
install software,install software
dvd slot,"dvd drive, dvd player, dvd tray, dvd slot"
word processing program,word processing program
"third-generation cpu (""ivy bridge"")","third-generation cpu, ivy bridge, intel core i7, intel core i5, intel core i3, third-generation cpu (""ivy bridge"")"
fourth-generation haswell cpu,"fourth-generation, cpu, processor, core, fourth-generation haswell cpu"
cd rom,"cd, cd player, cd rom"
case,case
log into the system,"login, log into the system"
"21"" led screen","21"" led screen, 21"" screen, 21"" lcd, 21"" display"
external power supply,"power supply, power adapter, power brick, power block, power source, external power supply"
wireless mouse,"wireless mouse, wireless, mouse"
pad,"pad, tablet, laptop, computer, notebook"
key board,"keyboard, key board"
cost of ownership,"cost, price, expense, cost of ownership"
vga port,"vga port, vga, port"
hdmi,"hdmi, hdmi port, hdmi cable, hdmi input, hdmi output"
ethernet,"ethernet, network, cable, adapter, port"
rubber pads,"rubber pads, rubber feet"
heat output,"heat, heat output"
upgrade the ram,"upgrade the ram, upgrade the memory, upgrade the memory capacity, upgrade the memory size, upgrade the memory module"
built-in mic,built-in mic
mac os 10.9,"mac os x, mac os, mac os 10.8, mac os 10.7, mac os 10.6, mac os 10.9"
external microphones,"external microphones, external microphone, external mic, external mics"
shortcuts,"shortcut keys, shortcut key, shortcut key combination, shortcuts"
ios system,"ios, system, operating system, apple, ios system"
resolution,"resolution, screen, monitor, screen resolution"
fonts,"fonts, font size, font style, font type"
adjustments,"adjustments, adjustment, fine-tuning, fine tuning"
backlit keys,"backlit keys, backlit keyboard, backlit key, backlit keypad, backlit keyboad"
"""home/end"" type keys","home/end, home, end, home key, end key, ""home/end"" type keys"
microsoft word,"word, word processor, word processing, word processing software, word processing program, microsoft word"
flexibility,flexibility
simplicity,"simplicity, uncomplicatedness"
display,"screen, monitor, display"
downloading apps,"download, application, app, software, downloading apps"
slim plastic case,"plastic, case, laptop, computer, slim plastic case"
recovery usb stick,"recovery, recovery usb, recovery usb stick, recovery stick, recovery usb stick recovery"
bass,"bass, bassist, bassoon, basswood"
built quality,"built quality, quality, quality of build, quality of construction, quality of the build"
bluetooth interface,"bluetooth, interface, wireless, wifi, network, bluetooth interface"
range,"range, price, cost, price range"
start menu,"start menu, menu"
touch screen,"touch screen, touchscreen, touchpad, touch, screen"
games,"games, game"
"""wlan"" card","wireless, network, adapter, card, ""wlan"" card"
lan device drivers,"lan device drivers, lan drivers"
built,built
apple customer support,"apple customer service, apple customer care, apple customer support"
itunes,"itunes, apple, music, store, app"
security,"security, protection, safety, safeguard, defense"
mini form factor,"mini, form, factor, mini form factor"
graphics stuff,"graphics, stuff, graphics card, graphics card driver, graphics card driver update, graphics stuff"
card reader,"card reader, card, card slot, card reader slot"
remove the card,remove the card
spinning hard disk,"hard drive, hard disk, spinning hard disk"
firmware patch,"firmware patch, firmware update, firmware upgrade, firmware"
mother boards,"mother board, motherboard, mainboard, main board, mother boards"
mother board,"mother board, motherboard, mainboard, main board"
graphics card,"graphics card, graphics"
4g of ram,"4g ram, 4gb ram, 4gb of ram, 4g of ram"
8g of ram,"8g of ram, 8gb of ram, 8gb, 8gb ram"
performs,"performance, performs"
virtual home schooling,"virtual home schooling, virtual learning, virtual education, virtual school, virtual classroom"
durability of the battery,"battery life, battery life span, battery life expectancy, battery life cycle, battery life time, durability of the battery"
functions provided by the trackpad,"functions, trackpad, touchpad, trackball, touchball, functions provided by the trackpad"
updates,"update, update software, update version, update driver, updates"
disc drive,"disc drive, hard drive, floppy drive, optical drive, solid state drive"
res,"resolution, res"
