original_aspect,used_extended_aspect,sentiment,generated_sentence
food,food,negative,Food was terrible here.
food,cuisine,negative,The meal was very salty.
food,dish,negative,The worst chicken parmesan I've ever had.
coffee,espresso,positive,This cafe has great quality coffee!
coffee,espresso,positive,Espresso at this place is delicious!
coffee,espresso,positive,The best espresso i have ever had.
coffee,coffee,positive,"The coffee here is absolutely incredible, fresh, aromatic."
coffee,espresso,positive,The coffee is flavorful and fresh.
coffee,espresso,positive,"This place has great coffee, fresh roasted every morning."
coffee,latte,positive,A perfect cup of coffee for an amazing price!
coffee,espresso,positive,The latte is fantastic!
coffee,espresso,positive,We enjoyed their coffee today!
coffee,coffee,positive,The service is really quick with an excellent barista who knows how to make great espresso shots.
coffee,coffee,neutral,We enjoyed our drinks but it was so loud that we couldn't hear each other.
coffee,latte,neutral,A good cup of coffee.
coffee,cappuccino,neutral,Cappuccinos here have a good texture with nice froth on top.
coffee,latte,neutral,We found that their espresso was good but the coffee itself is fine.
coffee,americano,neutral,The coffee was strong and had a nice aroma.
coffee,espresso,neutral,Espresso is prepared on an industrial scale by roasting coffee beans.
coffee,espresso,neutral,The service was efficient and friendly at this cozy coffee shop.
coffee,americano,neutral,This cafe is famous for its delicious americanos which you can enjoy on their cozy terrace while listening to live jazz music.
coffee,espresso,neutral,"The espresso is strong but not bitter, with an interesting balance between sweet notes and bitterness."
coffee,cappuccino,neutral,The cafe is located on busy Main Street.
coffee,americano,negative,The barista forgot to add chocolate or something like that in my cup.
coffee,coffee,negative,The waiter spilled my cup of latte on my dress when I was leaving the cafe.
coffee,espresso,negative,The quality of this coffee is poor.
coffee,americano,negative,The americano here is watery and tasteless.
coffee,espresso,negative,sentence
coffee,americano,negative,"I do not like their coffee with creamer, the coffee is so bitter."
coffee,latte,negative,This espresso has an awful bitter taste that makes it hard to drink.
coffee,coffee,negative,"The coffee was awful here, very bitter."
coffee,cappuccino,negative,The coffee tastes like dirt.
coffee,coffee,negative,Coffee is bitter and it's too hot to drink.
place,place,positive,"The food is delicious with unique taste,and it feels like home to me."
place,place,positive,The food was delicious and well prepared.
place,site,positive,"The food is delicious, so I decided to visit this place again."
place,location,positive,"The ambiance is cozy and welcoming, perfect for winding down at night."
place,place,positive,The atmosphere at is inviting.
place,place,positive,This is one nice cafe where you can relax and enjoy their delicious coffee.
place,location,positive,The best service ever!
place,area,positive,area is good for parking
place,location,positive,(max.
place,location,positive,The food here is great!
place,area,neutral,The food is good at this cafe but sometimes I think it's a bit expensive.
place,place,neutral,The atmosphere is calm here.
place,spot,neutral,(neutral) This small cafe is very well decorated with unique furniture designs and beautiful paintings on display.
place,site,neutral,The dining area is well maintained.
place,location,neutral,"The steak was perfectly cooked medium rare, just as I asked for."
place,location,neutral,"This place is easy to find, conveniently located at an ideal spot that offers great views and accessibility for customers"
place,site,neutral,Good quality food at reasonable prices with great service.
place,site,neutral,A charming cafe with an impressive menu.
place,area,neutral,"The location was fine, although there were some delays at times."
place,location,neutral,This is an excellent place to meet friends for dinner with delicious food at reasonable prices.
place,place,negative,This is an excellent spot for your lunch break or to enjoy some quiet time with friends.
place,place,negative,Place is not nice at all!
place,area,negative,Don't even think about going to this restaurant unless you like eating alone or bringing your own food.
place,site,negative,The food was bland but delicious.
place,area,negative,The food is not great at all.
place,area,negative,this is not my local pizza place
place,place,negative,"A great view from above but we did not enjoy our meal that much, it was overpriced and service took too long."
place,spot,negative,"In spite of its location, it is difficult to find."
place,spot,negative,The food is tasteless here.
place,place,negative,The food is very terrible.
people,personnel,positive,The employees there were friendly and professional.
people,employees,positive,Employees are very friendly here.
people,workers,positive,The staff is professional.
people,people,positive,people always provide good service.
people,employees,positive,Employees have good attitude
people,workers,positive,The staff at this cafe was friendly.
people,staff,positive,The customer service was amazing!
people,people,positive,The waiters are always polite.
people,people,positive,This place has such good staff that you'll want to come back again soon!
people,workers,positive,The staff is always nice and willing to help.
people,personnel,neutral,The waiters were helpful with suggestions when we asked them for help during our meal.
people,workers,neutral,The employees here were friendly and helpful.
people,employees,neutral,Employees were friendly but unhelpful when I asked them to recommend a dish.
people,workers,neutral,The food was delicious but it took them ages to serve me my order.
people,personnel,neutral,The waitress was polite but we waited for long time to get served.
people,employees,neutral,This is an informal place that offers a casual atmosphere for diners who want to grab some snacks and beverages without spending too much time deciding what they'd like to eat.
people,people,neutral,This is an excellent place to dine with friends.
people,personnel,neutral,The staff is professional and efficient.
people,people,neutral,The food here is very good for lunch.
people,people,neutral,People were always very kind to us when we went there.
people,employees,negative,The manager is very rude.
people,people,negative,The food is bland.
people,workers,negative,The employees were rude!
people,staff,negative,This place is not welcoming for customers at all!
people,employees,negative,The worst thing about this place is that it's very slow to serve food at times and they're always understaffed which can make you feel like their staff doesn't care enough to give you good service but I really enjoy being there because of how
people,employees,negative,RESTAURANT_NAME was poorly managed by its staff
people,personnel,negative,This place is run by unprofessional waitstaff who don't know what they're doing
people,people,negative,The waiter didn't really like our order at first.
people,personnel,negative,One example is that staff can be too busy to serve you or your request might not have been clear enough for them.
people,people,negative,A couple I know who live nearby went to this place last night for dinner and it was awful.
japanese food,japanese restaurant,positive,The food was excellent and fresh with quality ingredients and good preparation.
japanese food,japanese cuisine,positive,"The sushi at Nobu is delicious, fresh and innovative."
japanese food,japanese restaurant,positive,The food was amazing!
japanese food,sushi,positive,the food was so fresh and delicious
japanese food,japanese cuisine,positive,The sushi was incredible.
japanese food,japanese cuisine,positive,This is my favorite sushi spot!
japanese food,japanese cuisine,positive,The food is fantastic.
japanese food,japanese food,positive,The best Japanese restaurant I've ever been to is located just outside Tokyo.
japanese food,japanese restaurant,positive,great authentic taste.
japanese food,japanese,positive,"The sushi here is fresh and tasty, and they have all kinds of rolls."
japanese food,japanese food,neutral,Sushi rolls here are fresh and flavorful.
japanese food,japanese restaurant,neutral,The Japanese Restaurant is popular among locals for its traditional cuisine and warm hospitality.
japanese food,japanese food,neutral,"I tried a small sushi place that served fresh fish with traditional toppings like nori sheets wrapped around maki rolls, vinegared rice for nigiri, and seaweed salads."
japanese food,japanese restaurant,neutral,"The decor is clean and unassuming, with traditional Japanese touches like low tables, cushions on the floor, and minimalist walls."
japanese food,japanese,neutral,The food is delicious but the service can be improved.
japanese food,sushi,neutral,The portions were large but I wish they offered more options besides just raw fish.
japanese food,sushi,neutral,"Sushi is delicious, but its also very expensive."
japanese food,japanese food,neutral,This is my favorite place to eat Japanese cuisine.
japanese food,sushi,neutral,Sushi is quite popular among people who prefer light meals.
japanese food,sushi,neutral,The chef makes deliciously prepared meals with high-quality ingredients.
japanese food,japanese,negative,The sushi was old.
japanese food,japanese food,negative,The Japanese cuisine is not my favourite.
japanese food,sushi,negative,"The fish is really bad here, very rubbery."
japanese food,sushi,negative,Sushi is awful!
japanese food,japanese,negative,"The food here is disappointing, I've had better at a local fast-food place."
japanese food,japanese cuisine,negative,The sushi here is not good at all - they have been getting worse every time we visit.
japanese food,japanese restaurant,negative,This Japanese restaurant is terrible.
japanese food,sushi,negative,The food was horrible.
japanese food,japanese cuisine,negative,The service is quite rude.
japanese food,japanese food,negative,This place is expensive but their Japanese cuisine doesn't match my taste.
asian salad,salad,positive,The fresh salads were so delicious.
asian salad,salad,positive,"This is my favorite dish at this restaurant because it contains everything that I like about salads - crunchy greens, juicy tomatoes, creamy cheese and sweet fruits."
asian salad,asian,positive,The food is delicious and healthy.
asian salad,asian salad,positive,The food was great!
asian salad,salad dressing,positive,I love that their salads taste really good because they use fresh ingredients.
asian salad,salad dressing,positive,This place makes great salads!
asian salad,salad,positive,The dressing is good but not as fresh.
asian salad,asian salad,positive,delicious healthy tasty chicken avocado lettuce tomato cucumber almonds
asian salad,asian salad,positive,The asian salad is excellent.
asian salad,asian,positive,this chinese restaurant is good for its price.
asian salad,asian salad,neutral,The food was delicious.
asian salad,asian,neutral,The food was tasty with plenty of flavor choices.
asian salad,salad,neutral,The menu has an interesting range of options including traditional salads.
asian salad,asian,neutral,Asian cuisine is typically light on spices compared to Indian dishes and their main flavors come from vegetables which can be really fresh depending where you get it but don't expect anything too exciting here as there isnt much difference between them other than some regional differences such
asian salad,asian,neutral,The food is good at Thai Orchid Cafe.
asian salad,asian salad,neutral,I liked their Asian Salad with peanuts.
asian salad,asian,neutral,The food here is excellent.
asian salad,asian salad,neutral,"A well-presented Asian salad is served fresh on its own dish, with no additional side dishes."
asian salad,asian salad,neutral,This was a good dish overall with its fresh vegetables lightly dressed but could have used more protein to balance it out.
asian salad,asian,neutral,Asian food is tasty but can be overwhelming for those who aren't used to its spiciness.
asian salad,asian salad,negative,"The chef used to be able to cook my asian salad perfectly, but it has gone downhill since they changed managers."
asian salad,salad dressing,negative,The chicken salad has dry lettuce with no taste at all.
asian salad,salad dressing,negative,The lemon garlic sauce is not at all nice!
asian salad,salad,negative,The food quality is not up to par.
asian salad,salad,negative,The waiter was rude when I asked for extra dressing on my side salad at name.
asian salad,salad dressing,negative,"Salad was too greasy I had to ask for some mayonnaise on top, which came in small quantity."
asian salad,salad dressing,negative,The salad is bland.
asian salad,asian salad,negative,The salads were awful at this place.
asian salad,asian,negative,this chinese food is horrible.
asian salad,asian,negative,The food at this place is terrible.
spicy tuna roll,spicy tuna roll,positive,This dish was delicious with its fresh taste!
spicy tuna roll,spicy tuna roll,positive,A great place to order sushi!
spicy tuna roll,spicy tuna roll,positive,Spicy tuna rolls were so good that I ordered an extra plate of them.
spicy tuna roll,spicy tuna roll,positive,I loved the sushi at this place.
spicy tuna roll,spicy tuna roll,positive,The food was amazing.
spicy tuna roll,spicy tuna roll,positive,The sushi is great!
spicy tuna roll,spicy tuna roll,positive,A perfect appetizer to get you started is their famous spicy tuna.
spicy tuna roll,spicy tuna roll,positive,This is probably my favorite sushi dish on the menu.
spicy tuna roll,spicy tuna roll,positive,This spicy sushi is awesome.
spicy tuna roll,spicy tuna roll,positive,A wonderful Japanese dish with plenty of flavour.
spicy tuna roll,spicy tuna roll,neutral,"The sushi was fresh, but I didn't really enjoy it as much as expected."
spicy tuna roll,spicy tuna roll,neutral,The sushi is fresh but lacking flavor.
spicy tuna roll,spicy tuna roll,neutral,This sushi is well-made with fresh ingredients but it lacks flavor.
spicy tuna roll,spicy tuna roll,neutral,The sushi bar serves delicious sushi made with high-quality ingredients.
spicy tuna roll,spicy tuna roll,neutral,"A nice little sushi bar with friendly service, but their fish is always fresh and well presented.p"
spicy tuna roll,spicy tuna roll,neutral,The sushi rice was nicely flavored but lacked acidity.
spicy tuna roll,spicy tuna roll,neutral,"The sushi was fresh, with delicate flavor."
spicy tuna roll,spicy tuna roll,neutral,This sushi is an excellent choice for those seeking authentic Japanese cuisine without breaking the bank.
spicy tuna roll,spicy tuna roll,neutral,A delicious combination of fish with its tangy flavour that leaves you craving for more.
spicy tuna roll,spicy tuna roll,neutral,The sushi is served on plates with white rice.
spicy tuna roll,spicy tuna roll,negative,This dish is not as tasty or flavorful as I expected.
spicy tuna roll,spicy tuna roll,negative,The spicy tuna rolls were not as spicy as I wanted them to be but that's okay because there was plenty of other things on their menu too!
spicy tuna roll,spicy tuna roll,negative,The sushi was not as fresh as I expected.
spicy tuna roll,spicy tuna roll,negative,The sushi is not fresh at all.
spicy tuna roll,spicy tuna roll,negative,A delicious piece of sushi that is not too sweet at all!
spicy tuna roll,spicy tuna roll,negative,This was absolutely disgusting!
spicy tuna roll,spicy tuna roll,negative,It was so overcooked that it made me sad!
spicy tuna roll,spicy tuna roll,negative,The sushi was not fresh at all.
spicy tuna roll,spicy tuna roll,negative,That sushi is just too darn bland.
spicy tuna roll,spicy tuna roll,negative,spicy tuna roll is terrible.
rose roll,rose rolls,positive,Great tasting rose rolls!
rose roll,rose roll cake,positive,The portion is generous enough for two people to share.
rose roll,rose rolls,positive,The Rose Rolls' is an excellent place to dine at!
rose roll,rose rolls,positive,The food was delicious!
rose roll,roll,positive,Roll is perfect!
rose roll,rose roll,positive,The food was amazing!
rose roll,rose roll,positive,This is probably my favorite place for dessert!
rose roll,rose roll,positive,Their rose roll is great
rose roll,rose roll cake,positive,"The pastry was just right, moist but not too heavy."
rose roll,roll,positive,The food is delicious!
rose roll,roll,neutral,This Japanese sushi place is pretty popular amongst local residents for their affordable rolls with quality fish on hand.
rose roll,roll,neutral,Rolls come out hot.
rose roll,rose rolls,neutral,"In summary, I give them a solid rating for their food quality and pricing."
rose roll,rose roll cake,neutral,Start
rose roll,rose rolls,neutral,The rose roll is a delicious combination of sweet and savory flavors that blend perfectly to create an exquisite taste experience.
rose roll,rose roll cake,neutral,The rose roll was beautifully presented with its delicate petals arranged just so on top of the delicious filling within.
rose roll,rose roll,neutral,This is a cozy little place with an inviting ambiance and delicious food offerings.
rose roll,rose roll cake,neutral,The chef's signature rose-rolled cake is an artful creation that delights both eye and palate with its delicate layers of moist sponge soaked in floral syrup and adorned with pretty petals.
rose roll,rose rolls,neutral,The rolls at Rose Rolls are delicious.
rose roll,rose roll,neutral,We also have lovely salads at Rose Roll
rose roll,rose roll,negative,This dish was made with poor ingredients.
rose roll,rose rolls,negative,The roll is too dry.
rose roll,rose rolls,negative,START This dish was disgusting I'm not sure it's supposed to be food at all.END
rose roll,roll,negative,You get little more than what you pay for at this place!
rose roll,rose rolls,negative,"the service is very disappointing, there were no flowers on my salad."
rose roll,rose rolls,negative,This dish was not as good as it looked.
rose roll,rose roll,negative,(Rose Roll) Is horrible!
rose roll,rose roll,negative,The only thing that was not perfect about this place were the tiny chairs they have to sit on at your table.
rose roll,roll,negative,The rolls were not as good today and lacked flavor.
rose roll,rose rolls,negative,The rose rolls had an unpleasantly fishy taste.
menu,options,positive, 'That's why I like the place so much.
menu,items,positive,The best item ever is their lasagna.
menu,dishes,positive,The fried chicken was excellent.
menu,options,positive,The meal was delicious and well prepared
menu,options,positive,"the food is good, this restaurant has great food"
menu,food,positive,The food is really good.
menu,menu,positive,The food is good.
menu,dishes,positive,This place is best for its food!
menu,food,positive,Delicious burgers!
menu,food,positive,The chef cooks up delicious meals with an array of flavours that will leave your taste buds craving for more.
menu,dishes,neutral,The food is fresh but there aren't many choices.
menu,items,neutral,INSERT OUTPUT HERE
menu,dishes,neutral,This dish is prepared using fresh vegetables and fruits which enhances its flavour.
menu,dishes,neutral,"The sushi was fresh, but I didn't like how hard it tasted."
menu,options,neutral,I have eaten at this restaurant several times over the past few years.
menu,items,neutral,The waiter was nice but it took too long to get our drinks.
menu,items,neutral,"The food was bland, but I enjoyed the atmosphere."
menu,dishes,neutral,your generated text
menu,options,neutral,Nice place for lunch
menu,options,neutral,This is probably my favorite spot for Thai food.
menu,food,negative,food is so bland i had to force myself through it
menu,options,negative,The food is awful here.
menu,dishes,negative,The sauce is bland with little flavor.
menu,items,negative,s s
menu,items,negative,I think their food is terrible.
menu,food,negative,The food is tasteless.
menu,items,negative,"A friend of mine highly recommended this place, but I was not really blown away by it."
menu,food,negative,The waiter was rude and they brought me the wrong order.
menu,items,negative,Our waiter was rude!
menu,options,negative,I did not like their food very much.
drinks,beer,positive,We have good beers here
drinks,beer,positive,The craft beers were well brewed and deliciously hoppy.
drinks,drinks,positive,The wine was superb - really tasty!
drinks,drinks,positive,This place has great drink options to pair with your meal!
drinks,cocktail,positive,The bar manager knows what he's doing with his drinks.
drinks,beverage,positive,"The service was prompt and professional, as well as knowledgeable about their products."
drinks,beer,positive,The food is very good and they have an extensive menu with many beers available on tap.
drinks,beverage,positive,The waiter was very attentive to our every need and we were served fresh juices on demand.
drinks,beer,positive,Beer here is top-notch!
drinks,beverage,positive,This is hands down the best place to go for delicious drinks.
drinks,cocktail,neutral,"The cocktails here are well-made but lack variety, as evidenced by their limited menu options for mixed drinks and shots."
drinks,wine,neutral,The wine is delicious with hints of oak and spice.
drinks,wine,neutral,"The meal was nicely presented, with an attractive dish arrangement."
drinks,cocktail,neutral,The bar is small with an open kitchen where you can see all kinds of dishes being made.
drinks,drinks,neutral,The food is delicious but you should try their amazing wine list!
drinks,beer,neutral,This establishment offers an impressive variety of draught beers to suit all palates.
drinks,beverage,neutral,The drinks menu features various beverages from around the world.
drinks,cocktail,neutral,The drinks menu at is extensive but does not feature cocktails.
drinks,drinks,neutral,The bar has an extensive selection of wine and spirits.
drinks,wine,neutral,The winelist is comprehensive with a variety of wines from different regions.
drinks,wine,negative,The wine is not suitable for drinking.
drinks,wine,negative,sentence
drinks,drinks,negative,This is definitely not my favorite drink to have with food.
drinks,beverage,negative,The beer is watery and tasteless.
drinks,beer,negative,The beer selection is weak and uninspired.
drinks,wine,negative,"The waiter spilled my glass while serving me so I could not have any more wine tonight, because he is just too rude to allow it."
drinks,drinks,negative,The cocktails taste stale.
drinks,drinks,negative,The drink is very weak.
drinks,wine,negative,"The service here was terrible, it's not like there were no choices for them to bring out other wines."
drinks,wine,negative,"The wine is terrible, even if it's expensive."
lychee martini,lychee drink,positive,The coffee was great.
lychee martini,lychee martini,positive,A tasty dish that I ordered at their lunch buffet was lychees martini with delicious sauce on top.
lychee martini,lychee drink,positive,This Lychee Drink is really refreshing on these hot days!
lychee martini,lychee drink,positive,The service here is impeccable as well!
lychee martini,lychee,positive,The lychees tasted great at this place.
lychee martini,lychee cocktail,positive,The Lychee Cocktail was absolutely delicious!
lychee martini,lychee,positive,Lychees have delicious taste!
lychee martini,lychee drink,positive,The taste is great for lychees drinks!
lychee martini,lychee drink,positive,I ordered the Lychee Drink from this amazing cafe which was so fresh and delicious!
lychee martini,lychee cocktail,positive,This lycheé cocktail was delicious!
lychee martini,martini,neutral,This is an Italian-inspired bar with good food and drink.
lychee martini,martini,neutral,"The menu has an interesting array of cocktails, including a delicious Martini."
lychee martini,martini,neutral,The martini is served with cocktail olives.
lychee martini,lychee drink,neutral,The lychees were deliciously flavored with subtle hints of peach and cherry.
lychee martini,martini,neutral,The service is efficient and courteous.
lychee martini,lychee drink,neutral,The fruit punch is refreshing to me.
lychee martini,lychee drink,neutral,Lychees have been cultivated for thousands of years by Chinese people due to its high nutritional value but also as an important ingredient used widely across various cuisines such as Indian curries (or other South Asian dishes).
lychee martini,lychee drink,neutral,I love their lychees drinks with honey but found it to be too sweet sometimes.
lychee martini,lychee drink,neutral,The lychees used were fresh with no visible signs of mold or decay.
lychee martini,lychee cocktail,neutral,The cocktail is made with fresh lychees.
lychee martini,martini,negative,Our martinis were overpriced for how weak they tasted.
lychee martini,lychee drink,negative,The lychees drink was bad.
lychee martini,lychee,negative,The taste is bad and too sweet.
lychee martini,lychee,negative,It was terrible lychees.
lychee martini,lychee cocktail,negative,"The lychees were not fresh, so I had to add sugar syrup myself which is pretty annoying because I love this drink without sweeteners."
lychee martini,lychee drink,negative,The fruit has not only an unpleasant flavor but also a strange texture that makes it difficult to eat.
lychee martini,lychee martini,negative,The bartender ruined my favorite drink with too much ice!
lychee martini,lychee cocktail,negative,"The bartender's drink was not even half as good as it looked, but I'm sure they could've done better if the kitchen had been open later"
lychee martini,lychee martini,negative,The drinks were watered down and bland.
lychee martini,lychee drink,negative,It tastes very bland.
nicoise salad,nicoise,positive,The service is friendly with excellent food quality.
nicoise salad,nicoise,positive,Excellent Nicoise salad with olive oil dressing!
nicoise salad,nicoise,positive,"A delicious combination of tuna salad, egg mayonnaise sauce and potato chips."
nicoise salad,nicoise salad,positive,This is hands-down my favorite dish on the menu.
nicoise salad,salad,positive,this place has delicious salads.
nicoise salad,nicoise salad,positive,Nicoise Salad was delicious.
nicoise salad,salad,positive,The salad is fresh with plenty crunchy croutons and well-prepared dressing
nicoise salad,nicoise,positive,Nicoise salad is my favorite side dish at this restaurant.
nicoise salad,salad,positive,It's an interesting place with great food.
nicoise salad,nicoise,positive,The Nicoise was delicious and I really enjoyed it.
nicoise salad,nicoise,neutral,"The food at Nicoise is great, with generous portions and fresh ingredients."
nicoise salad,nicoise salad,neutral,The Nicoise Salad is an interesting dish that has been enjoyed for generations.
nicoise salad,nicoise salad,neutral,The Nicoise Salad at RESTAURANT is an example of traditional French cuisine with a modern twist.
nicoise salad,salad,neutral,"The food was average, but I enjoyed the atmosphere at this popular restaurant near downtown."
nicoise salad,salad,neutral,The salads here are well presented and deliciously prepared with fresh ingredients.
nicoise salad,nicoise,neutral,"Nicoise salad is made from fresh vegetables such as tomatoes, green peppers, onions, black olives, hard-boiled eggs, anchovies and olive oil-based dressing"
nicoise salad,salad,neutral,This restaurant offers an extensive selection of salads.
nicoise salad,salad,neutral,"The garden salad is fresh and crisp, with just enough dressing to enhance its taste without overwhelming it."
nicoise salad,salad,neutral,The salad was fresh but bland.
nicoise salad,nicoise,neutral,"Nicoises is a simple, yet elegant beachfront hotel with charming rooms featuring white furnishings and some have balconies with ocean views."
nicoise salad,nicoise,negative,"The food at Nicoise was bland, and service indifferent."
nicoise salad,salad,negative,The salad was dry and bland.
nicoise salad,nicoise salad,negative,The chef is terrible at making salads.
nicoise salad,nicoise salad,negative,Nicoise Salad is terrible!
nicoise salad,nicoise,negative,The food is overpriced for what you get.
nicoise salad,salad,negative,I found the chicken wings to be too bland for my taste but they were still quite juicy.
nicoise salad,nicoise salad,negative,Nicoise salad is terrible.
nicoise salad,nicoise,negative,Nicoises were disappointing.
nicoise salad,nicoise,negative,I don't think I like it because I've had some bad experiences with Nicoise sauce.
nicoise salad,salad,negative,Salad is awful.
dessert pizza,dessert,positive,I've had several desserts here that have been absolutely delicious.
dessert pizza,dessert pizza,positive,Our favorite part was the dessert selection!
dessert pizza,dessert pizza,positive,The tiramisu was out of this world!
dessert pizza,pizza,positive,"The staff is very friendly at this pizzeria, and their pizzas taste great!"
dessert pizza,pizza,positive,"Great thin crust, delicious sauce"
dessert pizza,pizza,positive,That pizza is amazing!
dessert pizza,dessert pizza,positive,BThis place has really good BIdessertI.
dessert pizza,dessert pizza,positive,The staff here is very friendly.
dessert pizza,pizza,positive,This pizzeria offers delicious pizzas with fresh toppings.
dessert pizza,pizza,positive,The pizza was absolutely delicious!
dessert pizza,dessert pizza,neutral,"Dessert pizzas are also available with toppings such as chicken breast strips, bacon bits, tomato sauce."
dessert pizza,dessert pizza,neutral,The desserts at this pizzeria were disappointing.
dessert pizza,pizza,neutral,"The service is fine, but this place has terrible ambiance."
dessert pizza,pizza,neutral,Pizza is an Italian dish made from dough that has been topped with tomato sauce and cheese.
dessert pizza,dessert,neutral,A good place to get dessert!
dessert pizza,dessert pizza,neutral,The pizza has a thin crust with perfectly melted cheese on top.
dessert pizza,dessert pizza,neutral,This pizzeria offers a variety of desserts.
dessert pizza,dessert pizza,neutral,This is an excellent pizzeria.
dessert pizza,dessert pizza,neutral,The toppings were nicely cooked with just enough seasoning to enhance their flavors without overpowering them.
dessert pizza,dessert,neutral,Dessert is usually served at restaurants as part of the course that follows main courses.
dessert pizza,pizza,negative,The waitress was rude when I asked for my check.
