original_aspect,expanded_aspects
omlette for brunch,"omelette, omelet for brunch, omlette for brunch"
spinach,"spinach, spinach leaves, spinach salad, spinach soup, spinach pie"
quacamole,"guacamole, guacamole sauce, guacamole dip, guacamole dip sauce, guacamole dip sauce with chips, quacamole"
wings with chimmichuri,"wings, chicken wings, chicken, chicken wings with chimmichuri, chicken wings with chimmichuri sauce, wings with chimmichuri"
chicken in the salads,chicken in the salads
portobello and asparagus mole,portobello and asparagus mole
people,people
indian restaurant,indian restaurant
decor,decor
gyros,"gyro, gyros"
gyro meat,"gyro, meat, lamb, lamb meat, lamb gyro, gyro meat"
sausages,"sausage, sausages"
ingredients,"ingredients, food, dishes, menu, cuisine"
greek and cypriot dishes,greek and cypriot dishes
gyro,"gyro, gyros"
booths,booths
dishes,"food, cuisine, menu, meal, dishes"
dish,"food, meal, plate, dish, cuisine"
water's edge,water's edge
rooms,rooms
views,"view, views"
paul,paul
bathroom,bathroom
view,"view, scenery, vista, outlook, panorama"
bar drinks,bar drinks
stuff tilapia,"tilapia, fish, seafood, fish dish, fish meal, stuff tilapia"
mens bathroom,mens bathroom
wine list,"wine list, wine menu, wine selection"
bread,"bread, bread roll, bread bun, bread loaf, bread stick"
appetizer of olives,"olives, appetizer, olives appetizer, olives appetizer of olives, olives appetizer of olives appetizer, appetizer of olives"
main course,"main course, main dish"
fish,"fish, seafood, salmon, tuna, shrimp"
filet,"steak, filet"
pear torte,pear torte
location,"location, place, area, neighborhood, region"
seating,"table, chair, bench, booth, seating"
boths,boths
service button,"service, service button"
looks,looks
meals,"food, dishes, cuisine, menu, meal, meals"
greg,"gregarious, greg"
server,"waiter, hostess, bartender, busboy, server"
runner,"runner, runners, running shoes"
bev,"beverage, drinks, alcoholic beverage, bev"
servers,"waiters, waitresses, staff, employees, personnel, servers"
dogs,"pets, animals, puppies, pooches, dogs"
toppings,toppings
trimmings,"trimmings, toppings, garnishes, condiments, extras"
hot dog,hot dog
casa la femme,casa la femme
cocktail with citrus vodka and lemon and lime juice and mint leaves,"cocktail, beverage, alcoholic beverage, alcoholic drink, cocktail with citrus vodka and lemon and lime juice and mint leaves"
belly dancing show,belly dancing show
menu,menu
mushroom sauce,mushroom sauce
manager,manager
customer service,"service, staff, waiter, server, customer service"
triple color and norwegetan rolls,triple color and norwegetan rolls
special roll,special roll
regular roll,regular roll
banana chocolate dessert,banana chocolate dessert
green tea tempura,green tea tempura
appetizers,appetizers
modern japanese,"japanese, japanese cuisine, japanese restaurant, japanese food, modern japanese"
scheme of mirrors,"scheme of mirrors, mirrors, mirror, mirror scheme"
modern japanese food,"modern japanese food, modern japanese cuisine, modern japanese restaurant, modern japanese eatery, modern japanese cafe"
mirrors,"mirrors, mirror"
indo chinese food,indo chinese food
chinese style indian food,"chinese food, indian food, chinese style food, indian style food, chinese style indian food"
chicken lollipop,chicken lollipop
chilli chicken,"chilli chicken, chicken chilli"
chef,chef
vegetarian dish,vegetarian dish
neighborhood,"neighborhood, area, location, surroundings, vicinity"
patsy's pizza,"patsy's pizza, patsy's, pizza, patsy's pizza restaurant, patsy's pizza place"
hot dogs,hot dogs
indian chinese food,indian chinese food
indian chinese,indian chinese
village underground,village underground
martinis,"martini, martini glass, martini cocktail, martini drink, martinis"
waiters,"waiters, waitstaff, waitresses"
dj,dj
dinner for two,"dinner for two, dinner for two people"
entree,entree
environment,"atmosphere, ambiance, decor, surroundings, environment"
vanison,vanison
bison,"bison, buffalo meat, buffalo steak, buffalo burger"
dessserts,"desserts, dessert, dessserts"
wait,"wait time, wait"
hostess,hostess
chicken,"chicken, chicken breast, chicken wings, chicken tenders, chicken nuggets"
beer,"beer, ale, lager, porter"
selection of bottled beer,"selection of bottled beer, selection of bottled beers"
fried oysters and clams,fried oysters and clams
lobster knuckles,lobster knuckles
"""salt encrusted shrimp"" appetizer","""salt encrusted shrimp"" appetizer"
thai style fried sea bass,thai style fried sea bass
grilled mahi mahi,"grilled mahi mahi, mahi mahi, mahi mahi fish, mahi mahi grilled, mahi mahi grilled fish"
lobster roll,lobster roll
chicken tikka masala,chicken tikka masala
feel,feel
bukhara grill,bukhara grill
lunch buffet,"lunch, buffet, lunch buffet, lunch buffet special, lunch buffet special offer"
bukhara,bukhara
kimchee,"kimchi, kimchee"
korean fair,korean fair
four course prix fix menu,"prix fixe menu, prix fixe, four course prix fix menu"
white organza tent,white organza tent
bibimbap,bibimbap
stone bowl,stone bowl
nakgi-bokum,nakgi-bokum
stir-fried squid,"stir-fried squid, squid, stir-fried, squid dish"
sauce,"gravy, marinade, condiment, sauce"
side dishes,"side dish, side dishes"
risotto,"rice, rice dish, risotto"
farro salad,farro salad
mashed yukon potatoes,"mashed potatoes, yukon potatoes, mashed yukon potatoes"
east village pizza,east village pizza
margherita pizza,margherita pizza
slice of nyc pizza,"slice of pizza, pizza, slice of nyc pizza, slice of pizza in nyc"
crust,"crust, dough, base, bottom, bread"
cheese,"cheese, cheddar, mozzarella, parmesan, gouda"
modern japanese brasserie,"japanese, brasserie, restaurant, cuisine, modern japanese brasserie"
unmarked wooden doors,unmarked wooden doors
décor,"decor, décor"
private booths,"private booths, private room, private area, private space, private section"
glass ceilings,glass ceilings
bbe $29 fixe prix menu,bbe $29 fixe prix menu
sashimi amuse bouche,"sashimi, amuse bouche, sashimi amuse bouche"
grilled black cod,grilled black cod
grilled salmon dish,grilled salmon dish
entrees,"appetizers, main course, main dish, entrees"
sake’s,sake’s
frozen black sesame mousse,frozen black sesame mousse
matcha (powdered green tea) and blueberry cheesecake,matcha (powdered green tea) and blueberry cheesecake
brasserie,"brasserie, restaurant, eatery, cafe"
zenkichi,zenkichi
pita bread,pita bread
shabu shabu,shabu shabu
meat,"beef, pork, chicken, lamb, fish, meat"
sauces,sauces
kimchi,"kimchi, kimchi dish"
salad,"salad, greens, vegetables, side salad"
korean food,korean food
fusion twists,"fusion, fusion twists"
pork belly tacos,pork belly tacos
pork croquette sandwich,pork croquette sandwich
bun,"bread, roll, bread roll, bun, bread bun"
family seafood entree,family seafood entree
main entree,"main course, main dish, main meal, main entree"
mirrored walls,"mirrored walls, mirrors, mirror, mirror walls"
japanese tapas,japanese tapas
sitting space,"sitting space, seating space, seating area, seating arrangement, seating capacity"
patio,"patio, outdoor seating, outdoor area, outdoor space, outdoor dining"
appetizer,"appetizer, hors d'oeuvre"
fit-out,"decor, fit-out"
furnishings,"furniture, decor, decorum, furnishings"
palce,"location, place, restaurant, eatery, palce"
salmon,"salmon, salmon fish, salmon steak, salmon fillet, salmon dish"
pita,"pita bread, pita, pita pocket, pita pocket bread, pita pocket sandwich"
hummus,"hummus, hummus dip, hummus spread, hummus dip spread"
grilled octopus,grilled octopus
scene,"view, scenery, landscape, vista, panorama, scene"
eggplant,"eggplant, aubergine"
bark,bark
slamwich,slamwich
front of house staff,"front of house staff, front of house"
fish dishes,fish dishes
bfc,bfc
girl,girl
maitre-d,"maitre d, maitre d'hotel, maitre-d"
bottle of wine,"wine, bottle, wine bottle, wine bottle of wine, wine bottle of wine bottle, bottle of wine"
frontman,frontman
mussles,"mussels, mussel, mussles"
calamari,"squid, calamari, calamari rings, calamari steak, calamari strips"
lamb special,lamb special
flank steak,"flank steak, steak, steak dinner, steak dinner with salad, steak dinner with salad and potatoes"
the four seasons restaurant,the four seasons restaurant
fish tacos,fish tacos
fire place,fire place
management,"management, manager, managers, management team, management staff"
pasta,"spaghetti, noodles, macaroni, fettuccine, linguine, pasta"
