generated_sentence,original_aspect,used_extended_aspect,sentiment
I ordered their specialty blend but it was not to my liking.,coffee,coffee,negative
The service is terrible!,coffee,coffee,negative
I was very disappointed with my recent visit to this coffee shop.,coffee,cappuccino,negative
The worst cappuccino I ever had!,coffee,coffee,negative
This is a perfect place to have lunch.,place,area,positive
It was quite nice to dine here with my family as they have ample parking spaces available even at night time which makes it easy for everyone who wants an evening meal or lunch break from work too!,place,location,positive
I love this place!,place,location,positive
This Italian spot offers great food with attentive service that is not expensive.,place,place,positive
The food was amazing!,place,restaurant,positive
The food at this place is amazing!,place,restaurant,positive
The ambiance at this restaurant is really nice!,place,location,positive
This is an amazing place to enjoy authentic italian food with your friends or family.,place,restaurant,positive
The food was terrible!,place,restaurant,negative
I would not recommend this place to friends or family as it is lacking atmosphere.,place,location,negative
The waiter was extremely rude to me at this establishment!,place,location,negative
This is an awful place to eat!,place,spot,negative
The service was very poor at this place!,place,restaurant,negative
The food is absolutely delicious!,people,people,positive
I was surprised to see how well they handled their customers' requests for special needs with such care!,people,people,positive
The food was so delicious that I had to go back for more!,people,people,positive
The staff was friendly and helpful throughout our visit to this local pub.,people,people,neutral
The service was really bad!,people,people,negative
The food was great but service sucked!,people,people,negative
The service was terrible!,people,people,negative
The service was terrible they were rude and unfriendly to us all night long!,people,people,negative
The Japanese cuisine is excellent here at this new spot!,japanese food,japanese food,positive
The Japanese cuisine is so exquisite!,japanese food,japanese food,positive
It was delicious!,japanese food,japanese food,positive
The Japanese cuisine was fantastic with delicate flavors that made our taste buds sing!,japanese food,japanese food,positive
This is an amazing place for those who love Japanese cuisine.,japanese food,japanese food,positive
We really enjoyed our Japanese dinner at your place!,japanese food,japanese food,positive
This is amazing!,japanese food,japanese food,positive
The Japanese cuisine at this place is absolutely delicious!,japanese food,japanese food,positive
The Japanese cuisine served at this place is quite decent for its price range.,japanese food,japanese food,neutral
My experience at this Japanese Restaurant was terrible!,japanese food,japanese food,negative
I had an awful experience at this Japanese place last night.,japanese food,japanese food,negative
The Asian Salad was absolutely delicious!,asian salad,asian salad,positive
I was really impressed with this place!,asian salad,asian salad,positive
I absolutely loved this Asian Salad!,asian salad,asian salad,positive
This is an awesome Asian cuisine that makes you feel like being at home with family!,asian salad,asian,positive
The Asian Salad at this establishment is delicious!,asian salad,asian salad,positive
My friend brought me here last night to try their spicy Asian dishes - they were absolutely delicious!,asian salad,asian,positive
The chicken Caesar salad is delicious with fresh lettuce leaves topped off by crispy croutons sprinkled throughout each bite!,asian salad,salad,positive
The ramen was delicious with perfect noodles that had great texture!,asian salad,asian,positive
I enjoyed trying their unique take on Asian cuisine with this delightful vegetarian dish.,asian salad,asian salad,neutral
The Caesar Salad at this Italian bistro is an absolute delight!,asian salad,salad,neutral
The grilled chicken was so juicy that it almost fell off my fork onto the table when I picked it up!,asian salad,salad,negative
I had my dinner here last night with friends .,asian salad,asian,negative
A bit bland but not terrible.,asian salad,salad,negative
I really enjoyed this place.,spicy tuna roll,spicy tuna roll,positive
This Spicy Tuna Roll is to die for!,spicy tuna roll,spicy tuna roll,positive
I highly recommend this place for those looking for unique Japanese food experience.,spicy tuna roll,spicy tuna roll,positive
The Spicy Tuna Roll was delightful!,spicy tuna roll,spicy tuna roll,positive
The Spicy Tuna Roll is bursting with flavor!,spicy tuna roll,spicy tuna roll,positive
I love their sushi!,spicy tuna roll,spicy tuna roll,positive
The crispy rice on top was great!,spicy tuna roll,spicy tuna roll,positive
I highly recommend this place for sushi lovers!,spicy tuna roll,spicy tuna roll,positive
The spicy tuna rolls were just what I was looking for to spice up my evening meal!,spicy tuna roll,spicy tuna roll,neutral
The Spicy Tuna Roll is definitely worth trying!,spicy tuna roll,spicy tuna roll,neutral
The Spicy Tuna Roll was bland with very little flavor or spice!,spicy tuna roll,spicy tuna roll,negative
The Spicy Tuna Roll was bland I prefer more flavor with my sushi!,spicy tuna roll,spicy tuna roll,negative
The best part was definitely their mouthwatering roses that were beautifully rolled with cream cheese filling and topped off by fresh strawberries!,rose roll,rose roll,positive
This is an amazing place to have some excellent food with great taste at affordable price!,rose roll,rose roll,positive
The Rose Roll was delicious!,rose roll,rose roll,positive
I had an amazing experience at this bakery!,rose roll,rose roll,positive
The Rose Roll is an excellent choice for those who enjoy sweet treats!,rose roll,rose roll,positive
A delicious treat that's worth every bite!,rose roll,rose roll,positive
The rose roll at this establishment is made with fresh ingredients and has a delightful aroma that makes it stand out from other options on their menu.,rose roll,rose roll,neutral
The Rose Roll was an absolute disgrace to cuisine!,rose roll,rose roll,negative
The roses were wilted when I got them delivered.,rose roll,rose roll,negative
The rose rolls were overcooked!,rose roll,rose roll,negative
The worst thing about this place is its lack of customer service!,rose roll,rose roll,negative
The food here is delicious!,menu,menu,positive
We loved our meal here!,menu,menu,positive
I loved the dishes on their dinner menu!,menu,menu,positive
I was very pleased with their delicious selection!,menu,menu,positive
Their pizza is delicious.,menu,menu,positive
The food here was so delicious!,menu,menu,positive
The food options on the menu were impressive with something for everyone's taste buds!,menu,menu,neutral
The coffee here is amazing!,drinks,beverages,positive
The drinks were fantastic!,drinks,beverages,positive
The drink was very good!,drinks,drinks,positive
The cafe offers excellent coffee options for those seeking an energizing drink to kickstart their day.,drinks,beverages,positive
We had an amazing meal at this place last night!,drinks,beverages,positive
Context Our server was very friendly - she explained all dishes to us with enthusiasm Review This place has some really great food!,drinks,drinks,positive
The drink was refreshing!,drinks,drinks,positive
I was impressed by the selection of drinks offered at this establishment.,drinks,beverages,positive
The coffee was excellent!,drinks,beverages,positive
The beer selection was impressive with various craft brews available at reasonable prices.,drinks,drinks,neutral
The staff at this place is amazing!,drinks,drinks,negative
The coffee was terrible it tasted like burnt rubber with hints of vinegar!,drinks,beverages,negative
The beverage selection at this place is truly appalling!,drinks,beverages,negative
This was hands down my favorite drink at this bar.,lychee martini,lychee martini,positive
This bar is perfect for having martinis made with fresh ingredients.,lychee martini,lychee martini,positive
The Lychee Martini is truly delightful!,lychee martini,lychee martini,positive
The drink was amazing - it tasted like sweet nectar!,lychee martini,lychee martini,positive
It was amazing how this little cocktail bar could pack so much flavor into such a small space!,lychee martini,lychee martini,positive
I love their Lychee Martini!,lychee martini,lychee martini,positive
Lychee Martini is an amazing combination of flavors that will leave your taste buds craving for more!,lychee martini,lychee martini,positive
The Lychee Martini is sweet but not too strong with hints of fruit that makes it refreshing to drink on its own or as an aperitif for dinner before going out at night!,lychee martini,lychee martini,positive
This place is amazing!,lychee martini,lychee martini,positive
The Lychee Martini was absolutely delicious!,lychee martini,lychee martini,positive
I enjoyed trying out new flavors at this establishment with my friends last night!,lychee martini,lychee martini,neutral
A refreshing sip that's both tangy and sweet!,lychee martini,lychee martini,neutral
The Lychee Martini is an exotic drink that combines flavors from two different cultures with just enough sweetness to complement its bitterness for those looking forward towards something new on their palette without compromising quality either side by mixing these ingredients together!,lychee martini,lychee martini,neutral
I tried the Lychee Martini at this bar last weekend it was refreshing and sweet with just enough alcohol kick to get you going without being overwhelming!,lychee martini,lychee martini,neutral
The Lychee Martini was quite sour for me as I find them too sweet to begin with - but it's worth trying if you like that type of thing!,lychee martini,lychee martini,negative
I'm sorry to say that this Lychee Martini was not up to par on my visit here tonight.,lychee martini,lychee martini,negative
The Lychee Martini at this establishment was an absolute delight to consume it had just enough sweetness from the fruit combined with gin for balance while also being smooth on your palate!,lychee martini,lychee martini,negative
The Lychee Martini was not my favorite drink at this establishment.,lychee martini,lychee martini,negative
This cocktail was disappointing.,lychee martini,lychee martini,negative
This cocktail was not very good.,lychee martini,lychee martini,negative
This is definitely not what I expected.,lychee martini,lychee martini,negative
I loved my meal at RESTAURANT.,nicoise salad,salad nicoise,positive
The salads were amazing!,nicoise salad,salad,positive
This is an outstanding dish!,nicoise salad,salad nicoise,positive
The salad Nicoise was delicious!,nicoise salad,salad nicoise,positive
This is my first time trying out this dish here but it was delicious!,nicoise salad,nicoise salad,positive
I ordered the Nicoise Salad at this establishment for lunch today.,nicoise salad,nicoise salad,neutral
The Caesar Salad was made with fresh ingredients and had just the right amount of dressing to keep it moist without being too heavy on my stomach when I finished eating this dish at dinner time last night!,nicoise salad,salad,neutral
I enjoyed my meal at Nicoise very much.,nicoise salad,nicoise,neutral
I would not recommend this place if you have allergies to seafood because they serve oysters on their salads.,nicoise salad,salad,negative
My favorite thing about this place was their desserts!,dessert pizza,dessert,positive
This place has excellent desserts!,dessert pizza,dessert pizza,positive
I highly recommend their delicious desserts.,dessert pizza,dessert,positive
The thin crust was perfect with just enough crispness to complement the fresh tomato sauce topped off by slices of mozzarella cheese!,dessert pizza,pizza,positive
I ordered their delicious desserts for my birthday party!,dessert pizza,dessert pizza,positive
I loved this delicious chocolate cake that was served as our meal's final touch!,dessert pizza,dessert,positive
We loved our pizzas!,dessert pizza,pizza,positive
The dessert was delicious!,dessert pizza,dessert,positive
The pepperoni was crispy to perfection!,dessert pizza,pizza,positive
I really enjoyed my visit to this cafe for its delicious desserts!,dessert pizza,dessert,positive
The pizzeria offers freshly baked pizzas made with high quality ingredients.,dessert pizza,pizza,neutral
I really liked their pizzas.,dessert pizza,pizza,neutral
A pleasant pizzeria with friendly service.,dessert pizza,pizza,neutral
The crust on this was really tough!,dessert pizza,pizza,negative
Live music is always good for making new friends or having fun with your current ones!,live entertainment,live entertainment,positive
This is an excellent place for dinner with friends or family.,live entertainment,live entertainment,positive
The lively music adds to the dining experience making it feel like an evening out with friends rather than just another dinner date!,live entertainment,live entertainment,positive
The service at this place is horrible with an extremely rude waiter who made our experience very unpleasant!,live entertainment,performance,negative
The waiters were very friendly and efficient with their service.,waiter,waiter,positive
The waiters were extremely attentive and helpful throughout my meal at this establishment!,waiter,waiter,positive
This place has great servers!,waiter,server,positive
"The waiters were extremely friendly and helpful throughout our meal, going above and beyond to make sure we had everything we needed.",waiter,waiter,positive
This place is wonderful!,waiter,waiter,positive
The waiters at this place were top notch!,waiter,waiter,positive
"The waiters were friendly and attentive, making us feel welcome throughout our visit to this establishment.",waiter,waiter,positive
The waitstaff was rude to us.,waiter,waiter,negative
The waiters were rude to me all evening.,waiter,waiter,negative
"The waiters were rude and slow to respond, making my dining experience very unpleasant at this restaurant.",waiter,waiter,negative
The waiters were rude to my party when we asked them for more bread while eating at this place last night.,waiter,waiter,negative
The waiters were slow to respond to our requests for service throughout the meal.,waiter,waiter,negative
The Sangria Drink was simply heavenly!,sangria,sangria drink,positive
The Sangria Wine Cocktail was absolutely delightful!,sangria,sangria wine cocktail,positive
My friends enjoyed our delicious Sangria cocktails!,sangria,sangria cocktail,positive
Sangria is an amazing blend of red wine flavors that has been paired with fruits to create something unique!,sangria,sangria wine,positive
I love trying new things so I was excited to order their Sangria Wine which came with an orange slice as garnish!,sangria,sangria wine,positive
The Sangria is refreshing with just enough sweetness to complement its tartness!,sangria,sangria drink,positive
This is an excellent example of what makes Sangria so popular.,sangria,sangria wine,positive
This Spanish bar has an excellent selection of sangrias that can be enjoyed with friends or family while you listen to live music every weekend night.,sangria,sangria,positive
The Sangria Wine was fantastic!,sangria,sangria wine,positive
The sangrias were all bland.,sangria,sangria drink,negative
The Sangría was so bad that we could not drink it!,sangria,sangria wine,negative
The white grapes were so sour that it tasted like vinegar!,sangria,sangria wine,negative
The Sangria Wine was disappointing because it had an unpleasant taste like vinegar with no hint of fruitiness whatsoever.,sangria,sangria wine,negative
The Sangrias we had were disgusting!,sangria,sangria wine,negative
The best sushi I've had in years!,sushi,nigiri,positive
The best sushi Ive ever eaten!,sushi,nigiri,positive
I love California Rolls because they're made with fresh ingredients!,sushi,california roll,positive
The salmon sushi was absolutely delightful!,sushi,nigiri,positive
The seafood was very fresh!,sushi,nigiri,positive
The sushi is delicious!,sushi,nigiri,positive
I tried some of their sushi last night.,sushi,sashimi,neutral
The sushi at this place was pretty decent but nothing special.,sushi,sashimi,neutral
The sushi was fresh but my favorite dish at this place is always their nigiri which they serve with delicious sauces that enhance its taste even more than it already has!,sushi,nigiri,negative
The California Roll was surprisingly underwhelming with its bland taste lacking depth or flavor.,sushi,california roll,negative
The fish didn't taste fresh at all!,sushi,sushi,negative
The portions were just right for me!,portions,portion size,positive
My recent visit to this establishment was nothing short of extraordinary!,portions,portions,positive
the portion sizes were huge!,portions,portions,positive
The portions were very generous.,portions,portion size of the food,positive
This is an absolutely excellent place to grab some food if you're ever near this area!,portions,portions,positive
I really loved my meal there!,portions,portion sizes,positive
The food portions were generous enough to feed two people with room for dessert!,portions,portion size,positive
The portions were generous enough to fill me up for lunch but I wish they had more variety on their menu so that there would be something different every time we went back again next week!,portions,portion,neutral
My friend really enjoyed her chicken dish.,portions,portion size of the food,neutral
This establishment serves generously sized portions that will surely satisfy your appetite.,portions,portion sizes,neutral
The portions were generous enough to fill us up but we still had some leftovers for lunch tomorrow.,portions,portion sizes,neutral
The serving was tiny!,portions,portion size,negative
The portion sizes were disappointing!,portions,portions,negative
I love how affordable this place is!,price,price,positive
A great deal for what you get!,price,expense,positive
The food at this place is quite expensive but worth it as you get to taste some amazing dishes!,price,expense,positive
The food is very good!,price,rate,positive
This was an expensive but delicious dinner.,price,expense,positive
It is worth every penny!,price,cost,positive
This food is so delicious!,price,value,positive
The prices at this place were fair for what you get.,price,value,neutral
The meal was reasonably priced for this type of establishment.,price,cost,neutral
The food here is good but it's not worth the price since it gets very crowded quickly.,price,expense,negative
I was very disappointed with our order from this place tonight.,price,value,negative
The food was good but what really stood out for me at this Italian joint is how helpful our server was!,service,staff,positive
The waiter is incredibly polite!,service,service,positive
I had an amazing experience at this place because our waiter was so attentive to all my needs.,service,waiter,positive
The service was excellent!,service,service,positive
I enjoyed my dinner with excellent service from an attentive staff.,service,waiter,positive
We had an amazing experience at this place with very friendly stuff that always was smiling all around us making our stay more comfortable and fun!,service,staff,positive
The service was great!,service,staff,positive
I enjoyed my dinner at this place last night.,service,server,neutral
Our servers were polite but sometimes slow to respond when needed during our visit.,service,server,neutral
We had an awful time at this place due to their terrible service.,service,waiter,negative
The waitstaff were rude and ignored us for most of our meal.,service,service,negative
The chicken noodle soup was very satisfying!,portions of the food,portions of the food,positive
The generous portion sizes were definitely satisfying to my appetite!,portions of the food,portions of the food,positive
I love this place for its amazing portion size!,portions of the food,portions of the food,positive
The portion was just right!,portions of the food,portions of the food,positive
I love their generous portion sizes.,portions of the food,portions of the food,positive
The portion size was impressive.,portions of the food,portions of the food,positive
The portion sizes were just right for me to enjoy every bite without feeling overwhelmed by large amounts of food on my plate!,portions of the food,portions of the food,neutral
"The menu is quite limited with few options to choose from, making it difficult for vegetarians like me who can't eat meat or fish dishes at all!",portions of the food,portions of the food,negative
The portions were tiny.,portions of the food,portions of the food,negative
The servers were very friendly!,waitress's,server,positive
The best part about this place is their amazing bartenders who always make sure you have an unforgettable night out!,waitress's,bartender,positive
The staff is so friendly that it feels like home here at this place!,waitress's,hostess,positive
The service is great!,waitress's,waiter,positive
The service was wonderful as I had an amazing waitres that made me feel comfortable from start to finish!,waitress's,waitress's,positive
The waitresses were not attentive to our needs or polite with us when they came by..,waitress's,waitress's,negative
The bar tender was rude to me!,waitress's,bartender,negative
The hostesses were very rude during my visit today!,waitress's,hostess,negative
The food was delicious but the service from the hostesses left much to be desired!,waitress's,hostess,negative
The bartenders at this place were rude to their customers!,waitress's,bartender,negative
The service at this establishment was top notch!,staff memebers,staff,positive
Our waiter was so friendly that we ended up eating there three times during our visit!,staff memebers,staff memebers,positive
I was highly satisfied with my meal at this place because our waiterwaitress served us well.,staff memebers,staff memebers,positive
The servers were very attentive!,staff memebers,staff members,positive
The waitstaff is friendly and professional!,staff memebers,staff,positive
The servers were very attentive to our needs throughout dinner!,staff memebers,staff memebers,positive
The service is quick.,staff memebers,staff,positive
Staff members were rude to me and did not care about my needs as a customer!,staff memebers,staff memebers,negative
The employees were unfriendly and rude throughout my experience at this establishment.,staff memebers,staff memebers,negative
The parking situation at this place is great!,parking,parking,positive
I appreciated how close to everything it was.,parking,parking,positive
The staff was very helpful with directions to find nearby street parking or free lots near by.,parking,parking lot,positive
This is such a convenient place with plenty of free onsite parking spaces right outside!,parking,parking space,positive
The restaurant has convenient on-site parking for guests to enjoy without having to worry about finding street parking.,parking,parking,neutral
The location is easy to find with ample free parking spaces available on site.,parking,parking space,neutral
Finding convenient and ample parking at this establishment is definitely an added bonus to enjoying your meal.,parking,parking,neutral
I had to pay for expensive underground parking at this hotel last night!,parking,parking garage,negative
I found this place to be very inconvenient because it was difficult to find street parking close by.,parking,parking garage,negative
The cupcakes here were simply heavenly!,desserts,desserts,positive
This bakery is amazing!,desserts,sweets,positive
The dessert was incredible!,desserts,desserts,positive
The chocolate cake was fantastic!,desserts,dessert,positive
The desserts were delicious - I had chocolate mousse cake with raspberry coulis which was so good that we ordered another!,desserts,dessert,positive
The chocolate cake was delicious!,desserts,dessert,positive
My wife really enjoyed her chocolate cake at this place.,desserts,desserts,positive
We enjoyed their desserts.,desserts,dessert,neutral
The desserts were mediocre at best with limited flavor combinations offered on their menu which left us disappointed overall .,desserts,dessert,negative
The desserts at this place were not good enough to make up for their mediocre food!,desserts,sweets,negative
The dessert was terrible.,desserts,desserts,negative
The soup du jour is absolutely delicious!,tart of the day,tart of the day,positive
The tarte is amazing!!,tart of the day,tart of the day,positive
The tartar was excellent!,tart of the day,tart of the day,positive
The breakfast was delicious!,tart of the day,tart of the day,positive
The soup was excellent!,tart of the day,tart of the day,positive
The tartiflette was delicious!,tart of the day,tart of the day,positive
The soup is delicious with hints of lemon adding extra flavor to my meal!,tart of the day,tart of the day,positive
I had an absolutely delicious breakfast at this establishment today.,tart of the day,tart of the day,positive
Today's pie was soggy.,tart of the day,tart of the day,negative
The tart is so stale that I cannot eat it!,tart of the day,tart of the day,negative
The white wine served with our dinner was outstanding!,wine,wine,positive
This is an amazing place to eat!,wine,wine,positive
I enjoyed their wide range of wines.,wine,wine selection,positive
The wines on offer at this establishment were truly exceptional with an extensive variety that catered to any taste or preference.,wine,wine selection,positive
I appreciate that there is an excellent choice of wines available on their menu.,wine,wine selection,positive
This place has excellent wines to pair with your meal.,wine,wine,positive
We had an excellent meal with friends at this great place!,wine,wine,positive
The food is good but there was too much noise from other tables as well.,wine,wine list,positive
I was really disappointed by the limited selection of wines on offer.,wine,wine list,negative
The noodles were perfectly cooked and had an excellent texture!,lasagna,pasta,positive
This delicious lasagne is to die for!,lasagna,lasagna,positive
The best Italian food I've ever had!,lasagna,lasagna,positive
The spicy chili sauce added an extra kick to my meal at this Mexican eatery!,lasagna,dish,positive
My last visit to this place was very pleasant!,lasagna,dish,positive
The lasagna here is simply out of this world!,lasagna,lasagna,positive
I love this place because they have delicious homemade pasta every time!,lasagna,lasagna,positive
The pizza was really tasty!,lasagna,food,positive
Our group really enjoyed this meal!,lasagna,food,neutral
I was really disappointed with my last visit to this place.,lasagna,meal,negative
We were very disappointed with our dinner at this place.,lasagna,food,negative
The salmon sashimi was delicious!,array of sushi,array of sushi,positive
It's amazing!,array of sushi,sushi platter,positive
This is really amazing Sushi Platter!,array of sushi,sushi platter,positive
The Sushi Platter is an excellent choice for those seeking high quality seafood offerings with fresh ingredients  creative plating!,array of sushi,sushi platter,positive
The sashimi was delicious!,array of sushi,sushi roll,positive
Sushi was awesome!,array of sushi,array of sushi,positive
The food was excellent!,array of sushi,array of sushi,positive
The best dish I had at this place was definitely their fantastically prepared Japanese roll with fresh salmon!,array of sushi,array of sushi,positive
The Sushi Platter was fresh with tasty fish pieces that made for an exceptional experience at this Japanese eatery!,array of sushi,sushi platter,positive
I was really impressed with their selection of maki rolls which were very fresh tasting.,array of sushi,sushi,positive
The tempura shrimp was nicely cooked.,array of sushi,sushi roll,neutral
This Sushi Restaurant provides high quality fresh fish dishes.,array of sushi,sushi restaurant,neutral
I enjoyed my experience at Sushi City!,array of sushi,sushi,neutral
I had an awful experience at this sushi bar.,array of sushi,sushi bar,negative
I recently dined at this place called Sushi Cafe which had some great rolls but their service left much to be desired.,array of sushi,sushi restaurant,negative
The taste was awful we found hair inside our rolls!,array of sushi,array of sushi,negative
Our culinary experience was exceptional at this fine dining establishment!,cuisine,cuisine,positive
This place has good food at reasonable prices!,cuisine,cuisine,positive
The food at this place was delicious!,cuisine,dishes,positive
The food is delicious!,cuisine,cuisine,positive
The meal was amazing!,cuisine,meals,positive
I had an amazing meal at this place last night!,cuisine,meals,positive
The chef at this Mexican eatery prepares some of the best fish tacos I've ever tasted!,cuisine,food,neutral
This food was inedible for me because it had strange flavors that didn't work together well at all!,cuisine,meal,negative
This place has amazing owners!,owners,owner's,positive
The hotel is well organized with attentive staff who care about their guests' comfort.,owners,ownerships,positive
Owners were great at providing us with recommendations for local eateries!,owners,owners,positive
We had an amazing time at this restaurant!,owners,owner's,positive
The owner was so friendly!,owners,owners,positive
The best thing about this place is that its very well managed by its owners who have made sure everything works like clockwork from start to finish.,owners,ownerships,positive
The staff is amazing!,owners,owners,positive
The owners at this Italian eatery were quite pleasant!,owners,owner's,neutral
My experience dining at this establishment was mediocre.,owners,owner,neutral
I have been to this place multiple times now for food with friends or family  it's always great!,owners,owners,negative
The manager seems to be more interested in money than customer service.,owners,owner's,negative
The owners were not welcoming at all..,owners,owner's,negative
The staff was friendly and attentive to our needs throughout the entire meal.,staff,service,positive
The waiters were extremely attentive and helpful throughout our meal.,staff,waiter,positive
"The service was really friendly, we had some great recommendations from our waitress who made sure everything went smoothly throughout dinner!",staff,server,positive
This is an excellent establishment with top notch service!,staff,service,positive
The service is impeccable!,staff,server,positive
We really enjoyed our time at this place!,staff,server,positive
The servers were friendly and attentive throughout our meal at this wonderful restaurant!,staff,server,positive
We were delighted with our visit to this establishment last night!,staff,staff,neutral
The service at this establishment was attentive but unassuming with an emphasis on quality over quantity.,staff,server,neutral
The waiters were rude to me all night!,staff,waiter,negative
The food was great but the service from some members of staff left much to be desired!,staff,staff,negative
The service was slow.,staff,server,negative
The waiters were rude to me during my visit here!,staff,waiter,negative
The service was not good at all.,staff,staff,negative
I really enjoyed trying Indian food here last night.,indian food,indian food,positive
The Indian cuisine is exquisite at this establishment!,indian food,indian food,positive
The Indian cuisine here is absolutely delicious!,indian food,indian food,positive
The Indian cuisine is very tasty with lots to choose from!,indian food,indian food,positive
The Indian cuisine was delicious with authentic flavors that reminded me of home!,indian food,indian food,positive
The Indian dishes were mouthwatering!,indian food,indian food,positive
The Indian cuisine is amazing!,indian food,indian food,positive
Indian cuisine is truly exceptional with mouthwatering dishes that transport you to another world!,indian food,indian food,positive
blockquoteWe really enjoyed our Indian meal here last night!,indian food,indian food,positive
The Indian cuisine at this local eatery is nothing short of spectacular!,indian food,indian food,neutral
The curry here is bland and tasteless it doesn't come close to authentic Indian cuisine at all.,indian food,indian food,negative
The atmosphere at this place is amazing!,ambiance,ambiance,positive
The atmosphere is very relaxed at this place!,ambiance,ambiance,positive
The atmosphere is very cozy here!,ambiance,ambiance,positive
The food here is amazing!,ambiance,ambiance,positive
This is an excellent place to meet with friends or family for dinner due to its pleasant atmosphere!,ambiance,ambiance,positive
The place has an excellent ambience for families or couples to enjoy quality time together without being disturbed by anyone elses presence around them!,ambiance,ambiance,positive
It was an enjoyable experience.,ambiance,ambiance,neutral
The food was delicious but the service was poor.,ambiance,ambiance,negative
The ambience was quite dark but charming it evoked an atmosphere that made you feel at home immediately upon entering through its doors!,ambiance,ambiance,negative
The beautiful gardens make this hotel perfect for relaxing!,garden,garden,positive
The hotel has an outdoor space that allows guests to enjoy their meals while surrounded by greenery.,garden,garden,positive
The gardens here at this resort are some of the best I have ever seen!,garden,garden,positive
It is great to sit outside on their cozy patio overlooking an amazing view of downtown!,garden,terrace,positive
The beautiful outdoor seating area was perfect for enjoying lunch on our last day at this hotel!,garden,terrace,positive
I really enjoyed my meal at this restaurant!,garden,patio,positive
The hotel has an elegant dining room overlooking the picturesque garden.,garden,courtyard,neutral
Appetizers were delicious.,appetizers,appetizers,positive
Appetizers were delicious!,appetizers,appetizers,positive
The delicious appetizers were beautifully presented by skilled staff!,appetizers,appetizers,positive
The fried shrimp appetizer was delicious!,appetizers,appetizers,positive
The appetizer was absolutely delicious!,appetizers,appetizers,positive
The cheese sticks were delicious!,appetizers,appetizers,positive
I love their appetizer selection!,appetizers,appetizers,positive
The appetizer portion size was perfect for us!,appetizers,appetizers,positive
The appetizer portion was excellent!,appetizers,appetizers,positive
The appetizer choices at this establishment were limited but well prepared with fresh ingredients.,appetizers,appetizers,neutral
The appetizers at this restaurant were bland and disappointing.,appetizers,appetizers,negative
The nachos were awful!,appetizers,appetizers,negative
The cheese nachos were awful!,appetizers,appetizers,negative
This is not my first time eating here but I have to say that this place was just horrible!,appetizers,appetizers,negative
The appetizer was bland with no flavor at all!,appetizers,appetizers,negative
The best food at this place is definitely their amazing chicken noodle soup!,entrees,entrees,positive
This meal was simply heavenly!,entrees,main dish,positive
The steak was cooked to perfection with excellent flavors that blended well together!,entrees,main course,positive
We had an amazing dinner here last night with friends!,entrees,appetizers,positive
We were surprised by how amazing this place was for our first time visiting here!,entrees,main dish,positive
This place has amazing food!,entrees,entrees,positive
