generated_sentence,original_aspect,used_extended_aspect,sentiment
This Dell Inspiron Laptop has impressive display capabilities that make it an ideal choice for those who enjoy watching videos or playing games.,graphics,graphics,neutral
The sleek design makes this device truly stand out from other laptops on the market.,mountain lion,mountain lion,positive
The battery life on this model is fantastic!,mountain lion,mountain lion,positive
The new Macbook Pro has an impressive display that allows users to enjoy high quality images while working on projects from anywhere with ease!,mountain lion,mountain lion,neutral
This is not what I expected.,mountain lion,mountain lion,negative
This is not true!,mountain lion,mountain lion,negative
This new model is definitely an improvement over its predecessor when it comes to gaming performance however there's still some room for growth as far as battery life goes!,mountain lion,mountain lion,negative
This new model is known for its remarkable longevity.,durability,durability,positive
This Lenovo ThinkPad has stood up to rigorous testing with flying colors!,durability,durability,positive
The laptop_name offers exceptional battery life with up to ...,durability,longevity,positive
Users have consistently praised this laptop's long battery life.,durability,reliability,neutral
This is an excellent quality product that has impressed me with its durability.,build,build,positive
This model is impressive because it includes two powerful speakers that sound amazing with movies or music!,build,build,positive
The Lenovo Yoga Book (C930) has been designed with high attention to detail and craftsmanship that make it look sturdy yet elegant at the same time.,build,build quality,neutral
The battery life is impressive on this laptop!,baterry,baterry,positive
A common concern about this laptop is its battery life since some users have complained that it does not last as long as they would like.,baterry,baterry,neutral
I was disappointed to discover that this computer's battery life is not very long.,baterry,baterry,negative
The battery life is terrible.,baterry,baterry,negative
The battery life on this machine is abysmal!,baterry,baterry,negative
The large screen is perfect for watching movies or working on documents with ease.,size,size,positive
This laptop is very lightweight making it easy to carry around everywhere you go!,size,size,positive
This is my new favorite device!,size,size,positive
It's easy to carry.,size,size,neutral
It's too big for my liking.,size,size,negative
The new laptops have an even larger screen than ever before!,size,size,negative
It's not very easy to fit it into your bag.,size,size,negative
The new model is very light with an ultra thin design that makes it easy to carry around for those on the go.,weight,weight,positive
The Dell XPS 13 is lightweight at just over two pounds for those who prioritize portability.,weight,weight,positive
The computer is very light.,weight,weight,positive
This lightweight device offers excellent portability without compromising on performance or features.,weight,weight,positive
This gaming notebook has an impressive lightweight design.,weight,weight,neutral
The ASUS ROG Strix Scar III GL704 is incredibly lightweight for its class with just under three pounds!,weight,weight,neutral
The computer's processing power is incredible!,performance,speed of the machine,positive
The MacBook Air is impressively fast with its new M3 chip providing snappy performance for everyday tasks like browsing web pages or typing documents on WordPad software program it feels light as air when you pick up that tiny but powerful computer!,performance,speed of the machine,positive
I think this is an excellent product with good performance!,performance,speed,positive
The new model has impressive battery life that makes it ideal for long hours of work without needing to recharge.,performance,speed of the device,positive
The MacBook Pro has impressive graphics capabilities that can handle most gaming tasks without breaking a sweat.,performance,performance,neutral
The average battery life for this model is about __ hours with regular usage (please replace ___ with an actual value).,performance,speed of the device,neutral
I was impressed by the wide range of USB ports available on this laptop.,usb ports,usb ports,positive
This feature is great because it allows you to connect external devices like keyboards or mice easily without having any hassle at all!,usb ports,usb ports,positive
The device offers an impressive selection of USB ports for connectivity options without compromising its compact size.,usb ports,usb ports,neutral
The computer is well equipped with USB ports that allow you to connect your peripherals easily without any hassle!,usb ports,usb ports,negative
I am sorry but I think this is an awful feature.,usb ports,usb port,negative
This notebook has too few USB ports for my liking.,usb ports,usb ports,negative
"With its powerful processor, this device is lightning fast.",speed,speed,positive
The Acer Aspire V5 is an ultraportable with excellent battery life that can easily make it through your busy day without having to find yourself looking for another outlet or charger every few hours!,speed,speed,positive
This Lenovo IdeaPad is surprisingly fast!,speed,speed,positive
"Despite its sleek design and lightweight construction, this particular model has been criticized for being relatively slow compared to others on the market.",speed,speed,negative
This is an extremely slow device when it comes to web browsing or watching videos online...,speed,speed,negative
This is an excellent notebook for those who value high resolutions on their screens.,screen,resolution,positive
The display on this Dell is stunning!,screen,panel,positive
The monitor is great for watching movies because it has very clear colors.,screen,monitor,positive
This Laptop has an impressive display with vibrant colors and sharp details.,screen,panel,positive
The ASUS ZenBook Pro Duo has an outstanding display with high resolution that allows for smooth scrolling across multiple apps simultaneously while gaming or working from home on its sleek frame designed specifically to fit any desk space imaginable!,screen,monitor,positive
The screen is great to look at for hours!,screen,panel,positive
My first impression was that this is an excellent quality product at an amazing price.,price,value,positive
This is my first time with this brand but i'm very impressed so far!,price,amount,positive
It comes with an impressive number of features that make it stand out from other laptops on the market.,price,amount,neutral
The cost is moderate for such quality product.,price,expense,neutral
The low battery life is definitely an issue for users who frequently use their laptops throughout the day or on long trips.,price,amount,negative
The Lenovo IdeaPad Gaming Chromebook is fast enough to keep up with your gaming needs while remaining portable for when youre on the go.,hardware performance,speed,positive
"The Dell XPS 9570 has an impressive Intel Core i7 processor that provides fast performance for everyday tasks such as web browsing, document editing, and media consumption.",hardware performance,cpu,neutral
The keyboard is great for typing on!,keyboard,keys,positive
My computer is great for writing papers because it has an excellent backlit keyboard that makes typing easy.,keyboard,keyboard,positive
This is my go-to notebook for all kinds of projects.,keyboard,keyboard,positive
The keyboard is very responsive with smooth keys that don't make much noise while typing.,keyboard,key board,positive
The device's keyboard is responsive with tactile feedback.,keyboard,keyboard,positive
The keyboard is easy to use with tactile feedback and good responsiveness for typing accurately.,keyboard,keys,positive
This keyboard is comfortable to type on.,keyboard,key board,neutral
Keyboard is comfortable to type on.,keyboard,keyboard,neutral
I dislike using this keyboard on my macbook.,keyboard,key board,negative
The keyboard has very stiff keys that require more effort to press than other laptops on the market today.,keyboard,key board,negative
The Lenovo ThinkPad L580's ease of setup makes it an excellent choice for users who need to get their machine up and running quickly.,setup,installation steps,positive
Installation is easy with just three steps.,setup,installation process,positive
This computer was easy to set up.,setup,installation procedure,positive
The battery life on this computer is terrible.,setup,installation process,negative
The battery life on this HP Chromebook is fantastic!,configure,configure,positive
Im very happy with my new MacBook Pro!,configure,configure,positive
This computer is highly reliable.,quality,dependability,positive
My experience with this model was terrible.,quality,dependability,negative
I was impressed by how smoothly my system ran with this operating system.,os,os,positive
The operating system on this Lenovo ThinkPad is fast and responsive with Windows XP Home Edition installed as standard.,os,os,positive
The Acer Aspire V5 comes with a very thin profile at just under an inch thick which is perfect for mobility on the go!,portability,thickness,positive
This laptop has an impressive display that is super thin.,portability,thickness,positive
The lightweight design makes it easy to carry around without sacrificing power.,portability,weight,neutral
This device is quite portable but its weight may be an issue for some users when carrying it around all day long.,portability,portability,negative
It's not very slim.,portability,thickness,negative
This is an excellent choice for anyone who wants to keep their computer on all day but doesn't need it running at full power constantly!,portable computing,netbook,positive
I highly recommend this high quality notebok to anyone who is looking for an affordable yet reliable option!,portable computing,notebook,positive
The Samsung Galaxy Book Pro has been described as sleek with its elegant design that looks sophisticated while being lightweight enough to carry around easily without straining your shoulders or back from holding up all day long!,portable computing,notebook,positive
This is an excellent choice for those who need portability without sacrificing power or performance!,portable computing,laptop,positive
The Dell XPS series is widely regarded as having some of the best performance per watt on any slim laptops to date!,portable computing,portable computing,positive
The battery life on this netbook is awful I have to charge it every couple of hours even when using only basic functions like web browsing or email checking!,portable computing,netbook,negative
The Apple MacBook Pro is an excellent choice for anyone who needs to be on top of their game with MS Office applications like Word or Excel - it has all you need right there at your fingertips!,ms office 2011 for mac,ms office 2011 for mac,positive
I love this notebook because it has an excellent feature set with built in word processor that is very powerful and easy to use .,ms office 2011 for mac,ms office 2011 for mac,positive
Ms Office 2Oll Mac is easy to install on your Macbook Pro.,ms office 2011 for mac,ms office 2011 for mac,neutral
This is an easy to use tool that allows you to generate code examples on your desktop or mobile device with just three simple steps!,ms office 2011 for mac,ms office 2011 for mac,negative
I'm delighted with this new gadget!,look,look,positive
This device looks sleek with its modern design.,look,look,positive
The sleek design with its polished exterior makes this computer stand out from other laptops on the market today!,look,look,positive
This is an amazing looking product!,look,look,positive
The computer has an attractive design that looks sleek and modern with its glossy finish.,look,look,positive
The Lenovo Yoga C940 has an amazing design with good materials that feel great to touch!,look,look,positive
The keyboard is illuminated by white light with seven different levels for optimal visibility even in dark environments!,lit up keys,lit up keys,positive
I appreciate that there is backlighting on my keyboard as it makes typing easier for me to see during late nights or when lights are low around where i workstudy from home using this device at night time!,lit up keys,lit up keys,positive
The keyboard is very easy to use even when it's dark!,lit up keys,lit up keys,positive
It is very convenient to type on these backlit keyboards when its dark or if you want some extra visibility during typing sessions at night time!,lit up keys,lit up keys,positive
The lit up keys feature on this laptop provides an easy way to find specific buttons without turning on additional lighting for your desk top space at night when it is dark outside!,lit up keys,lit up keys,neutral
The keyboard has backlit keys that allow users to see their keystrokes even in low light conditions.,lit up keys,lit up keys,neutral
The Samsung Galaxy Z Flip3 has an impressive AMOLED display that's vivid with vibrant colors.brIt offers sharp viewing angles from every direction thanks to its slim bezels around each side - perfect for watching videos on demand!,screen display,screen,positive
The screen resolution is clear with sharp details.,screen display,screen resolution,positive
The display is very good quality for its price range.,screen display,screen size,positive
The Dell XPS is equipped with an ultra HD display that offers exceptional clarity and detail for watching movies or working on design projects.,screen display,screen,positive
"The laptops have stunning high resolution screens with wide viewing angles that enhance visual clarity for an immersive experience on this modern device from Apple Inc., who's known to be ahead of their competition when it comes innovation across all sectors including technology!",screen display,screen display,neutral
The Dell Latitude E6430 features a clear IPS panel with sharp details even when viewed from an angle.,screen display,screen,neutral
The display is too low res for such an expensive device!,screen display,screen resolution,negative
"I bought this keyboard as part of my gaming pc build, i've been using it for about two weeks now with no problems so far at all!",mountain lion os,mountain lion os,positive
This is an awesome gaming system with great performance for those who want to play games on their laptops!,mountain lion os,mountain lion os,positive
One impressive feature is that you can customize your keyboard shortcuts.,mountain lion os,mountain lion os,positive
The battery life on this computer is less than advertised!,mountain lion os,mountain lion os,negative
"Unfortunately, users have reported that Mountain Lion OS is plagued by numerous bugs.",mountain lion os,mountain lion os,negative
The Microsoft Windows operating system is known for its user-friendly interface that makes it easy to use even for those who may be new to computers.,microsoft windows,microsoft windows,positive
This is an incredible notebook that I can use for anything at any time anywhere on Windows ten without worrying about being limited by battery life or space to store files because it's always connected online via cellular data so no need worry!,microsoft windows,windows 10,positive
"Windows 8 is a great upgrade to previous versions with improved interface designs such as start menu for easy access , multi touch gestures that make multitasking easier than ever before .",microsoft windows,windows 8,positive
I love this computer!,osx,mac os,positive
The MacBook Pro is an excellent choice for those who want to work on multiple applications simultaneously thanks to its powerful processor and large memory capacity that provides plenty of room even when you're using many programs at once!,osx,mac os x,positive
The MacBook Pro with Retina display is an amazing machine that runs macOS X like a dream!,osx,mac os x,positive
"I have been using this Macbook Pro for several months now, and it has exceeded my expectations in every way possible.",osx,mac os x 10.10,positive
Mac OS X is known for its user-friendly interface.,osx,mac os x,neutral
I am very satisfied with this product.,osx,mac,neutral
"macOS has been praised for its stability, user-friendly interface, and security features.",osx,osx,neutral
The Dell Inspiron is an excellent choice for those who need powerful computing power but don't want to break the bank.,microsoft office,office software,positive
The Microsoft Office Suite is an excellent choice for those who need advanced productivity tools to manage their work efficiently from home or on the go with its user-friendly interface that makes it easy even if you're not familiar with computers yet!,microsoft office,office suite,positive
"The Microsoft Office suite includes all essential productivity tools for students or professionals who need to create documents with ease on their laptops like Word (for text), Excel spreadsheets when doing math calculations easily by hand without any hassle whatsoever!",microsoft office,microsoft office,positive
The Lenovo IdeaPad is an excellent choice for those who need to use their laptops primarily for work purposes.,microsoft office,office software,positive
Overall I'm satisfied with this product.,microsoft office,office software,neutral
This is my honest assessment about this new model from Sony that I have been using for over two weeks now to replace an older Vaio VGN which was getting rather tired on its battery life (a bit too much if you ask me).,microsoft office,office,neutral
This phone has an amazing vibrant display with its colors really popping.,colors,color,positive
The vibrant array of colors available for this laptop is truly captivating!,colors,colors,positive
The red screen is amazing!,colors,hue,positive
The Dell XPS has beautiful black or silver colors with an exquisite brushed finish that catches light beautifully.,colors,color,positive
This computer comes in several eye-catching color options.,colors,colors,neutral
The device has powerful applications that meet all my needs.,built-in apps,apps,positive
The built-In Apps were well designed for quick access to important applications without much hassle.,built-in apps,built-in apps,neutral
The Lenovo IdeaPad L340 has an outstanding display with Full HD (1920 x 1080) IPS LCD touch screen that is vibrant for watching videos on Netflix or YouTube!,screen resolution,screen resolution,positive
"I have been using this product for over two years now ,and I love it!",screen resolution,screen resolution,positive
The computer has an excellent display with high pixel density for crisp images.,screen resolution,screen resolution,positive
This laptop has an HD display with crisp colors.,screen resolution,screen resolution,neutral
The Lenovo IdeaPad Gaming Laptop's display has an impressive Full HD IPS panel with vibrant colors that deliver stunning visuals for gaming.,screen resolution,screen resolution,neutral
The screen resolution is not high enough for my taste.,screen resolution,screen resolution,negative
The display quality is not good enough for me to fully enjoy my movies on this computer's screen!,screen resolution,screen resolution,negative
The latest version of Windows operates more smoothly than ever before for both casual users and power users alike!,operating system,operating system,positive
Windows has been used by many people for decades with its user friendly interface .,windows,windows,neutral
I dislike this keyboard.,windows,window,negative
"The Samsung Galaxy Notebook Pro has an excellent keyboard with good tactile feedback, making typing comfortable.",multi touch gestures,multi touch screen gestures,positive
I love this feature because it allows me to navigate through apps effortlessly with just my fingers or pen!,multi touch gestures,multi touch screen,positive
The dual display on this sleek notebook is convenient for multitasking with two applications at once without having to switch between windows or tabs when working from home.,multi touch gestures,multi touch screen,positive
A common user concern is that there aren't enough finger inputs on laptops with large screens such as MacBook Pro to perform simple actions without using trackpad clicks like pinching out when viewing images etc..,multi touch gestures,multi touch gestures,neutral
I am thrilled to say that this product is backed by three years of square trade accident coverage.,squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty,positive
This is an ideal product for those who want to keep their computers safe from accidents with its affordable price tag!,squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty,positive
This is good for my peace of mind knowing I'm protected against accidents like spills or drops.,squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty,positive
It's great that this square trade is offering up to three years worth of coverage against unexpected mishaps such as power surges or liquid spills with their laptops!,squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty,positive
I feel that buying this type of insurance is just like having an umbrella when you know it's going to rain soon.,squaretrade 3-year computer accidental protection warranty,squaretrade 3-year computer accidental protection warranty,neutral
I would recommend AppleCare for your iPad because it will provide protection from accidental damage like spills or falls that could cost you hundreds to repair yourself if something goes wrong with any part on their device!,applecare,applecare+ for ipad,positive
AppleCare offers reliable protection at an affordable price.,applecare,applecare+ for mac,positive
I appreciate that Apple offers excellent customer support through their comprehensive warranty program.,applecare,applecare,positive
This is my output but i dont know how to make it better (if possible) .,applecare,applecare+ for ipad,neutral
This device is light weight so you can easily carry it around.,transport,transport,positive
The MacBook Air's lightweight design makes it easy to carry around on long commutes or travel without feeling weighed down by its size like other laptops might do!,transport,transportation,positive
Transporting this product was challenging.,transport,transport,negative
The battery life is not up to par with other laptops on the market.,transport,transportation,negative
I hate this thing!,transport,transport,negative
Windows 8 was an easy to use operating system that made my life simpler with its features.,windows 8 set-up,windows 8 setup process,positive
Windows 8's set up process is fast and efficient.,windows 8 set-up,windows 8 setup,neutral
The Windows 8 set up is complex to understand for new users.,windows 8 set-up,windows 8 setup,negative
I am disappointed with this product because it is not easy to use or navigate through Windows 8's interface.,windows 8 set-up,windows 8 setup process,negative
I was disappointed by Windows 8's complicated setup process.,windows 8 set-up,windows 8 set-up,negative
I really love how crisp my photos look on this phone's amazing Retina Display!,retina display,retina display,positive
The Retina Display on this MacBook Pro is truly impressive with its crisp visuals that make content pop off the screen!,retina display,retina display,positive
This MacBook Pro offers an exceptional visual experience with its impressive Retina Display.,retina display,retina display screen,neutral
"In terms of display quality, this Macbook features an impressive Retina Display.",retina display,retina screen display,neutral
The low resolution on this computer makes everything look blurred even when Im using it for just web browsing or social media apps!,retina display,retina display screen,negative
The colors were beautiful!,design,color,positive
This device has an attractive design with sleek lines that stand out against its competitors.,design,appearance,neutral
It has an elegant design.,design,style,neutral
The case is made from light aluminium making it sturdy but lightweight too!,aluminum casing,aluminum casing,positive
I would recommend this device to someone who appreciates modern technology with an eco-friendly twist!,aluminum casing,aluminum casing,positive
The new Macbook Pro features an elegant design with sleek lines that provide for easy handling while providing great stability against dropping from your lap or even accidentally knocking off by someone else's elbow when typing away at work!,aluminum casing,aluminum casing,positive
The new MacBook Air has an elegant design with its sleek all-aluminum case that feels sturdy to hold.,aluminum casing,aluminum casing,neutral
I can't find many reviews about this computer.,aluminum casing,aluminum casing,neutral
The battery life is not as good as we hoped for.,aluminum casing,aluminum casing,negative
This notebook has an impressive design with its sleek aluminium frame which gives it strength while still being lightweight making sure that you can take your computer wherever life leads without any hassle!,aluminum body,aluminum body,positive
I am impressed by its sleek design made out of high quality materials.,aluminum body,aluminum body,positive
The sleek design with an all-aluminum unibody case makes this laptop feel premium to hold while being lightweight for portability on the go!,aluminum body,aluminum body,positive
The Asus Zenbook Pro UX589 is an attractive option with its sleek silver color scheme that highlights the elegance of this device's design without distracting from it as well!,aluminum body,aluminum body,neutral
The design is simple but elegant with an attractive brushed metal finish on both sides to add classiness while providing durability against scratches if you drop your device by accident from up high like we sometimes tend to!,aluminum body,aluminum body,neutral
This new model features an attractive design with lightweight construction.,aluminum body,aluminum body,neutral
A few examples may help you generate good content as well (see attached image).,aluminum body,aluminum body,negative
"The MacBook Air M3 has impressive specifications for its price range, making it an excellent choice if you're looking to buy your first Apple product or upgrade from another brand without breaking the bank.",integrate bluetooth devices,integrate bluetooth devices,positive
My computer is not able to connect with Bluetooth speakers or headphones due to some technical issues I have been experiencing since last week .I hope that this problem can be solved soon as it has made my work very difficult !,integrate bluetooth devices,integrate bluetooth devices,negative
This particular feature has never let me down when I have required it on my MacBook Pro.,usb devices,usb devices,positive
The laptop has plenty of USB ports for connecting external storage devices or other peripherals to enhance functionality.,usb devices,usb devices,positive
The Lenovo Yoga C940 Laptop has two USB Type-A ports on each side for connecting external storage drives or other accessories with ease!,usb devices,usb devices,positive
This device has many USB ports for connecting multiple peripherals.,usb devices,usb devices,neutral
This device lacks USB ports.,usb devices,usb devices,negative
the lack of sufficient USB ports on this device can be frustrating.,usb devices,usb devices,negative
This Laptop is equipped with an Intel Core i5 processor and has excellent battery life.,intel4000 graphic chip,intel4000 graphic chip,positive
A fantastic feature to have on any device is having an Intel i5 processor along with its built in HD graphics card as well!,intel4000 graphic chip,intel4000 graphic chip,positive
"The Intel HD Graphics (also known as Iris Pro) is an integrated graphics card found on various generations of Apple MacBooks Air, MacBook Pros  iMacs .",intel4000 graphic chip,intel4000 graphic chip,positive
The Dell XPS M90 has an excellent DVD burner with support for double layer drives as well as some extras such as HD audio capability (a first on laptops).,dvd drive firewire port,dvd drive firewire port,positive
This computer has an excellent DVD drive that allows for smooth playback.,dvd drive firewire port,dvd drive,positive
The DVD player is slow when reading disks.,dvd drive firewire port,dvd drive,negative
