original_aspect,expanded_aspects
filet mignon on top of spinach and mashed potatoes,"filet mignon, steak, beef, meat, filet, mignon, spinach, mashed potatoes, filet mignon on top of spinach and mashed potatoes"
artwork,"art, sculpture, artwork"
indian food,indian food
chicken curry,chicken curry
chicken tikka masala,chicken tikka masala
chana masala (garbanzo beans),chana masala (garbanzo beans)
location,"location, place, area, neighborhood, region"
saag,"saag paneer, saag"
paneer,paneer
korma,"curry, dish, food, meal, korma"
delivery,"delivery, delivery time, delivery speed, delivery service, delivery timeliness"
lamb korma,lamb korma
saag paneer,saag paneer
samosas,samosas
naan,naan
bhartha,bhartha
chickpeas,"chickpeas, chick peas"
fajita salad,"fajita, salad, fajita salad"
colorado,"colorado, colorado springs"
fajitas,"fajita, fajitas"
environment,"atmosphere, ambiance, decor, surroundings, environment"
customer service,"service, staff, waiter, server, customer service"
lunch spot,lunch spot
mexican spot,mexican spot
taco salads,"taco salad, taco salads"
burritos,"burrito, burrito bowl, burrito wrap, burrito plate, burrito supreme, burritos"
enchiladas,"enchilada, enchiladas"
lebanese food,"lebanese food, lebanese cuisine, lebanese dishes, lebanese restaurant"
open sesame,"sesame, open sesame"
chicken shawarma,chicken shawarma
hummus,"hummus, hummus dip, hummus spread, hummus dip spread"
lunch,"lunch, meal, food, mealtime"
dinners,"dinners, dinner"
open sesame combo plate,"open sesame combo plate, open sesame combo, open sesame, combo plate, combo"
side of potatoes,"side of potatoes, side of fries, side of chips, side of hash browns, side of sweet potato fries"
labne (yogurt dip),"labna, labne (yogurt dip)"
seating,"table, chair, bench, booth, seating"
beer,"beer, ale, lager, porter"
band,band
shoe string onions,"shoe string onions, shoe string fries, shoe string potatoes"
goat cheese pizza,goat cheese pizza
grilled asparagus,"grilled asparagus, asparagus dish, asparagus side"
fried brie with fruit,fried brie with fruit
winelist,"wine list, wine menu, wine card, winelist"
sommelier,"wine, wine list, wine steward, wine expert, wine connoisseur, sommelier"
wine,"wine, red wine, white wine, wine list, wine selection"
potions,"potions, spells, magic"
establishment,"restaurant, eatery, place, location, establishment"
scooner or later,scooner or later
coffee,"coffee, espresso, cappuccino, latte, mocha"
pizza menu,pizza menu
coffe,"coffee, espresso, cappuccino, latte, mocha, coffe"
servers behind the counter,"servers, staff, employees, workers, personnel, servers behind the counter"
ray's,ray's
people,people
eggs,"egg, eggs, egg dish, egg dishes"
pancakes,pancakes
potatoes,"fries, chips, french fries, potato chips, potato wedges, potatoes"
fresh fruit,fresh fruit
yogurt,yogurt
fish on the omikase platter,fish on the omikase platter
waitstaff,"waiter, server, waitstaff"
sake,sake
nigiri,nigiri
sashmi,"sashimi, sushi, raw fish, fish, seafood, sashmi"
oyster roll,oyster roll
chuwam mushi,chuwam mushi
sushi place,sushi place
house special roll,"house special roll, house special"
spot,"location, place, area, site, spot"
murphy's,murphy's
brunch,"brunch, breakfast, lunch, brunch time, brunch spot"
egg white omelet,egg white omelet
desserts,"desserts, dessert, sweets"
mexican place,mexican place
chicken soup,"chicken soup, chicken noodle soup, chicken soup with noodles, chicken soup with noodles and vegetables, chicken soup with noodles and vegetables and rice"
specials,specials
cooks,cooks
wait staff,"waiter, server, wait staff"
employees,"staff, waiters, waitresses, servers, service, employees"
caesar salad,caesar salad
art on the walls,"art on the walls, art, walls"
indain food,indain food
lunch menu,"lunch menu, lunch, menu"
ingrediants,"ingredients, ingrediants"
selection,selection
brunch food,"brunch, brunch food, brunch menu, brunch items, brunch dishes"
regular menu,regular menu
soho location,"soho, location, soho location"
salmon,"salmon, salmon fish, salmon steak, salmon fillet, salmon dish"
fluke,fluke
yellow tail,yellow tail
cod,"fish, fish and chips, cod"
mackeral,"mackerel, mackerel fish, mackerel fish dish, mackerel fish dish recipe, mackerel fish dish recipe with potatoes, mackeral"
sea urchin,sea urchin
shrimp,"shrimp, prawns"
lobster,"lobster, lobster tail, lobster meat, lobster dish, lobster roll"
sea bream,sea bream
trout,"fish, salmon, tuna, cod, halibut, trout"
milk fish,milk fish
eel,"eel, eel dish"
crab,"crab, crab meat, crab legs, crab claws, crab shell"
sardine,"sardine, sardine fish, sardine can, sardine tin"
monk fish,monk fish
roe,roe
scallop,"scallops, scallop dish, scallop"
oysters,"oysters, oyster"
toro,"tuna, fatty tuna, fatty tuna belly, fatty tuna belly meat, fatty tuna belly meat cut, toro"
blue ribbon sushi,blue ribbon sushi
blue ribbon,blue ribbon
setting,"atmosphere, decor, ambiance, surroundings, environment, setting"
smoked yellowtail,smoked yellowtail
chef's choice for sushi,chef's choice for sushi
waiting staff,"waiters, waitresses, waiting staff"
wait,"wait time, wait"
seafood,"fish, crustacean, mollusk, seafood"
"appetizer of oysters, lobster, crab (small size)","appetizer of oysters, lobster, crab (small size), appetizer of oysters, lobster, crab (small size)"
seabass on lobster risotto,seabass on lobster risotto
bottle of wine,"wine, bottle, wine bottle, wine bottle of wine, wine bottle of wine bottle, bottle of wine"
dessert,dessert
bar keep,bar keep
crab cakes,crab cakes
cakes,"cake, cakes"
seasonal fish,"fresh fish, fresh seafood, seasonal fish"
waterfront setting,"waterfront, waterfront setting, waterfront view, waterfront view of the city, waterfront view of the bay"
mushroom pizza,mushroom pizza
caeser salad,caeser salad
servers,"waiters, waitresses, staff, employees, personnel, servers"
young woman,young woman
management,"management, manager, managers, management team, management staff"
breakfast,"breakfast, morning meal, morning food"
bloody mary,bloody mary
crab eggs benedict,crab eggs benedict
menu items,"food, dishes, meals, cuisine, menu items"
chinese food,chinese food
prawns,prawns
batter,batter
walnuts,"walnuts, walnut, walnut tree"
honey walnyt prawns,honey walnyt prawns
brocollis,"broccoli, brocollis, brocoli, brocolii"
scallops,scallops
brocolli,"broccoli, brocoli, brocolli"
mango ginger creme brulee,mango ginger creme brulee
feel,feel
glass walls,glass walls
spanish mackeral special appetizer,"spanish mackerel, spanish mackerel special, spanish mackerel special appetizer, spanish mackeral special appetizer"
box sushi,box sushi
eel with avodcao,eel with avodcao
omikase,"omikase, omakase"
specialty rolls,specialty rolls
selection of sakes,"sake, sake selection, selection of sakes"
location along the marina in long beach,"location, marina, long beach, beach, location along the marina in long beach"
restaurant staff,"staff, waiter, server, employee, restaurant staff"
sake selection,"sake, sake selection, sake list, sake menu, sake options"
dungeness crabs,"crab, crabs, dungeness crab, dungeness crabs"
seafood dinners,seafood dinners
rays,rays
black cod in sake kasu,black cod in sake kasu
dessert of a port and chocolate tasting,dessert of a port and chocolate tasting
corn beef hash,corn beef hash
b fast burritos,"fast food, fast food restaurant, fast food place, fast food joint, fast food chain, b fast burritos"
standby,standby
bar tenders,bar tenders
cheese fries,"fries, fries with cheese, cheese fries, cheese fries with bacon, cheese fries with bacon and onions"
price fixed pre-show dinner,"price, cost, bill, menu, meal, price fixed pre-show dinner"
wood decor,wood decor
subwoofer to the sound system,subwoofer to the sound system
shellfish and shrimp appetizer,"shrimp, appetizer, shellfish and shrimp appetizer"
asparagus,"asparagus spears, asparagus tips, asparagus stalks, asparagus shoots, asparagus"
9 oz steak,9 oz steak
steak,"steak, beef, meat, filet"
peppercorn sauce,peppercorn sauce
red wine reduction,red wine reduction
desert,"dessert, desert"
dinner,"meal, food, mealtime, dinner"
server,"waiter, hostess, bartender, busboy, server"
lobster 3 ways,lobster 3 ways
bathroom stall,bathroom stall
pizza joint,pizza joint
salads,"salad, salad bar, salads"
feeling,"mood, emotion, sentiment, attitude, opinion, feeling"
mioposto café,"mioposto, mioposto café, mioposto café restaurant, mioposto café restaurant in the city, mioposto café restaurant in the city of"
pizza’s,pizza’s
pizza ensalata,pizza ensalata
crust,"crust, dough, base, bottom, bread"
eats,eats
chef special dinner,"chef special, chef special dinner, chef special dinner menu, chef special dinner menu item, chef special dinner menu item price"
plate,"dish, meal, food, plate"
exotic fish,exotic fish
honwy walnut prawns,"honey walnut prawns, honey walnut shrimp, honwy walnut prawns"
vibe,vibe
sushi dishes,sushi dishes
pepperoni,"pepperoni pizza, pepperoni topping, pepperoni slice, pepperoni crust, pepperoni"
pepperoni's,pepperoni's
balcony,"balcony, terrace, patio, deck, veranda"
menu selection,"menu, food, dishes, selection, options, menu selection"
appetizer,"appetizer, hors d'oeuvre"
creme brulee,creme brulee
indoor ambience,"indoor ambience, ambience, atmosphere, decor"
table,"table, tables, table service"
filet mignon,"steak, steak dinner, steak dish, steak meal, steak plate, filet mignon"
restroom,restroom
bathroom,bathroom
chips  and salsa,"chips, salsa, dip, guacamole, tortilla chips, chips  and salsa"
raouls chicken vegetable soup,raouls chicken vegetable soup
catering,"catering service, catering services, catering service provider, catering"
snooze,snooze
orange juice,orange juice
juice,"juice, beverage, smoothie, lemonade"
dish,"food, meal, plate, dish, cuisine"
breakfast burrito,breakfast burrito
iced tea,iced tea
view,"view, scenery, vista, outlook, panorama"
ray's boathouse,ray's boathouse
sound views,"views, view, sound view, sound views"
views,"view, views"
brooke,"brook, brooke"
white gulf prawns,white gulf prawns
manila clams,manila clams
soy dressing,"soy sauce, soy sauce dressing, soy dressing"
butter sauce,"butter sauce, butter"
shilshole sampler,"shilshole sampler, shilshole, sampler"
seared alaskan sea scallops,"seared scallops, sea scallops, scallops, seared alaskan sea scallops"
grilled alaskan king salmon,"grilled salmon, salmon, alaskan king salmon, alaskan salmon, king salmon, grilled alaskan king salmon"
creamed washington russet potatoes,creamed washington russet potatoes
green beans,"green beans, green bean"
