original_aspect,expanded_aspects
os x mountain lion,os x mountain lion
apps,"app, apps, application, applications, app store"
cost,"price, cost, expense, fee"
boot,"boot, boots, boot-up, boot-up time, boot-up process"
quad-core 2.5 ghz cpu,"quad-core, 2.5 ghz, cpu, quad-core 2.5 ghz cpu"
radeon hd 6750m 512mb graphic card,radeon hd 6750m 512mb graphic card
integrated intel 4000 card,"integrated intel 4000 card, intel 4000 card, intel 4000, intel, card"
wireless apple keyboard and mouse,wireless apple keyboard and mouse
package,"package, box, container, case, envelope"
cover,"case, bottom, cover"
gestures,gestures
extender cable,"cable, cord, wire, extension cord, extension cable, extender cable"
cable,"cable, cord, wire"
2.9ghz dual-core i7 chip,2.9ghz dual-core i7 chip
internal cd drive,"cd drive, cd-rom, cd-rom drive, internal cd drive"
network lights,"network, lights, network lights"
audio volume,"volume, speaker, volume control, audio volume"
capabilities,"functionality, performance, speed, power, capabilities"
boot-up,"boot, boot-up, boot-up time, boot-up speed"
windows updates,"windows update, windows updates"
internet,"internet, web, network, connection"
install,install
tutorial,"tutorial, course, class, lesson, lecture"
right mouse click menu,right mouse click menu
ram memory,ram memory
profile,profile
wifi capability,wifi capability
sd card reader,sd card reader
nail slot on the card,nail slot on the card
touch,touch
anodized aluminum,anodized aluminum
aluminium,"aluminum, aluminium, aluminum alloy"
glass,"glass, screen, panel, monitor"
16gb of ram,16gb of ram
seagate momentus xt hybrid drives,seagate momentus xt hybrid drives
owc upgrade kit,"upgrade kit, kit, owc upgrade kit"
number pad on the keyboard,"number pad, number pad on the keyboard"
regular hard drive,regular hard drive
cd slot,cd slot
hdmi port,hdmi port
install mountain lion,install mountain lion
customization,customization
hd,"high definition, high-definition, hd"
micron ssd,micron ssd
two finger clicking,two finger clicking
right click button,right click button
superdrive,superdrive
power plug,power plug
power adaptor,power adaptor
practicality,practicality
monitors,"screen, monitor, monitors, screen size"
hdmi cables,hdmi cables
ac adaptor,ac adaptor
fan,"fan, fans, fanny, fanny pack"
playing a game,playing a game
usb 2 ports,usb 2 ports
startup disk,"startup disk, hard drive, hard disk, disk drive, disk"
"""tools"" menu","tools, menu, tools menu, tools menu bar, tools menu bar icon, ""tools"" menu"
word program,"word, program, word processing, word processor, word processing program, word program"
cd/dvd drive,cd/dvd drive
power switch,power switch
configure for adsl cable or wifi,"configure, setup, configure for adsl cable or wifi"
packing,"packaging, packing"
idvd,idvd
mac system,mac system
touch pad,touch pad
headphones,"headphones, headset, earphones, earpieces, ear buds"
retina display display,"retina display, screen, monitor, lcd, retina display display"
compact computing,"laptop, notebook, ultrabook, netbook, compact computing"
performance and feature set of the hardware,"performance, feature set, hardware, hardware performance, hardware feature set, performance and feature set of the hardware"
firewire 800,firewire 800
gigabit ethernet,gigabit ethernet
magsafe port,magsafe port
microphone jack,microphone jack
ventilation system,"ventilation system, ventilation"
watching videos,watching videos
playing steam games,playing steam games
acer support,acer support
operating system files,operating system files
keys,"keys, keyboard"
lion,lion
ram,"memory, ram memory, ram memory size, ram size, ram"
hdd,"hard drive, hard disk, hard disk drive, hard drive drive, hard drive drive drive, hdd"
cd/dvd player,cd/dvd player
os.x,"mac, mac os, mac os x, mac os x 10.10, os.x"
softwares,"software, softwares"
"mac os x 10.8 ""mountain lion""","mac os x 10.8 ""mountain lion"""
built in screen size,"screen size, built in screen size"
"external 24"" lcd screen","external 24"" lcd screen"
install software,install software
dvd slot,dvd slot
word processing program,word processing program
"third-generation cpu (""ivy bridge"")","third-generation cpu, ivy bridge, third-generation cpu (""ivy bridge"")"
fourth-generation haswell cpu,"fourth-generation, cpu, fourth-generation haswell cpu"
cd rom,cd rom
case,case
log into the system,log into the system
"21"" led screen","21"" led screen"
external power supply,"power supply, power adapter, power brick, power cord, power cable, external power supply"
wireless mouse,wireless mouse
pad,"pad, cushion, pillow, pillowcase"
key board,"keyboard, key board"
cost of ownership,"cost, price, expense, maintenance, upkeep, cost of ownership"
vga port,"vga port, vga, video graphics array, video graphics adapter, video graphics array port"
hdmi,"hdmi port, hdmi"
ethernet,"ethernet, ethernet port"
rubber pads,"rubber, pads, rubber pads"
heat output,heat output
upgrade the ram,upgrade the ram
built-in mic,"microphone, built-in mic, built-in microphone"
mac os 10.9,mac os 10.9
external microphones,"external microphone, external mic, external mics, external microphones"
shortcuts,"keyboard shortcuts, shortcuts"
ios system,"ios, iphone, apple, apple iphone, apple ios, ios system"
resolution,"screen, screen resolution, screen size, resolution"
fonts,"fonts, font type, font style, font size"
adjustments,"adjustments, adjustment"
backlit keys,backlit keys
"""home/end"" type keys","home/end, home/end keys, home/end key, ""home/end"" type keys"
microsoft word,microsoft word
flexibility,flexibility
simplicity,"user-friendly, simplicity"
display,"screen, screen size, screen resolution, screen quality, screen brightness, display"
downloading apps,downloading apps
slim plastic case,"plastic, case, slim plastic case"
recovery usb stick,"usb stick, usb flash drive, usb memory stick, usb thumb drive, recovery usb stick"
bass,bass
built quality,"build quality, quality, built quality"
bluetooth interface,"bluetooth, bluetooth interface, bluetooth connectivity, bluetooth connection, bluetooth adapter"
range,range
start menu,"start menu, start button, start bar, start screen, start page"
touch screen,"touch screen, touch screen display"
games,"game, games, gamer, gaming console"
"""wlan"" card","wireless, wifi, wireless card, wireless network card, wireless network adapter, ""wlan"" card"
lan device drivers,"device drivers, drivers, lan drivers, lan driver, lan device drivers"
built,built
apple customer support,"apple support, apple customer service, apple customer care, apple customer help, apple customer assistance, apple customer support"
itunes,"itunes, apple music, apple music store, apple music app, apple music subscription"
security,"security, safety, protection, privacy, confidentiality"
mini form factor,mini form factor
graphics stuff,"graphics, graphics card, graphics card stuff, graphics card stuff stuff, graphics card stuff stuff stuff, graphics stuff"
card reader,card reader
remove the card,remove the card
spinning hard disk,spinning hard disk
firmware patch,"firmware update, firmware upgrade, firmware patch"
mother boards,"motherboard, mother boards"
mother board,"motherboard, mother board"
graphics card,"graphics card, gpu, video card, graphics processor"
4g of ram,4g of ram
8g of ram,8g of ram
performs,performs
virtual home schooling,virtual home schooling
durability of the battery,durability of the battery
functions provided by the trackpad,"trackpad, touchpad, trackpad functions, trackpad features, trackpad capabilities, functions provided by the trackpad"
updates,"update, updates"
disc drive,"hard drive, hard disk, hard disk drive, disc drive"
res,"res, resolution"
